"Realm!Frozen!Anna!RLM_FrozenIP_Anna_010_Any_CompletedRequestDescription", "回去找安娜"
"Realm!Frozen!Anna!RLM_FrozenIP_Anna_010_AvailableDescription", "你在魔法森林中遇到了安娜。自然之靈受到擾亂而躁動不安，安娜需要你幫忙讓它們平靜下來。"
"Realm!Frozen!Anna!RLM_FrozenIP_Anna_010_CompletedStoryDescription", "安娜又見到了姐姐，她喜出望外。"
"Realm!Frozen!Anna!RLM_FrozenIP_Anna_010_DisplayName", "自然之靈"
"Realm!Frozen!Anna!RLM_FrozenIP_Anna_010_Group01_Step01_TalkToCharacter01_StepDescription", "探索冰雪王國"
"Realm!Frozen!Anna!RLM_FrozenIP_Anna_010_Group02_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>現在去哪兒？"
"Realm!Frozen!Anna!RLM_FrozenIP_Anna_010_Group02_Step02_VisitArea01_StepDescription", "用灑水壺在火中開闢一條道路"
"Realm!Frozen!Anna!RLM_FrozenIP_Anna_010_Group02_Step03_DressUp01_StepDescription", "戴上<ActivityItem>防火手套</ActivityItem>。（可選）"
"Realm!Frozen!Anna!RLM_FrozenIP_Anna_010_Group02_StepDescription", "在森林中尋找<ActivityItem>火靈布魯尼</ActivityItem>。"
"Realm!Frozen!Anna!RLM_FrozenIP_Anna_010_Group03_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我能做些什麼？"
"Realm!Frozen!Anna!RLM_FrozenIP_Anna_010_Group03_Step04_Chase01_StepDescription", "抓住布魯尼"
"Realm!Frozen!Anna!RLM_FrozenIP_Anna_010_Group03_StepDescription", "你找到了火靈布魯尼！"
"Realm!Frozen!Anna!RLM_FrozenIP_Anna_010_Group04_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我該做什麼？"
"Realm!Frozen!Anna!RLM_FrozenIP_Anna_010_Group04_Step05_VisitArea02_StepDescription", "回去找冰雪王國入口附近的安娜"
"Realm!Frozen!Anna!RLM_FrozenIP_Anna_010_Group05_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>接下來怎麼辦？"
"Realm!Frozen!Anna!RLM_FrozenIP_Anna_010_Group05_StepDescription", "把火靈交給安娜"
"Realm!Frozen!Anna!RLM_FrozenIP_Anna_010_Group06_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>現在怎麼辦？"
"Realm!Frozen!Anna!RLM_FrozenIP_Anna_010_Group06_Step07_FollowCharacter01_StepDescription", "跟隨安娜"
"Realm!Frozen!Anna!RLM_FrozenIP_Anna_010_Group07_Step08_TalkToCharacter02_StepDescription", "和安娜交談"
"Realm!Frozen!Anna!RLM_FrozenIP_Anna_010_Group08_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我能做些什麼？"
"Realm!Frozen!Anna!RLM_FrozenIP_Anna_010_Group08_Step09_Possess01_StepDescription", "在地面上尋找<ActivityItem>嶙峋石</ActivityItem>"
"Realm!Frozen!Anna!RLM_FrozenIP_Anna_010_Group08_Step09_Possess02_StepDescription", "<ActivityItem>羅勒</ActivityItem>"
"Realm!Frozen!Anna!RLM_FrozenIP_Anna_010_Group08_Step09_Possess03_StepDescription", "<ActivityItem>奧勒岡</ActivityItem>"
"Realm!Frozen!Anna!RLM_FrozenIP_Anna_010_Group08_Step09_StepDescription", "收集原料做一份<ActivityItem>石頭湯</ActivityItem>："
"Realm!Frozen!Anna!RLM_FrozenIP_Anna_010_Group08_StoryDescription", "你幫助安娜安撫了火靈布魯尼。下一項挑戰是喚醒擋住通往魔法森林之路的大地巨人。安娜說<ActivityItem>石頭湯</ActivityItem>的香味或許有用。"
"Realm!Frozen!Anna!RLM_FrozenIP_Anna_010_Group09_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我該做什麼？"
"Realm!Frozen!Anna!RLM_FrozenIP_Anna_010_Group09_Step10_CookMeal01_StepDescription", "使用<ActivityItem>嶙峋石</ActivityItem>、<ActivityItem>羅勒</ActivityItem>和<ActivityItem>奧勒岡</ActivityItem>烹飪{ItemName}。"
"Realm!Frozen!Anna!RLM_FrozenIP_Anna_010_Group10_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>接下來怎麼辦？"
"Realm!Frozen!Anna!RLM_FrozenIP_Anna_010_Group10_Step11_FillKeyhole01_StepDescription", "把<ActivityItem>石頭湯</ActivityItem>放在大地巨人腳旁的石堆上。"
"Realm!Frozen!Anna!RLM_FrozenIP_Anna_010_Group11_Step12_TalkToCharacter03_StepDescription", "和安娜交談"
"Realm!Frozen!Anna!RLM_FrozenIP_Anna_010_Group12_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>接下來怎麼辦？"
"Realm!Frozen!Anna!RLM_FrozenIP_Anna_010_Group12_Step13_VisitArea03_StepDescription", "用鏟子和鎬頭清理道路"
"Realm!Frozen!Anna!RLM_FrozenIP_Anna_010_Group12_StepDescription", "探索魔法森林更深處，找到艾莎"
"Realm!Frozen!Anna!RLM_FrozenIP_Anna_010_Group13_Step14_TalkToCharacter04_StepDescription", "和安娜交談"
"Realm!Frozen!Anna!RLM_FrozenIP_Anna_010_Group13_StepDescription", "糟糕！橋被水淹了！"
"Realm!Frozen!Anna!RLM_FrozenIP_Anna_010_Group14_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>現在怎麼辦？"
"Realm!Frozen!Anna!RLM_FrozenIP_Anna_010_Group14_Step15_FollowCharacter02_StepDescription", "跟隨安娜前往平靜水池"
"Realm!Frozen!Anna!RLM_FrozenIP_Anna_010_Group15_Step16_TalkToCharacter05_StepDescription", "和安娜交談"
"Realm!Frozen!Anna!RLM_FrozenIP_Anna_010_Group16_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我該做什麼？"
"Realm!Frozen!Anna!RLM_FrozenIP_Anna_010_Group16_Step17_BringItem02_StepDescription", "在冰雪王國的水池中垂釣"
"Realm!Frozen!Anna!RLM_FrozenIP_Anna_010_Group16_Step17_ReadyDescription", "把<ActivityItem>訂婚戒指</ActivityItem>交給安娜"
"Realm!Frozen!Anna!RLM_FrozenIP_Anna_010_Group16_StoryDescription", "應付好大地巨人後，你探索魔法森林，找到了艾莎。可去往她那兒的路被一條洶涌的河阻斷了。你去附近的水池中垂釣，期望能從水池底找到過河的辦法。"
