"Village!Frozen!Elsa!VLG_Elsa_030_Any_CompletedRequestDescription", "回去找艾莎"
"Village!Frozen!Elsa!VLG_Elsa_030_AvailableDescription", "艾莎在探索冰窟時，觸碰了安娜的雕像，冰塊開始肆意蔓延。她需要你的幫助來清除它們。"
"Village!Frozen!Elsa!VLG_Elsa_030_CompletedStoryDescription", "完成之後，只剩下一件事要做，回去找艾莎。"
"Village!Frozen!Elsa!VLG_Elsa_030_DisplayName", "唱歌的冰"
"Village!Frozen!Elsa!VLG_Elsa_030_Group01_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我們該怎麼做？"
"Village!Frozen!Elsa!VLG_Elsa_030_Group01_Step01_VisitArea01_StepDescription", "進入冰窟"
"Village!Frozen!Elsa!VLG_Elsa_030_Group02_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>接下來怎麼做呢？"
"Village!Frozen!Elsa!VLG_Elsa_030_Group02_Step02_FollowCharacter01_StepDescription", "跟著艾莎去冰窟深處"
"Village!Frozen!Elsa!VLG_Elsa_030_Group02_Step02_FollowCharacter01_TalkToDescription", "和艾莎交談"
"Village!Frozen!Elsa!VLG_Elsa_030_Group03_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我能做些什麼？"
"Village!Frozen!Elsa!VLG_Elsa_030_Group03_Step03_BringItem01_StepDescription", "{ItemName}"
"Village!Frozen!Elsa!VLG_Elsa_030_Group03_Step03_BringItem02_StepDescription", "{ItemName}"
"Village!Frozen!Elsa!VLG_Elsa_030_Group03_Step03_BringItem03_StepDescription", "{ItemName}"
"Village!Frozen!Elsa!VLG_Elsa_030_Group03_Step03_ReadyDescription", "把<ActivityItem>鮮花</ActivityItem>交給艾莎"
"Village!Frozen!Elsa!VLG_Elsa_030_Group03_Step03_StepDescription", "收集<ActivityItem>鮮花</ActivityItem>，把它們變成<ActivityItem>冰凍花束</ActivityItem>："
"Village!Frozen!Elsa!VLG_Elsa_030_Group03_StoryDescription", "在打開通往冰窟的道路後，艾莎意識到最大的冰塊裡注入了她的魔法和一些夢幻星光魔法。你決定製作一種特殊的<ActivityItem>冬寒藥劑</ActivityItem>來進一步改進你的<ActivityItem>鎬子</ActivityItem>。"
"Village!Frozen!Elsa!VLG_Elsa_030_Group04_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>接下來怎麼做呢？"
"Village!Frozen!Elsa!VLG_Elsa_030_Group04_Step04_Possess01_StepDescription", "冰窟裡的<ActivityItem>冰塊</ActivityItem>"
"Village!Frozen!Elsa!VLG_Elsa_030_Group04_Step04_Possess02_StepDescription", "<ActivityItem>冰凍花束</ActivityItem>"
"Village!Frozen!Elsa!VLG_Elsa_030_Group04_Step04_Possess03_StepDescription", "來自霜寒高地的<ActivityItem>一瓶冰凍水</ActivityItem>"
"Village!Frozen!Elsa!VLG_Elsa_030_Group04_Step04_Possess04_StepDescription", "<ActivityItem>雪</ActivityItem>"
"Village!Frozen!Elsa!VLG_Elsa_030_Group04_Step04_StepDescription", "收集咒語的材料："
"Village!Frozen!Elsa!VLG_Elsa_030_Group05_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我該做什麼？"
"Village!Frozen!Elsa!VLG_Elsa_030_Group05_Step05_CraftItem01_StepDescription", "製作{ItemName}"
"Village!Frozen!Elsa!VLG_Elsa_030_Group06_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>接下來怎麼做呢？"
"Village!Frozen!Elsa!VLG_Elsa_030_Group06_StepDescription", "回去找艾莎"
"Village!Frozen!Elsa!VLG_Elsa_030_Group07_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>接下來怎麼做呢？"
"Village!Frozen!Elsa!VLG_Elsa_030_Group07_Step07_RemoveBlocker01_StepDescription", "打破有聲音傳出的最大冰塊"
"Village!Frozen!Elsa!VLG_Elsa_030_Group08_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我該做什麼？"
"Village!Frozen!Elsa!VLG_Elsa_030_Group08_Step08_Possess05_StepDescription", "從冰窟裡獲取<ActivityItem>橙色紋章</ActivityItem>"
"Village!Frozen!Elsa!VLG_Elsa_030_Group09_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我能做些什麼？"
"Village!Frozen!Elsa!VLG_Elsa_030_Group09_Step09_FillKeyhole01_StepDescription", "把新的<ActivityItem>橙色紋章</ActivityItem>放進冰窟的牆上"
"Village!Frozen!Elsa!VLG_Elsa_030_Group09_StoryDescription", "打破最大的冰塊時，又一個神秘的<ActivityItem>紋章</ActivityItem>出現了。艾莎建議你把它和其他紋章一起放進牆上。"
"Village!Frozen!Elsa!VLG_Elsa_030_StartRequestButton", "<smallcaps>{title}</smallcaps><br>開始任務"
