"Village!LilMermaid!Ariel!VLG_Arie_010_Any_CompletedRequestDescription", "跟愛麗兒談談"
"Village!LilMermaid!Ariel!VLG_Arie_010_AvailableDescription", "探索島嶼，看看是否有人居住。"
"Village!LilMermaid!Ariel!VLG_Arie_010_CompletedStoryDescription", "你把愛麗兒帶回了夢幻星谷！"
"Village!LilMermaid!Ariel!VLG_Arie_010_DisplayName", "孤島"
"Village!LilMermaid!Ariel!VLG_Arie_010_Group01_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>你需要什麼？"
"Village!LilMermaid!Ariel!VLG_Arie_010_Group01_Step01_PlaceBuilding01_StepDescription", "把{ItemName}放進炫麗海灘附近的水裡"
"Village!LilMermaid!Ariel!VLG_Arie_010_Group01_StoryDescription", "你發現了一座島嶼，愛麗兒被魔咒困住那裡。她想回到夢幻星谷，但她要想辦法來打破魔咒。"
"Village!LilMermaid!Ariel!VLG_Arie_010_Group02_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>接下來怎麼做呢？"
"Village!LilMermaid!Ariel!VLG_Arie_010_Group02_StepDescription", "將愛麗兒迎接到夢幻星谷"
"Village!LilMermaid!Ariel!VLG_Arie_010_Group08_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>你需要什麼？"
"Village!LilMermaid!Ariel!VLG_Arie_010_Group08_Step06_VisitArea01_StepDescription", "返回夢幻星谷"
"Village!LilMermaid!Ariel!VLG_Arie_010_Group09_Step09_StepDescription", "水裡有人！"
"Village!LilMermaid!Ariel!VLG_Arie_010_Group09_Step09_TalkToCharacter03_StepDescription", "跟她談談"
"Village!LilMermaid!Ariel!VLG_Arie_010_Group10_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>你需要什麼？"
"Village!LilMermaid!Ariel!VLG_Arie_010_Group10_Step10_VisitArea02_StepDescription", "探索島嶼，看看是否有人居住。"
