"Alexandrite_Description", "可開採的變色礦石。"
"Alexandrite_DisplayName", "變石"
"Alexandrite_Shiny_Description", "可開採的閃亮鉻礦石。"
"Alexandrite_Shiny_DisplayName", "閃亮變石"
"Amethyst_Description", "可開採的紫色寶石。"
"Amethyst_DisplayName", "紫水晶"
"Amethyst_Shiny_Description", "可開採的稀有紫色寶石。"
"Amethyst_Shiny_DisplayName", "閃亮紫水晶"
"AnglerFish_Description", "有大嘴和尖牙的硬骨魚！"
"AnglerFish_DisplayName", "鮟鱇魚"
"AppleCiderGlazedSalmon_DisplayName", "蘋果蜜汁鮭魚"
"ApplePie_Description", "溫暖又好吃的蘋果派。"
"ApplePie_DisplayName", "蘋果派"
"AppleSorbet_Description", "清爽的蘋果味冰甜點。"
"AppleSorbet_DisplayName", "蘋果雪酪"
"Aquamarine_Description", "可開採的淺藍色礦石。"
"Aquamarine_DisplayName", "海藍寶石"
"Aquamarine_Shiny_Description", "可開採的稀有淺藍色礦石。"
"Aquamarine_Shiny_DisplayName", "閃亮海藍寶石"
"ArrendellePickledHerring_Description", "阿倫戴爾人的美味佳餚。"
"ArrendellePickledHerring_DisplayName", "阿倫戴爾腌鯡魚"
"AtlantianCrystal_Description", "會發光的神秘水晶。可以解鎖炫麗海灘上的某種東西……"
"BakedCarp_DisplayName", "烤鯉魚"
"BananaIceCream_Description", "兩大勺香蕉味的美食。"
"BananaIceCream_DisplayName", "香蕉冰淇淋"
"BananaPie_Description", "帶有獨特香蕉風味的酥皮餡餅。"
"BananaPie_DisplayName", "香蕉派"
"BananaSplit_Description", "裡面有香蕉，應該很健康，對吧？"
"BananaSplit_DisplayName", "香蕉聖代"
"Basic!Clay_DisplayName", "黏土"
"Basic!Coal_DisplayName", "煤"
"Basic!Cotton_DisplayName", "棉花"
"Basic!Crystal_DisplayName", "水晶"
"Basic!DarkWood_DisplayName", "深色木材"
"Basic!DreamShard_DisplayName", "夢之碎片"
"Basic!DryWood_DisplayName", "乾木材"
"Basic!GoldNugget_DisplayName", "金塊"
"Basic!HardWood_DisplayName", "硬木"
"Basic!IronOre_DisplayName", "鐵礦石"
"Basic!NightShard_DisplayName", "夜之碎片"
"Basic!Pebbles_DisplayName", "鵝卵石"
"Basic!Sand_DisplayName", "沙子"
"Basic!Snow_DisplayName", "雪球"
"Basic!SoftWood_DisplayName", "軟木材"
"Basic!Soil_DisplayName", "泥土"
"Basic!Stone_DisplayName", "石頭"
"BasilOmlet_Description", "放了羅勒的蓬鬆蛋捲。"
"BasilOmlet_DisplayName", "羅勒煎蛋捲"
"Bass_Description", "鱸魚幾乎隨處可見！"
"Bass_DisplayName", "鱸魚"
"BassPuff_Description", "一大塊烹製得恰到好處的鮟鱇魚。"
"BeachCave!Chest_Description", "裝滿奇妙禮物的寶箱！"
"Beignets_Description", "油炸酥皮，撒上糖粉。"
"Beignets_DisplayName", "帶餡煎餅"
"BellFlower!BellFlowerPurple_Description", "充滿活力的紫色花朵，非常適合送禮！"
"BellFlower!BellFlowerPurple_DisplayName", "紫風鈴草"
"BellFlower!BellFlowerRed_Description", "迷人的紅色花朵，形狀像風鈴。"
"BellFlower!BellFlowerRed_DisplayName", "紅風鈴草"
"BellFlower!BellFlowerWhite_Description", "美麗的白色花朵，形狀像風鈴。"
"BellFlower!BellFlowerWhite_DisplayName", "白風鈴草"
"BellPepperPuffs_Description", "夾有燈籠椒的酥皮點心。"
