"Story!MRQS040_FindingTheFishingRod_Any_CompletedRequestDescription", "跟高飛交談"
"Story!MRQS040_FindingTheFishingRod_AvailableDescription", "寧靜草地有個新朋友。去見見吧。"
"Story!MRQS040_FindingTheFishingRod_CompletedStoryDescription", "跟他釣完魚還幫他的貨攤重新開業後，去找高飛再談最後一次話吧。"
"Story!MRQS040_FindingTheFishingRod_DisplayName", "釣魚探險"
"Story!MRQS040_FindingTheFishingRod_Group01_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>你在找什麼？"
"Story!MRQS040_FindingTheFishingRod_Group01_Step01_BringItem01_StepDescription", "在草地上找到高飛的幸運魚竿。"
"Story!MRQS040_FindingTheFishingRod_Group01_Step01_ReadyDescription", "你找到了高飛的幸運魚竿，但它壞掉了！把它帶去給高飛，看他能否修好它。"
"Story!MRQS040_FindingTheFishingRod_Group01_StoryDescription", "高飛在寧靜草地上弄丟了他的幸運魚竿。他想讓你幫忙找找。"
"Story!MRQS040_FindingTheFishingRod_Group02_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我們要去哪裡？"
"Story!MRQS040_FindingTheFishingRod_Group02_Step02_FollowCharacter01_StepDescription", "跟隨高飛前往釣魚點"
"Story!MRQS040_FindingTheFishingRod_Group02_StoryDescription", "現在，他的幸運魚竿失而復得，他要帶你去寧靜草地的池塘體驗下他最愛做的事。"
"Story!MRQS040_FindingTheFishingRod_Group03_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>如何釣魚？"
"Story!MRQS040_FindingTheFishingRod_Group03_Step03_CatchFish01_StepDescription", "跟高飛去釣魚"
"Story!MRQS040_FindingTheFishingRod_Group04_Step04_TalkToCharacter02_StepDescription", "給高飛看你釣到的大魚"
"Story!MRQS040_FindingTheFishingRod_Group05_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我們要去哪裡？"
"Story!MRQS040_FindingTheFishingRod_Group05_Step05_FollowCharacter02_StepDescription", "跟著高飛去他的貨攤"
"Story!MRQS040_FindingTheFishingRod_Group05_Step05_FollowCharacter02_TalkToDescription", "跟高飛交談"
"Story!MRQS040_FindingTheFishingRod_Group06_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>如何解鎖貨攤？"
"Story!MRQS040_FindingTheFishingRod_Group06_Step06_Unlock01_StepDescription", "使用史高治標識讓高飛的貨攤重新開業"
"Story!MRQS040_FindingTheFishingRod_Group06_StoryDescription", "高飛向你展示了他破舊的貨攤，並問你能否幫忙修好它。"
"Story!MRQS040_FindingTheFishingRod_Group07_Step07_TalkToCharacter01_StepDescription", "去看看高飛怎麼想的"
"Story!MRQS040_FindingTheFishingRod_Group08_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>你在找什麼？"
"Story!MRQS040_FindingTheFishingRod_Group08_Step08_BringItem02_StepDescription", "在草地找到高飛的<ActivityItem>幸運魚竿</ActivityItem>。"
"Story!MRQS040_FindingTheFishingRod_Group08_Step08_ReadyDescription", "你找到了<ActivityItem>壞掉的魚竿</ActivityItem>！拿去給高飛吧。"
"Story!MRQS040_FindingTheFishingRod_Group08_StoryDescription", "高飛在寧靜草地上弄丟了他的幸運魚竿。他想讓你幫忙找找。"
"Story!MRQS040_FindingTheFishingRod_Group09_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我們要去哪裡？"
"Story!MRQS040_FindingTheFishingRod_Group09_Step09_FollowCharacter03_StepDescription", "跟隨高飛前往釣魚點"
"Story!MRQS040_FindingTheFishingRod_Group09_StoryDescription", "現在，他的幸運魚竿失而復得，他要帶你去寧靜草地的池塘體驗下他最愛做的事。"
"Story!MRQS040_FindingTheFishingRod_Group10_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>如何釣魚？"
"Story!MRQS040_FindingTheFishingRod_Group10_Step10_CatchFish02_StepDescription", "跟高飛去釣魚"
"Story!MRQS040_FindingTheFishingRod_Group11_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我要做什麼？"
"Story!MRQS040_FindingTheFishingRod_Group11_Step11_ReadyDescription", "你發現了一根<ActivityItem>壞掉的魚竿</ActivityItem>！找到它的主人。"
"Story!MRQS040_FindingTheFishingRod_Group11_Step11_StepDescription", "在草地找到丟失的<ActivityItem>幸運魚竿</ActivityItem>"
"Story!MRQS040_FindingTheFishingRod_Group11_StoryDescription", "你在寧靜草地上散步時，偶然發現了一根壞掉的釣魚竿。它會是誰的呢？"
"Story!MRQS040_FindingTheFishingRod_StartRequestButton", "<smallcaps>{title}</smallcaps><br>高飛！我能幫你什麼？"
