"Realm!Ratatouille!Remy!RLM_RatatouilleIP_Remy_010_Any_CompletedRequestDescription", "和小米談談，瞭解他對村莊的第一印象。"
"Realm!Ratatouille!Remy!RLM_RatatouilleIP_Remy_010_AvailableDescription", "新王國開放了。該去見見熱愛烹飪的小廚師啦。"
"Realm!Ratatouille!Remy!RLM_RatatouilleIP_Remy_010_CompletedStoryDescription", "確認餐廳的未來有所保障，以及有住的地方之後，小米來到了村莊。"
"Realm!Ratatouille!Remy!RLM_RatatouilleIP_Remy_010_DisplayName", "餐廳的重要之夜"
"Realm!Ratatouille!Remy!RLM_RatatouilleIP_Remy_010_Group01_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我需要做什麼？"
"Realm!Ratatouille!Remy!RLM_RatatouilleIP_Remy_010_Group01_Step01_CookMeal01_StepDescription", "在小米的廚房裡找到魚並做成任意菜品"
"Realm!Ratatouille!Remy!RLM_RatatouilleIP_Remy_010_Group01_StoryDescription", "在讓你為他的餐廳客人做菜之前，小米用一系列挑戰來測試你的烹飪技術。"
"Realm!Ratatouille!Remy!RLM_RatatouilleIP_Remy_010_Group02_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我需要做什麼？"
"Realm!Ratatouille!Remy!RLM_RatatouilleIP_Remy_010_Group02_Step02_StepDescription", "在小米的廚房裡找到水果並做成任意菜品"
"Realm!Ratatouille!Remy!RLM_RatatouilleIP_Remy_010_Group03_Step03_TalkToCharacter01_StepDescription", "給小米看看你用水果準備的食譜"
"Realm!Ratatouille!Remy!RLM_RatatouilleIP_Remy_010_Group04_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>開胃菜是什麼來著？"
"Realm!Ratatouille!Remy!RLM_RatatouilleIP_Remy_010_Group04_Step05_ReadyDescription", "把你做的開胃菜交給小米。"
"Realm!Ratatouille!Remy!RLM_RatatouilleIP_Remy_010_Group04_Step05_StepDescription", "用小米廚房裡的材料製作{ItemName}"
"Realm!Ratatouille!Remy!RLM_RatatouilleIP_Remy_010_Group05_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>開胃菜是什麼來著？"
"Realm!Ratatouille!Remy!RLM_RatatouilleIP_Remy_010_Group05_Step04_ReadyDescription", "把你做的開胃菜交給小米。"
"Realm!Ratatouille!Remy!RLM_RatatouilleIP_Remy_010_Group05_Step04_StepDescription", "用小米廚房裡的材料製作{ItemName}"
"Realm!Ratatouille!Remy!RLM_RatatouilleIP_Remy_010_Group06_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>請再告訴我一下主菜是什麼。"
"Realm!Ratatouille!Remy!RLM_RatatouilleIP_Remy_010_Group06_Step06_ReadyDescription", "把你做的主菜交給小米。"
"Realm!Ratatouille!Remy!RLM_RatatouilleIP_Remy_010_Group06_Step06_StepDescription", "根據小米給你的食譜書改進普通<ActivityItem>披薩</ActivityItem>的食譜，新增一些香料或香草。"
"Realm!Ratatouille!Remy!RLM_RatatouilleIP_Remy_010_Group07_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>請再告訴我一下主菜是什麼。"
"Realm!Ratatouille!Remy!RLM_RatatouilleIP_Remy_010_Group07_Step07_ReadyDescription", "把你做的主菜交給小米。"
"Realm!Ratatouille!Remy!RLM_RatatouilleIP_Remy_010_Group07_Step07_StepDescription", "根據小米給你的食譜書改進{ItemName}食譜，新增一些香料或香草。"
"Realm!Ratatouille!Remy!RLM_RatatouilleIP_Remy_010_Group08_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>甜點做什麼？"
"Realm!Ratatouille!Remy!RLM_RatatouilleIP_Remy_010_Group08_Step08_ReadyDescription", "把你做的甜點拿給小米。"
"Realm!Ratatouille!Remy!RLM_RatatouilleIP_Remy_010_Group08_Step08_StepDescription", "用小米廚房裡的材料製作{ItemName}"
"Realm!Ratatouille!Remy!RLM_RatatouilleIP_Remy_010_Group09_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>甜點做什麼？"
"Realm!Ratatouille!Remy!RLM_RatatouilleIP_Remy_010_Group09_Step09_ReadyDescription", "把你做的甜點拿給小米。"
"Realm!Ratatouille!Remy!RLM_RatatouilleIP_Remy_010_Group09_Step09_StepDescription", "用小米廚房裡的材料製作{ItemName}"
"Realm!Ratatouille!Remy!RLM_RatatouilleIP_Remy_010_Group10_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>如何處理點單？"
"Realm!Ratatouille!Remy!RLM_RatatouilleIP_Remy_010_Group10_Step10_FillKeyhole01_StepDescription", "上菜！烹飪1份<ActivityItem>田園沙拉</ActivityItem>，並放在上菜視窗。"
"Realm!Ratatouille!Remy!RLM_RatatouilleIP_Remy_010_Group10_StoryDescription", "現在你可以為真正的顧客準備真正的食物了，新的點菜單會不斷送來。"
"Realm!Ratatouille!Remy!RLM_RatatouilleIP_Remy_010_Group11_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我要洗的盤子在哪兒？"
"Realm!Ratatouille!Remy!RLM_RatatouilleIP_Remy_010_Group11_Step11_MakeGarden01_StepDescription", "用你的灑水壺清洗<ActivityItem>臟盤子</ActivityItem>"
"Realm!Ratatouille!Remy!RLM_RatatouilleIP_Remy_010_Group11_StoryDescription", "你遇到了一位小廚師小米，他的餐廳急需幫助。你決定幫他清洗臟盤子。"
"Realm!Ratatouille!Remy!RLM_RatatouilleIP_Remy_010_Group12_Step12_TalkToCharacter02_StepDescription", "回去告訴小米盤子洗乾淨了"
"Realm!Ratatouille!Remy!RLM_RatatouilleIP_Remy_010_Group13_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我要找什麼？"
"Realm!Ratatouille!Remy!RLM_RatatouilleIP_Remy_010_Group13_Step13_Possess01_StepDescription", "在小米的廚房裡找到烹飪書"
"Realm!Ratatouille!Remy!RLM_RatatouilleIP_Remy_010_Group14_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我要找什麼？"
