"Village!Frozen!Kristoff!VLG_Kris_020_Any_CompletedRequestDescription", "跟克里斯托夫交談。"
"Village!Frozen!Kristoff!VLG_Kris_020_AvailableDescription", "克里斯托夫很難過，因為他無論如何都想不起安娜是誰。"
"Village!Frozen!Kristoff!VLG_Kris_020_CompletedStoryDescription", "你要和艾莎一起，讓克里斯托夫找回他對安娜的感情……即便他無法恢復全部記憶。"
"Village!Frozen!Kristoff!VLG_Kris_020_DisplayName", "冰封記憶"
"Village!Frozen!Kristoff!VLG_Kris_020_Group01_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>現在怎麼辦？"
"Village!Frozen!Kristoff!VLG_Kris_020_Group01_Step01_TalkToCharacter01_StepDescription", "和艾莎交談"
"Village!Frozen!Kristoff!VLG_Kris_020_Group01_StoryDescription", "他知道他應該記得安娜，可他想不起來。你決定去找艾莎尋求幫助。"
"Village!Frozen!Kristoff!VLG_Kris_020_Group02_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>現在怎麼辦？"
"Village!Frozen!Kristoff!VLG_Kris_020_Group02_Step02_BringItem01_StepDescription", "<ActivityItem>海藍寶石</ActivityItem>"
"Village!Frozen!Kristoff!VLG_Kris_020_Group02_Step02_BringItem02_StepDescription", "<ActivityItem>沼澤水</ActivityItem>"
"Village!Frozen!Kristoff!VLG_Kris_020_Group02_Step02_ReadyDescription", "把材料帶給艾莎"
"Village!Frozen!Kristoff!VLG_Kris_020_Group02_Step02_StepDescription", "收集咒語的材料："
"Village!Frozen!Kristoff!VLG_Kris_020_Group02_StoryDescription", "要幫助克里斯托夫找回記憶，你需要收集一些材料。"
"Village!Frozen!Kristoff!VLG_Kris_020_Group03_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>接下來做什麼？"
"Village!Frozen!Kristoff!VLG_Kris_020_Group03_Step03_TalkToCharacter02_StepDescription", "和安娜交談並獲得她的一縷頭髮"
"Village!Frozen!Kristoff!VLG_Kris_020_Group03_StoryDescription", "艾莎的記憶還不足以施法。你需要獲得安娜身上的一些東西，來讓法術生效。"
"Village!Frozen!Kristoff!VLG_Kris_020_Group04_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>現在怎麼辦？"
"Village!Frozen!Kristoff!VLG_Kris_020_Group04_Step04_BringItem03_StepDescription", "<ActivityItem>安娜的頭髮</ActivityItem>"
"Village!Frozen!Kristoff!VLG_Kris_020_Group04_Step04_ReadyDescription", "把<ActivityItem>安娜的頭髮</ActivityItem>帶給艾莎"
"Village!Frozen!Kristoff!VLG_Kris_020_Group04_Step04_StepDescription", "確保你的物品欄中有<ActivityItem>安娜的頭髮</ActivityItem>"
"Village!Frozen!Kristoff!VLG_Kris_020_Group05_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>放置冰塊。"
"Village!Frozen!Kristoff!VLG_Kris_020_Group05_Step05_Decorate01_StepDescription", "把<ActivityItem>魔法冰塊</ActivityItem>放在村裡的某個地方"
"Village!Frozen!Kristoff!VLG_Kris_020_Group05_StoryDescription", "艾莎製作了一個藏著記憶的冰塊。你需要把裡面的記憶釋放出來。"
"Village!Frozen!Kristoff!VLG_Kris_020_Group06_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>雕刻冰塊"
"Village!Frozen!Kristoff!VLG_Kris_020_Group06_Step06_RemoveBlocker01_StepDescription", "用你的鎬頭雕刻<ActivityItem>魔法冰塊</ActivityItem>"
"Village!Frozen!Kristoff!VLG_Kris_020_Group06_StoryDescription", "接下來我們只能期望克里斯托夫看到這個雕像能想起一些事情。"
"Village!Frozen!Kristoff!VLG_Kris_020_StartRequestButton", "<smallcaps>{title}</smallcaps><br>怎麼了？"
