"Village!Moana!Moana!VLG_Moan_040_Any_CompletedRequestDescription", "和莫娜交談"
"Village!Moana!Moana!VLG_Moan_040_AvailableDescription", "莫娜想和小豬胖胖交談。"
"Village!Moana!Moana!VLG_Moan_040_CompletedStoryDescription", "你應該和莫娜談談，小豬胖胖經歷這些變故之後會做什麼。"
"Village!Moana!Moana!VLG_Moan_040_DisplayName", "尋找小豬胖胖"
"Village!Moana!Moana!VLG_Moan_040_Group01_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我們要去哪裡？"
"Village!Moana!Moana!VLG_Moan_040_Group01_StepDescription", "跟著莫娜去漁船"
"Village!Moana!Moana!VLG_Moan_040_Group01_StoryDescription", "這段時間足夠小豬胖胖找到<ActivityItem>椰子</ActivityItem>了。莫娜想親自去看看，你和她一起去吧。"
"Village!Moana!Moana!VLG_Moan_040_Group02_Step02_TalkToCharacter01_StepDescription", "和莫娜交談"
"Village!Moana!Moana!VLG_Moan_040_Group03_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我應該去哪裡？"
"Village!Moana!Moana!VLG_Moan_040_Group03_StepDescription", "在草地尋找小豬胖胖"
"Village!Moana!Moana!VLG_Moan_040_Group03_StoryDescription", "你找到了小豬胖胖的足跡……但卻沒找到它。你要在村莊裡追蹤這隻小豬。"
"Village!Moana!Moana!VLG_Moan_040_Group04_Step04_TalkToCharacter02_StepDescription", "又出現了一些小豬胖胖的足跡！和莫娜談談。"
"Village!Moana!Moana!VLG_Moan_040_Group07_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我應該去哪裡？"
"Village!Moana!Moana!VLG_Moan_040_Group07_StepDescription", "在餐廳附近尋找小豬胖胖"
"Village!Moana!Moana!VLG_Moan_040_Group08_StepDescription", "食物殘渣！和莫娜說說這件事情。"
"Village!Moana!Moana!VLG_Moan_040_Group09_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我應該去哪裡？"
"Village!Moana!Moana!VLG_Moan_040_Group09_StepDescription", "在森林裡追蹤小豬胖胖"
"Village!Moana!Moana!VLG_Moan_040_Group10_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我應該做什麼？"
"Village!Moana!Moana!VLG_Moan_040_Group10_StepDescription", "糟糕！小豬胖胖被暗夜荊棘困住了，快救它出來。"
"Village!Moana!Moana!VLG_Moan_040_Group10_StoryDescription", "在星谷裡追了小豬胖胖一圈後，你發現這隻小豬被暗夜荊棘給困住了。"
"Village!Moana!Moana!VLG_Moan_040_Group11_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我要做些什麼？"
"Village!Moana!Moana!VLG_Moan_040_Group11_Step11_ReadyDescription", "把新的<ActivityItem>領袖碎片</ActivityItem>交給莫娜"
"Village!Moana!Moana!VLG_Moan_040_Group11_Step11_StepDescription", "拾起新的<ActivityItem>領袖碎片</ActivityItem>"
"Village!Moana!Moana!VLG_Moan_040_Group11_StoryDescription", "找到並救出小豬胖胖後，又一個<ActivityItem>領袖碎片</ActivityItem>出現了。"
"Village!Moana!Moana!VLG_Moan_040_StartRequestButton", "<smallcaps>{title}</smallcaps><br>開始任務"
