"Village!Mickey!Minnie!VLG_Minn_030_Any_CompletedRequestDescription", "回到米妮那兒！"
"Village!Mickey!Minnie!VLG_Minn_030_AvailableDescription", "米妮在找你，她想跟你談談關於夢幻星谷的新計劃。"
"Village!Mickey!Minnie!VLG_Minn_030_CompletedStoryDescription", "既然新的<ActivityItem>鄉村鐘樓</ActivityItem>已建好，是時候去聽聽米妮對你工作的評價了。"
"Village!Mickey!Minnie!VLG_Minn_030_DisplayName", "回憶往事"
"Village!Mickey!Minnie!VLG_Minn_030_Group01_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我必須找到什麼？"
"Village!Mickey!Minnie!VLG_Minn_030_Group01_Step02_Possess01_StepDescription", "<ActivityItem>石頭</ActivityItem>"
"Village!Mickey!Minnie!VLG_Minn_030_Group01_Step02_Possess02_StepDescription", "<ActivityItem>硬木</ActivityItem>"
"Village!Mickey!Minnie!VLG_Minn_030_Group01_Step02_Possess03_StepDescription", "<ActivityItem>鐵塊</ActivityItem>"
"Village!Mickey!Minnie!VLG_Minn_030_Group01_Step02_Possess04_StepDescription", "<ActivityItem>黏土</ActivityItem>"
"Village!Mickey!Minnie!VLG_Minn_030_Group01_StepDescription", "收集以下物品用於製作<ActivityItem>鄉村鐘樓</ActivityItem>"
"Village!Mickey!Minnie!VLG_Minn_030_Group01_StoryDescription", "在大遺忘之前，村裡曾有一座鄉村鐘樓，現在她想建造一座新的代替。你很願意自己動手建造鐘樓並放置好。"
"Village!Mickey!Minnie!VLG_Minn_030_Group02_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我要做什麼？"
"Village!Mickey!Minnie!VLG_Minn_030_Group02_Step01_CraftItem01_StepDescription", "製作<ActivityItem>鄉村鐘樓</ActivityItem>"
"Village!Mickey!Minnie!VLG_Minn_030_Group03_Step03_TalkToCharacter01_StepDescription", "和米妮交談"
"Village!Mickey!Minnie!VLG_Minn_030_Group04_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>接下來呢？"
"Village!Mickey!Minnie!VLG_Minn_030_Group04_Step04_StepDescription", "在村裡某處放置<ActivityItem>鄉村鐘樓</ActivityItem>"
"Village!Mickey!Minnie!VLG_Minn_030_StartRequestButton", "<smallcaps>{title}</smallcaps><br>開始任務"
