"Village!LiloStitch!Stitch!VLG_Stit_030_AvailableDescription", "史迪奇很無聊。你認為他真正需要的是一項愛好。可是史迪奇會喜歡做什麼呢？"
"Village!LiloStitch!Stitch!VLG_Stit_030_CompletedStoryDescription", "史迪奇度過了充實的一天。他看了一部電影，和你一起去了神秘洞穴底部，還遇到了一隻海怪和美人魚！現在你需要問問他對這些的感覺如何。"
"Village!LiloStitch!Stitch!VLG_Stit_030_DisplayName", "史迪奇的愛好"
"Village!LiloStitch!Stitch!VLG_Stit_030_Group01_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我應該怎麼做？"
"Village!LiloStitch!Stitch!VLG_Stit_030_Group01_Step01_Possess01_StepDescription", "{ItemName}"
"Village!LiloStitch!Stitch!VLG_Stit_030_Group01_Step01_Possess02_StepDescription", "{ItemName}"
"Village!LiloStitch!Stitch!VLG_Stit_030_Group01_Step01_Possess03_StepDescription", "{ItemName}"
"Village!LiloStitch!Stitch!VLG_Stit_030_Group01_Step01_StepDescription", "收集材料來修理<ActivityItem>壞掉的電視</ActivityItem>："
"Village!LiloStitch!Stitch!VLG_Stit_030_Group02_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我應該怎麼做？"
"Village!LiloStitch!Stitch!VLG_Stit_030_Group02_Step02_CraftItem01_StepDescription", "在製作臺修理<ActivityItem>壞掉的電視</ActivityItem>"
"Village!LiloStitch!Stitch!VLG_Stit_030_Group02_StoryDescription", "你收集一些材料來修理史迪奇的電視機"
"Village!LiloStitch!Stitch!VLG_Stit_030_Group03_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我應該怎麼做？"
"Village!LiloStitch!Stitch!VLG_Stit_030_Group03_Step03_VisitArea01_StepDescription", "去史迪奇的屋子裡找他"
"Village!LiloStitch!Stitch!VLG_Stit_030_Group04_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我應該怎麼做？"
"Village!LiloStitch!Stitch!VLG_Stit_030_Group04_Step04_BringItem01_StepDescription", "把電視交給史迪奇"
"Village!LiloStitch!Stitch!VLG_Stit_030_Group04_Step04_ReadyDescription", "把電視交給史迪奇"
"Village!LiloStitch!Stitch!VLG_Stit_030_Group05_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我應該怎麼做？"
"Village!LiloStitch!Stitch!VLG_Stit_030_Group05_Step05_DressUp01_StepDescription", "一件運動上衣"
"Village!LiloStitch!Stitch!VLG_Stit_030_Group05_Step05_DressUp02_StepDescription", "運動褲"
"Village!LiloStitch!Stitch!VLG_Stit_030_Group05_Step05_DressUp03_StepDescription", "運動鞋"
"Village!LiloStitch!Stitch!VLG_Stit_030_Group05_Step05_StepDescription", "為冒險而打扮！使用以下物品打造你的風格："
"Village!LiloStitch!Stitch!VLG_Stit_030_Group05_StoryDescription", "史迪奇為你們一起看的怪物電影興奮不已。現在他想進行一場真正的冒險，親自尋找一些可怕的地點和怪物。"
"Village!LiloStitch!Stitch!VLG_Stit_030_Group06_Step06_TalkToCharacter01_StepDescription", "告訴史迪奇你準備好帶他去冒險了"
"Village!LiloStitch!Stitch!VLG_Stit_030_Group07_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我應該怎麼做？"
"Village!LiloStitch!Stitch!VLG_Stit_030_Group07_Step07_VisitArea02_StepDescription", "在炫麗海灘的神秘洞穴中與史迪奇見面"
"Village!LiloStitch!Stitch!VLG_Stit_030_Group08_Step08_TalkToCharacter02_StepDescription", "和史迪奇交談"
"Village!LiloStitch!Stitch!VLG_Stit_030_Group09_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我應該怎麼做？"
"Village!LiloStitch!Stitch!VLG_Stit_030_Group09_Step09_FollowCharacter01_StepDescription", "跟隨史迪奇前往神秘洞穴底部"
"Village!LiloStitch!Stitch!VLG_Stit_030_Group09_Step09_FollowCharacter01_TalkToDescription", "和史迪奇交談"
"Village!LiloStitch!Stitch!VLG_Stit_030_Group10_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我應該怎麼做？"
"Village!LiloStitch!Stitch!VLG_Stit_030_Group10_Step10_VisitArea03_StepDescription", "在烏蘇拉的屋子裡與史迪奇見面"
"Village!LiloStitch!Stitch!VLG_Stit_030_Group11_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我應該怎麼做？"
"Village!LiloStitch!Stitch!VLG_Stit_030_Group11_Step11_TalkToCharacter03_StepDescription", "烏蘇拉似乎對你闖入感到惱怒。和她談談。"
"Village!LiloStitch!Stitch!VLG_Stit_030_Group12_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我應該怎麼做？"
"Village!LiloStitch!Stitch!VLG_Stit_030_Group12_Step12_VisitArea04_StepDescription", "趁史迪奇沒有變成烏蘇拉花園的一部分之前離開這裡！"
"Village!LiloStitch!Stitch!VLG_Stit_030_Group12_StoryDescription", "烏蘇拉現在沒有心情理會史迪奇。她威脅說要是這個藍色的小外星人不離開，就讓他變成花園裡的一個不幸的靈魂。"
"Village!LiloStitch!Stitch!VLG_Stit_030_Group13_Step13_TalkToCharacter04_StepDescription", "和史迪奇交談"
"Village!LiloStitch!Stitch!VLG_Stit_030_Group14_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我應該怎麼做？"
"Village!LiloStitch!Stitch!VLG_Stit_030_Group14_Step14_Listen01_StepDescription", "聽愛麗兒和史迪奇交談"
"Village!LiloStitch!Stitch!VLG_Stit_030_Group15_Step15_TalkToCharacter05_StepDescription", "和史迪奇交談"
"Village!LiloStitch!Stitch!VLG_Stit_030_StartRequestButton", "<smallcaps>{title}</smallcaps><br>開始任務"
