"Realm!Moana!Maui!RLM_MoanaIP_Maui_020_Any_CompletedRequestDescription", "毛伊在村莊裡。聽聽他對夢幻星谷的看法吧。"
"Realm!Moana!Maui!RLM_MoanaIP_Maui_020_AvailableDescription", "毛伊對莫娜的離開很生氣。你決定和他談談。"
"Realm!Moana!Maui!RLM_MoanaIP_Maui_020_CompletedStoryDescription", "已確保毛伊的生活條件完美無缺，是時候迎接他的到來了。"
"Realm!Moana!Maui!RLM_MoanaIP_Maui_020_DisplayName", "半神的盛宴"
"Realm!Moana!Maui!RLM_MoanaIP_Maui_020_Group01_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>你需要什麼？"
"Realm!Moana!Maui!RLM_MoanaIP_Maui_020_Group01_Step01_ReadyDescription", "把所有的美食帶給毛伊"
"Realm!Moana!Maui!RLM_MoanaIP_Maui_020_Group01_Step01_StepDescription", "為毛伊準備至少3星級的美食"
"Realm!Moana!Maui!RLM_MoanaIP_Maui_020_Group01_StoryDescription", "毛伊隨時準備挑戰別人，他要你證明村裡的食物的確和你說的一樣好。"
"Realm!Moana!Maui!RLM_MoanaIP_Maui_020_Group02_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>你想幹什麼？"
"Realm!Moana!Maui!RLM_MoanaIP_Maui_020_Group02_Step02_StepDescription", "把寧靜洞穴放入水中"
"Realm!Moana!Maui!RLM_MoanaIP_Maui_020_Group03_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>你的房子差不多準備好了。"
"Realm!Moana!Maui!RLM_MoanaIP_Maui_020_Group03_Step03_Unlock01_StepDescription", "使用史高治標識來支付毛伊居住的寧靜洞穴的建築費"
"Realm!Moana!Maui!RLM_MoanaIP_Maui_020_Group03_StepDescription", "確保毛伊什麼都不缺"
"Realm!Moana!Maui!RLM_MoanaIP_Maui_020_Group03_StoryDescription", "要建一個適合半神的住所，你需要付費給史高治建築公司。"
"Realm!Moana!Maui!RLM_MoanaIP_Maui_020_Group04_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>準備好去星谷了嗎？"
"Realm!Moana!Maui!RLM_MoanaIP_Maui_020_Group04_Step04_UnlockCharacter01_StepDescription", "一切準備就緒，去迎接毛伊來村子吧。"
"Realm!Moana!Maui!RLM_MoanaIP_Maui_020_Group05_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>你需要什麼？"
"Realm!Moana!Maui!RLM_MoanaIP_Maui_020_Group05_StepDescription", "解鎖村中的炫麗海灘區域"
"Realm!Moana!Maui!RLM_MoanaIP_Maui_020_Group05_StoryDescription", "品嚐過食物後，毛伊同意幫助你。但如果你想要他來夢幻星谷，就需要一個住所。"
"Realm!Moana!Maui!RLM_MoanaIP_Maui_020_Group06_Step06_TalkToCharacter01_StepDescription", "和毛伊交談"
