"Village!SwordInStone!Merlin!VLG_Merl_040_AvailableDescription", "梅林在找你，想跟你說件重要的事。"
"Village!SwordInStone!Merlin!VLG_Merl_040_DisplayName", "水晶的秘密"
"Village!SwordInStone!Merlin!VLG_Merl_040_Group01_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我應該做什麼？"
"Village!SwordInStone!Merlin!VLG_Merl_040_Group01_Step01_CraftItem01_StepDescription", "製作{ItemName}"
"Village!SwordInStone!Merlin!VLG_Merl_040_Group01_StoryDescription", "他懷疑<ActivityItem>夜之碎片</ActivityItem>就是被腐化的<ActivityItem>夢之碎片</ActivityItem>，建議你使用它們做個實驗。"
"Village!SwordInStone!Merlin!VLG_Merl_040_Group02_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我應該做什麼？"
"Village!SwordInStone!Merlin!VLG_Merl_040_Group02_Step03_ReadyDescription", "把你的發現帶給梅林"
"Village!SwordInStone!Merlin!VLG_Merl_040_Group02_Step03_StepDescription", "和梅林一起探索勇氣森林"
"Village!SwordInStone!Merlin!VLG_Merl_040_Group02_StoryDescription", "他想調查他在勇氣森林裡找到的那個奇怪水晶。他覺得水晶和唐老鴨在黑暗森林裡的冒險有關。"
"Village!SwordInStone!Merlin!VLG_Merl_040_Group03_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我應該做什麼？"
"Village!SwordInStone!Merlin!VLG_Merl_040_Group03_Step02_ReadyDescription", "把{ItemName}帶給梅林"
"Village!SwordInStone!Merlin!VLG_Merl_040_Group03_Step02_StepDescription", "確保你的物品欄裡有{ItemName}"
"Village!SwordInStone!Merlin!VLG_Merl_040_Group03_StoryDescription", "你成功凈化了<ActivityItem>夜之碎片</ActivityItem>"
"Village!SwordInStone!Merlin!VLG_Merl_040_Group04_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我應該做什麼？"
"Village!SwordInStone!Merlin!VLG_Merl_040_Group04_Step05_BringItem03_StepDescription", "收集{TargetAmount}個<ActivityItem>夜之碎片</ActivityItem>"
"Village!SwordInStone!Merlin!VLG_Merl_040_Group04_Step05_ReadyDescription", "帶上所有的<ActivityItem>夜之碎片</ActivityItem>回去找梅林"
"Village!SwordInStone!Merlin!VLG_Merl_040_Group04_StoryDescription", "又檢查了一塊水晶之後，他想起這些水晶叫<ActivityItem>夜之碎片</ActivityItem>，要求你去再找一些來。"
"Village!SwordInStone!Merlin!VLG_Merl_040_Group05_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我應該做什麼？"
"Village!SwordInStone!Merlin!VLG_Merl_040_Group05_Step04_GiftToCharacter01_StepDescription", "把{ItemName}送給任意村民"
"Village!SwordInStone!Merlin!VLG_Merl_040_Group05_StoryDescription", "梅林鼓勵你把<ActivityItem>純凈夜之碎片</ActivityItem>當成禮物送給任意村民。"
"Village!SwordInStone!Merlin!VLG_Merl_040_StartRequestButton", "<smallcaps>{title}</smallcaps><br>開始任務"
