"Village!WallE!WallE!VLG_Wall_060_Any_CompletedRequestDescription", "回去找瓦力"
"Village!WallE!WallE!VLG_Wall_060_AvailableDescription", "這段<ActivityItem>記憶</ActivityItem>再現了大遺忘發生之前，瓦力在村莊的生活。"
"Village!WallE!WallE!VLG_Wall_060_CompletedStoryDescription", "該去問問他是否玩得開心了。"
"Village!WallE!WallE!VLG_Wall_060_DisplayName", "友好交易"
"Village!WallE!WallE!VLG_Wall_060_Group01_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我需要你的幫助！"
"Village!WallE!WallE!VLG_Wall_060_Group01_Step01_BringItem01_StepDescription", "{ItemName}"
"Village!WallE!WallE!VLG_Wall_060_Group01_Step01_BringItem03_StepDescription", "{ItemName}"
"Village!WallE!WallE!VLG_Wall_060_Group01_Step01_BringItem04_StepDescription", "{ItemName}"
"Village!WallE!WallE!VLG_Wall_060_Group01_Step01_ReadyDescription", "把這些物品交給瓦力"
"Village!WallE!WallE!VLG_Wall_060_Group01_Step01_StepDescription", "找到愛麗兒提到的物品："
"Village!WallE!WallE!VLG_Wall_060_Group02_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>(繼續和愛麗兒交談)"
"Village!WallE!WallE!VLG_Wall_060_Group02_Step02_StepDescription", "和愛麗兒談談有關<ActivityItem>記憶</ActivityItem>的事"
"Village!WallE!WallE!VLG_Wall_060_Group02_StoryDescription", "小機器人非常高興能再次跟愛麗兒交換飾品。希望小美人魚也同樣開心。"
"Village!WallE!WallE!VLG_Wall_060_Group04_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>(繼續聽)"
"Village!WallE!WallE!VLG_Wall_060_Group04_Step04_StepDescription", "聽瓦力跟愛麗兒交換禮物時的對話"
"Village!WallE!WallE!VLG_Wall_060_Group04_StoryDescription", "把小玩意交給機器人後，你就坐下來看著他們交換物品吧。"
"Village!WallE!WallE!VLG_Wall_060_Group06_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>(繼續和瓦力交談)"
"Village!WallE!WallE!VLG_Wall_060_Group06_Step06_TalkToCharacter03_StepDescription", "跟瓦力談談"
"Village!WallE!WallE!VLG_Wall_060_Group06_StoryDescription", "愛麗兒很高興能通過交換禮物來豐富她的收藏。也許瓦力能幫你找到她想要的東西。"
"Village!WallE!WallE!VLG_Wall_060_Group08_StepDescription", "去見瓦力"
