"Description", "[DNT]Generic Buff Description"
"Description_001", "有機率提升村子中擁有此加成的每個角色的友誼等級"
"Description_012", "有機率提升村子中擁有此加成的每個角色的友誼等級"
"Description_013", "有機率提升村子中擁有此加成的每個角色的友誼等級"
"Description_014", "有機率提升村子中擁有此加成的每個角色的友誼等級"
"Description_015", "有機率提升村子中擁有此加成的每個角色的友誼等級"
"Description_016", "有機率提升村子中擁有此加成的每個角色的友誼等級"
"DisplayName", "[DNT]Generic Buff"
"DisplayName_001", "在你進行園藝工作時，你的夥伴可以找到更多作物。"
"DisplayName_012", "在你釣魚時，你的夥伴可以找到更多魚。"
"DisplayName_013", "在你挖礦時，你的夥伴可以找到更多礦石。"
"DisplayName_014", "挖礦時找到寶石的頻率更高。"
"DisplayName_015", "你的夥伴挖掘時能找到更多物品。"
"DisplayName_016", "你的夥伴採集野生作物和水果時能獲得更多物品。"
