"Village!ToyStory!Woody!VLG_Wood_010_Any_CompletedRequestDescription", "回去找胡迪"
"Village!ToyStory!Woody!VLG_Wood_010_AvailableDescription", "胡迪有些愧疚。他想讓自己成為一個有用的好鄰居，所以就去小米的餐廳幫忙，但烹飪比他想像中要困難一些。他需要你的幫助。"
"Village!ToyStory!Woody!VLG_Wood_010_CompletedStoryDescription", "你發現胡迪的旋轉木馬和之前大不一樣。這對胡迪來說意味著什麼？"
"Village!ToyStory!Woody!VLG_Wood_010_DisplayName", "失敗乃成功之母"
"Village!ToyStory!Woody!VLG_Wood_010_Group01_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我應該和誰交談？"
"Village!ToyStory!Woody!VLG_Wood_010_Group01_Step01_TalkToCharacter01_StepDescription", "和小米交談"
"Village!ToyStory!Woody!VLG_Wood_010_Group02_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我該做什麼？"
"Village!ToyStory!Woody!VLG_Wood_010_Group02_Step02_EatMeal01_StepDescription", "{ItemName}"
"Village!ToyStory!Woody!VLG_Wood_010_Group02_Step02_EatMeal02_StepDescription", "{ItemName}"
"Village!ToyStory!Woody!VLG_Wood_010_Group02_StepDescription", "吃掉胡迪準備的食物"
"Village!ToyStory!Woody!VLG_Wood_010_Group03_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我該做什麼？"
"Village!ToyStory!Woody!VLG_Wood_010_Group03_Step03_TalkToCharacter02_StepDescription", "太難吃了。回去找小米。"
"Village!ToyStory!Woody!VLG_Wood_010_Group04_Step04_TalkToCharacter03_StepDescription", "和胡迪交談"
"Village!ToyStory!Woody!VLG_Wood_010_Group05_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我能做些什麼？"
"Village!ToyStory!Woody!VLG_Wood_010_Group05_Step05_CookMeal01_StepDescription", "{ItemName}"
"Village!ToyStory!Woody!VLG_Wood_010_Group05_Step05_CookMeal02_StepDescription", "{ItemName}"
"Village!ToyStory!Woody!VLG_Wood_010_Group05_StepDescription", "烹飪以下餐食："
"Village!ToyStory!Woody!VLG_Wood_010_Group05_StoryDescription", "吃過胡迪準備的黑暗料理後，你意識到他確實需要你的幫助，你決定換掉他要準備的食物。"
"Village!ToyStory!Woody!VLG_Wood_010_Group06_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>接下來怎麼做呢？"
"Village!ToyStory!Woody!VLG_Wood_010_Group06_Step06_BringItem01_StepDescription", "{ItemName}"
