"Village!Moana!Maui!VLG_Maui_030_Any_CompletedRequestDescription", "和毛伊談談你找到的東西。"
"Village!Moana!Maui!VLG_Maui_030_AvailableDescription", "毛伊有一個關於村莊的新計劃。"
"Village!Moana!Maui!VLG_Maui_030_CompletedStoryDescription", "你把剛剛取出的<ActivityItem>石灰巖</ActivityItem>交給毛伊。也許他知道的更多。"
"Village!Moana!Maui!VLG_Maui_030_DisplayName", "風與太陽的半神"
"Village!Moana!Maui!VLG_Maui_030_Group01_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我應該做什麼？"
"Village!Moana!Maui!VLG_Maui_030_Group01_Step01_CraftItem01_StepDescription", "製作<ActivityItem>風箏</ActivityItem>"
"Village!Moana!Maui!VLG_Maui_030_Group02_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>你需要什麼？"
"Village!Moana!Maui!VLG_Maui_030_Group02_Step02_Possess02_StepDescription", "{ItemName}"
"Village!Moana!Maui!VLG_Maui_030_Group02_Step02_Possess03_StepDescription", "{ItemName}"
"Village!Moana!Maui!VLG_Maui_030_Group02_StepDescription", "收集以下物品來製作<ActivityItem>風箏</ActivityItem>："
"Village!Moana!Maui!VLG_Maui_030_Group02_StoryDescription", "他想製作一些<ActivityItem>風箏</ActivityItem>送給村民，這樣他們就能享受他帶來的微風了。"
"Village!Moana!Maui!VLG_Maui_030_Group03_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我應該做什麼？"
"Village!Moana!Maui!VLG_Maui_030_Group03_Step03_ReadyDescription", "高飛"
"Village!Moana!Maui!VLG_Maui_030_Group03_Step04_ReadyDescription", "梅林"
"Village!Moana!Maui!VLG_Maui_030_Group03_Step05_ReadyDescription", "瓦力"
"Village!Moana!Maui!VLG_Maui_030_Group03_StepDescription", "把<ActivityItem>風箏</ActivityItem>交給："
"Village!Moana!Maui!VLG_Maui_030_Group03_StoryDescription", "是時候把<ActivityItem>風箏</ActivityItem>送給村民，為他們帶來歡樂了。"
"Village!Moana!Maui!VLG_Maui_030_Group04_Step06_StepDescription", "回去找毛伊。"
"Village!Moana!Maui!VLG_Maui_030_Group06_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>你需要什麼？"
"Village!Moana!Maui!VLG_Maui_030_Group06_Step08_ReadyDescription", "把你找到的東西交給毛伊。"
"Village!Moana!Maui!VLG_Maui_030_Group06_Step08_StepDescription", "在曾經島嶼所在的位置釣魚。"
"Village!Moana!Maui!VLG_Maui_030_Group06_StoryDescription", "指引你到達地點後，他鼓勵你釣魚來尋找線索。"
"Village!Moana!Maui!VLG_Maui_030_Group07_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我應該做什麼？"
"Village!Moana!Maui!VLG_Maui_030_Group07_StepDescription", "給毛伊看看<ActivityItem>風箏</ActivityItem>。"
"Village!Moana!Maui!VLG_Maui_030_Group07_StoryDescription", "製作好<ActivityItem>風箏</ActivityItem>後，你把它們交給毛伊檢查。"
"Village!Moana!Maui!VLG_Maui_030_Group08_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我需要做什麼？"
"Village!Moana!Maui!VLG_Maui_030_Group08_Step10_FollowCharacter01_StepDescription", "跟著毛伊前往失落島嶼所在地。"
"Village!Moana!Maui!VLG_Maui_030_Group08_StoryDescription", "爲了感謝你的幫忙，毛伊決定幫你找到失落的島嶼。"
"Village!Moana!Maui!VLG_Maui_030_Group09_Step11_TalkToCharacter01_StepDescription", "和毛伊交談"
"Village!Moana!Maui!VLG_Maui_030_StartRequestButton", "<smallcaps>{title}</smallcaps><br>開始任務"
