"Realm!ToyStory!Woody!RLM_ToyStoryIP_Woody_010_Any_CompletedRequestDescription", "將胡迪迎接到村莊。"
"Realm!ToyStory!Woody!RLM_ToyStoryIP_Woody_010_AvailableDescription", "胡迪需要你幫忙恢復邦妮的特殊工藝品專案。"
"Realm!ToyStory!Woody!RLM_ToyStoryIP_Woody_010_CompletedStoryDescription", "胡迪來到了夢幻星谷。你覺得他可能需要調整一下。這裡的環境比邦妮的房間要複雜一些。"
"Realm!ToyStory!Woody!RLM_ToyStoryIP_Woody_010_DisplayName", "得力助手"
"Realm!ToyStory!Woody!RLM_ToyStoryIP_Woody_010_Group01_Step01_TalkToCharacter01_StepDescription", "在玩具總動員王國和胡迪交談"
"Realm!ToyStory!Woody!RLM_ToyStoryIP_Woody_010_Group02_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我該做什麼？"
"Realm!ToyStory!Woody!RLM_ToyStoryIP_Woody_010_Group02_Step02_BringItem01_StepDescription", "{ItemName}"
"Realm!ToyStory!Woody!RLM_ToyStoryIP_Woody_010_Group02_Step02_BringItem02_StepDescription", "{ItemName}"
"Realm!ToyStory!Woody!RLM_ToyStoryIP_Woody_010_Group02_Step02_ReadyDescription", "把材料交給胡迪"
"Realm!ToyStory!Woody!RLM_ToyStoryIP_Woody_010_Group02_Step02_StepDescription", "在玩具總動員王國收集以下材料："
"Realm!ToyStory!Woody!RLM_ToyStoryIP_Woody_010_Group03_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我要做什麼來著？"
"Realm!ToyStory!Woody!RLM_ToyStoryIP_Woody_010_Group03_Step03_Possess01_StepDescription", "{ItemName}"
"Realm!ToyStory!Woody!RLM_ToyStoryIP_Woody_010_Group03_Step04_TalkToCharacter02_StepDescription", "和巴斯交談維護農場的事情"
"Realm!ToyStory!Woody!RLM_ToyStoryIP_Woody_010_Group03_StepDescription", "在夢幻星谷中收集其餘的材料："
"Realm!ToyStory!Woody!RLM_ToyStoryIP_Woody_010_Group04_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我該做什麼？"
"Realm!ToyStory!Woody!RLM_ToyStoryIP_Woody_010_Group04_Step05_BringItem03_StepDescription", "{ItemName}"
"Realm!ToyStory!Woody!RLM_ToyStoryIP_Woody_010_Group04_Step05_BringItem04_StepDescription", "{ItemName}"
"Realm!ToyStory!Woody!RLM_ToyStoryIP_Woody_010_Group04_Step05_ReadyDescription", "把材料帶給玩具總動員王國的胡迪"
"Realm!ToyStory!Woody!RLM_ToyStoryIP_Woody_010_Group04_Step05_StepDescription", "確保你的物品欄裡有以下材料……"
"Realm!ToyStory!Woody!RLM_ToyStoryIP_Woody_010_Group05_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我該做什麼？"
"Realm!ToyStory!Woody!RLM_ToyStoryIP_Woody_010_Group05_Step06_VisitArea01_StepDescription", "在邦妮的農場的床邊與胡迪見面"
"Realm!ToyStory!Woody!RLM_ToyStoryIP_Woody_010_Group06_Step07_TalkToCharacter03_StepDescription", "和胡迪交談"
"Realm!ToyStory!Woody!RLM_ToyStoryIP_Woody_010_Group07_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我要做什麼來著……？"
"Realm!ToyStory!Woody!RLM_ToyStoryIP_Woody_010_Group07_Step08_ReadyDescription", "把<ActivityItem>動物摺紙</ActivityItem>交給胡迪"
"Realm!ToyStory!Woody!RLM_ToyStoryIP_Woody_010_Group07_Step08_StepDescription", "在房間裡尋找<ActivityItem>動物摺紙</ActivityItem>"
"Realm!ToyStory!Woody!RLM_ToyStoryIP_Woody_010_Group07_StoryDescription", "你已重建邦妮的農場，現在你只需要管理好動物，確保一切都和她離開時一樣。"
"Realm!ToyStory!Woody!RLM_ToyStoryIP_Woody_010_Group08_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我接下來該做什麼？"
"Realm!ToyStory!Woody!RLM_ToyStoryIP_Woody_010_Group08_Step09_PlaceBuilding01_StepDescription", "在夢幻星谷放置胡迪的旋轉木馬"
"Realm!ToyStory!Woody!RLM_ToyStoryIP_Woody_010_Group08_StoryDescription", "你找到了邦妮的動物，讓房間變得和她離開時一樣。危機已經解除，胡迪同意前往夢幻星谷。但他需要一個住的地方。"
"Realm!ToyStory!Woody!RLM_ToyStoryIP_Woody_010_Group09_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我接下來該做什麼？"
"Realm!ToyStory!Woody!RLM_ToyStoryIP_Woody_010_Group09_Step10_Unlock01_StepDescription", "使用史高治標識來支付胡迪的旋轉木馬的建造費"
"Realm!ToyStory!Woody!RLM_ToyStoryIP_Woody_010_Group10_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我接下來該做什麼？"
"Realm!ToyStory!Woody!RLM_ToyStoryIP_Woody_010_Group10_Step11_UnlockCharacter01_StepDescription", "使用史高治標識來支付胡迪的旋轉木馬的建造費"
