"Village!LiloStitch!Stitch!VLG_Stit_040_Any_CompletedRequestDescription", "和史迪奇交談"
"Village!LiloStitch!Stitch!VLG_Stit_040_AvailableDescription", "史迪奇想把創作音樂當成愛好來探索。但要開始音樂生涯並不容易。你需要幫他組建一支樂隊。"
"Village!LiloStitch!Stitch!VLG_Stit_040_CompletedStoryDescription", "史迪奇和他的樂隊上演了一場精彩的演出！現在你得和他談談，聽聽他的感受。"
"Village!LiloStitch!Stitch!VLG_Stit_040_DisplayName", "創作音樂"
"Village!LiloStitch!Stitch!VLG_Stit_040_Group01_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我應該怎麼做？"
"Village!LiloStitch!Stitch!VLG_Stit_040_Group01_StepDescription", "找到一個會演奏完美樂器的村民為史迪奇伴奏。"
"Village!LiloStitch!Stitch!VLG_Stit_040_Group02_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我應該怎麼做？"
"Village!LiloStitch!Stitch!VLG_Stit_040_Group02_StepDescription", "找到演奏完美樂器的村民為史迪奇伴奏。"
"Village!LiloStitch!Stitch!VLG_Stit_040_Group03_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我應該怎麼做？"
"Village!LiloStitch!Stitch!VLG_Stit_040_Group03_Step05_TalkToCharacter10_StepDescription", "找史高治要些音樂裝置"
"Village!LiloStitch!Stitch!VLG_Stit_040_Group03_StoryDescription", "你為史迪奇組建了一支完美的樂隊。"
"Village!LiloStitch!Stitch!VLG_Stit_040_Group04_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我應該怎麼做？"
"Village!LiloStitch!Stitch!VLG_Stit_040_Group04_Step06_Possess01_StepDescription", "{ItemName}"
"Village!LiloStitch!Stitch!VLG_Stit_040_Group04_Step06_Possess02_StepDescription", "{ItemName}"
"Village!LiloStitch!Stitch!VLG_Stit_040_Group04_Step06_Possess03_StepDescription", "{ItemName}"
"Village!LiloStitch!Stitch!VLG_Stit_040_Group04_Step06_Possess04_StepDescription", "{ItemName}"
