"Secret!Mickey!Donald!SEC_Dona_030_AvailableDescription", "你又找到了一隻襪子。你獲取需要調查一下，找到這隻襪子的主人……"
"Secret!Mickey!Donald!SEC_Dona_030_CompletedStoryDescription", "你把史迪奇帶回了夢幻星谷，並且為他找了個地方。現在，你只需要等待，看他如何適應村莊，以及是否還有人丟了襪子……"
"Secret!Mickey!Donald!SEC_Dona_030_DisplayName", "修建是爲了破壞！"
"Secret!Mickey!Donald!SEC_Dona_030_Group01_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我應該怎麼做？"
"Secret!Mickey!Donald!SEC_Dona_030_Group01_Step01_TalkToCharacter01_StepDescription", "和米奇交談"
"Secret!Mickey!Donald!SEC_Dona_030_Group01_Step01_TalkToCharacter02_StepDescription", "和克里斯托夫交談"
"Secret!Mickey!Donald!SEC_Dona_030_Group01_Step02_BringItem01_StepDescription", "確保你的物品欄裡有<ActivityItem>橙色針織襪</ActivityItem>"
"Secret!Mickey!Donald!SEC_Dona_030_Group01_Step02_ReadyDescription", "和梅林交談。"
"Secret!Mickey!Donald!SEC_Dona_030_Group01_StepDescription", "又一隻襪子！找打這隻襪子的主人，你可能需要多打聽打聽。"
"Secret!Mickey!Donald!SEC_Dona_030_Group02_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我應該怎麼做？"
"Secret!Mickey!Donald!SEC_Dona_030_Group02_Step03_VisitArea01_StepDescription", "搜索梅林的書房尋找線索"
"Secret!Mickey!Donald!SEC_Dona_030_Group02_StoryDescription", "你發現很久以前有人為梅林縫製了這隻襪子。他說有人在他的書房偷書和搞破壞。你決定要找出更多與偷襪子的外星人有關的線索。"
"Secret!Mickey!Donald!SEC_Dona_030_Group03_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我應該怎麼做？"
"Secret!Mickey!Donald!SEC_Dona_030_Group03_Step04_PickUp01_StepDescription", "清理梅林的書房裡的來及來尋找線索"
"Secret!Mickey!Donald!SEC_Dona_030_Group04_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我應該怎麼做？"
"Secret!Mickey!Donald!SEC_Dona_030_Group04_Step05_Possess01_StepDescription", "你在梅林的書房裡找到了線索！把它撿起來！"
"Secret!Mickey!Donald!SEC_Dona_030_Group04_StoryDescription", "你在梅林的書房裡發現了一片神秘的爪子，不知道是什麼東西留下的。你要把它帶給唐老鴨，看看它是否與丟失的襪子、藍色毛髮和那個奇怪的裝置有關係。"
"Secret!Mickey!Donald!SEC_Dona_030_Group05_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我應該怎麼做？"
"Secret!Mickey!Donald!SEC_Dona_030_Group05_StepDescription", "把<ActivityItem>神秘的爪子</ActivityItem>帶給唐老鴨"
"Secret!Mickey!Donald!SEC_Dona_030_Group07_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我應該怎麼做？"
"Secret!Mickey!Donald!SEC_Dona_030_Group07_Step08_Decorate01_StepDescription", "把<ActivityItem>歸航指向標</ActivityItem>放到骷髏巖"
"Secret!Mickey!Donald!SEC_Dona_030_Group08_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我們現在應該怎麼做？"
"Secret!Mickey!Donald!SEC_Dona_030_Group08_Step09_TalkToCharacter03_StepDescription", "和偷襪子的外星人交談"
"Secret!Mickey!Donald!SEC_Dona_030_Group08_StoryDescription", "歸航指向標讓一艘外星飛船在墜落在島上。駕駛飛船的是一個藍色小傢伙，他現在在島上亂躥。"
"Secret!Mickey!Donald!SEC_Dona_030_Group09_Step10_TalkToCharacter04_StepDescription", "和唐老鴨交談"
"Secret!Mickey!Donald!SEC_Dona_030_Group10_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我應該怎麼做？"
"Secret!Mickey!Donald!SEC_Dona_030_Group10_Step11_PlaceBuilding01_StepDescription", "在夢幻星谷放置史迪奇的小屋"
"Secret!Mickey!Donald!SEC_Dona_030_Group11_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我應該怎麼做？"
"Secret!Mickey!Donald!SEC_Dona_030_Group11_Step12_Unlock01_StepDescription", "使用史高治標識來支付史迪奇小屋的建築費"
"Secret!Mickey!Donald!SEC_Dona_030_Group12_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我應該怎麼做？"
"Secret!Mickey!Donald!SEC_Dona_030_Group12_Step13_TalkToCharacter05_StepDescription", "找到史迪奇，跟他說說新家的事情。"
"Secret!Mickey!Donald!SEC_Dona_030_Group12_StoryDescription", "你要為史迪奇建一座房子，彌補他的飛船墜毀的損失。"
