"Village!ToyStory!Buzz!VLG_Buzz_010_Any_CompletedRequestDescription", "向巴斯光年報告"
"Village!ToyStory!Buzz!VLG_Buzz_010_AvailableDescription", "巴斯光年有點不確定他在村裡的定位。你建議他成為夢幻星谷版的太空騎警。他很喜歡這個主意，並招收你為學員。巴斯光年決定用他的房車作為星際總部，但爲了更醒目，你決定製作一艘<ActivityItem>太空騎警飛船</ActivityItem>放在前面。"
"Village!ToyStory!Buzz!VLG_Buzz_010_CompletedStoryDescription", "既然你有了自己的<ActivityItem>制服</ActivityItem>，可以回去找巴斯光年了。"
"Village!ToyStory!Buzz!VLG_Buzz_010_DisplayName", "太空騎警招募"
"Village!ToyStory!Buzz!VLG_Buzz_010_Group01_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我能做些什麼？"
"Village!ToyStory!Buzz!VLG_Buzz_010_Group01_Step01_Possess01_StepDescription", "{ItemName}"
"Village!ToyStory!Buzz!VLG_Buzz_010_Group01_Step01_Possess02_StepDescription", "{ItemName}"
"Village!ToyStory!Buzz!VLG_Buzz_010_Group01_Step01_Possess03_StepDescription", "{ItemName}"
"Village!ToyStory!Buzz!VLG_Buzz_010_Group01_StepDescription", "為<ActivityItem>太空騎警飛船</ActivityItem>收集材料："
"Village!ToyStory!Buzz!VLG_Buzz_010_Group02_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我能做些什麼？"
"Village!ToyStory!Buzz!VLG_Buzz_010_Group02_Step02_CraftItem01_StepDescription", "建造<ActivityItem>太空騎警飛船</ActivityItem>"
"Village!ToyStory!Buzz!VLG_Buzz_010_Group03_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我應該去哪裡？"
"Village!ToyStory!Buzz!VLG_Buzz_010_Group03_Step03_Decorate01_StepDescription", "把<ActivityItem>太空騎警飛船</ActivityItem>放在巴斯光年的房車周圍"
"Village!ToyStory!Buzz!VLG_Buzz_010_Group04_Step04_TalkToCharacter01_StepDescription", "回去找巴斯光年"
"Village!ToyStory!Buzz!VLG_Buzz_010_Group05_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我該做什麼？"
"Village!ToyStory!Buzz!VLG_Buzz_010_Group05_StepDescription", "與史高治交談"
"Village!ToyStory!Buzz!VLG_Buzz_010_Group05_StoryDescription", "既然有了完美的<ActivityItem>太空騎警飛船</ActivityItem>，那你看起來也要有點樣子才行，巴斯光年建議你去找史高治，給自己做一套<ActivityItem>太空騎警制服</ActivityItem>。"
"Village!ToyStory!Buzz!VLG_Buzz_010_Group06_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>接下來怎麼做呢？"
"Village!ToyStory!Buzz!VLG_Buzz_010_Group06_Step06_Possess04_StepDescription", "<ActivityItem>藍色低垂釣鐘柳</ActivityItem>"
"Village!ToyStory!Buzz!VLG_Buzz_010_Group06_Step06_Possess05_StepDescription", "<ActivityItem>煤</ActivityItem>"
"Village!ToyStory!Buzz!VLG_Buzz_010_Group06_Step06_Possess06_StepDescription", "<ActivityItem>藍莓</ActivityItem>"
"Village!ToyStory!Buzz!VLG_Buzz_010_Group06_Step06_Possess07_StepDescription", "{ItemName}"
"Village!ToyStory!Buzz!VLG_Buzz_010_Group06_StepDescription", "為<ActivityItem>海軍藍染料</ActivityItem>收集材料"
"Village!ToyStory!Buzz!VLG_Buzz_010_Group06_StoryDescription", "史高治同意為你製作一件太空騎警制服，但是你需要先為他找到材料和一塊黃晶。"
"Village!ToyStory!Buzz!VLG_Buzz_010_Group07_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>接下來怎麼做呢？"
"Village!ToyStory!Buzz!VLG_Buzz_010_Group07_StepDescription", "製作一些<ActivityItem>海軍藍染料</ActivityItem>"
"Village!ToyStory!Buzz!VLG_Buzz_010_Group08_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我需要什麼？"
"Village!ToyStory!Buzz!VLG_Buzz_010_Group08_Step08_BringItem01_StepDescription", "{ItemName}"
"Village!ToyStory!Buzz!VLG_Buzz_010_Group08_Step08_BringItem02_StepDescription", "{ItemName}"
"Village!ToyStory!Buzz!VLG_Buzz_010_Group08_Step08_BringItem03_StepDescription", "<ActivityItem>黃晶</ActivityItem>"
"Village!ToyStory!Buzz!VLG_Buzz_010_Group08_Step08_BringItem04_StepDescription", "{ItemName}"
"Village!ToyStory!Buzz!VLG_Buzz_010_Group08_Step08_ReadyDescription", "把材料交給史高治"
"Village!ToyStory!Buzz!VLG_Buzz_010_Group08_Step08_StepDescription", "收集史高治要求的物品："
"Village!ToyStory!Buzz!VLG_Buzz_010_Group09_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我該做什麼？"
"Village!ToyStory!Buzz!VLG_Buzz_010_Group09_Step09_DressUp01_StepDescription", "{ItemName}"
"Village!ToyStory!Buzz!VLG_Buzz_010_Group09_Step09_DressUp02_StepDescription", "{ItemName}"
"Village!ToyStory!Buzz!VLG_Buzz_010_Group09_Step09_StepDescription", "穿上<ActivityItem>太空騎警制服</ActivityItem>："
"Village!ToyStory!Buzz!VLG_Buzz_010_StartRequestButton", "<smallcaps>{title}</smallcaps><br>開始任務"
