"Village!WallE!WallE!VLG_Wall_070_Any_CompletedRequestDescription", "跟瓦力談談"
"Village!WallE!WallE!VLG_Wall_070_AvailableDescription", "又是一段關於大遺忘之前的瓦力生活的<ActivityItem>記憶</ActivityItem>。去找他吧。"
"Village!WallE!WallE!VLG_Wall_070_CompletedStoryDescription", "重建「天文俱樂部」的第一階段結束了。去看看瓦力是否玩得開心吧。"
"Village!WallE!WallE!VLG_Wall_070_DisplayName", "天文俱樂部"
"Village!WallE!WallE!VLG_Wall_070_Group01_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>(繼續聽瓦力說話)"
"Village!WallE!WallE!VLG_Wall_070_Group01_Step01_StepDescription", "聽瓦力邀請梅林時的對話"
"Village!WallE!WallE!VLG_Wall_070_Group01_StoryDescription", "瓦力很高興有機會重建天文俱樂部"
"Village!WallE!WallE!VLG_Wall_070_Group02_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>(繼續收集物品)"
"Village!WallE!WallE!VLG_Wall_070_Group02_Step02_Possess01_StepDescription", "{ItemName}"
"Village!WallE!WallE!VLG_Wall_070_Group02_Step02_Possess02_StepDescription", "{ItemName}"
"Village!WallE!WallE!VLG_Wall_070_Group02_Step02_StepDescription", "收集所需物品來製作邀請函："
"Village!WallE!WallE!VLG_Wall_070_Group02_StoryDescription", "他親自邀請別人的嘗試失敗了，所以你打算主動幫忙製作邀請函。"
"Village!WallE!WallE!VLG_Wall_070_Group03_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>(繼續加入瓦力的天文俱樂部)"
"Village!WallE!WallE!VLG_Wall_070_Group03_Step04_StepDescription", "加入瓦力的天文俱樂部"
"Village!WallE!WallE!VLG_Wall_070_Group04_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>(繼續在村莊做準備)"
"Village!WallE!WallE!VLG_Wall_070_Group04_Step05_StepDescription", "選擇一個地方放置<ActivityItem>望遠鏡</ActivityItem>"
"Village!WallE!WallE!VLG_Wall_070_Group04_StoryDescription", "一切就緒！咱們重啟天文俱樂部吧！"
"Village!WallE!WallE!VLG_Wall_070_Group05_Step03_StepDescription", "跟瓦力談談，找出問題所在"
"Village!WallE!WallE!VLG_Wall_070_Group06_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>(繼續製作邀請函)"
"Village!WallE!WallE!VLG_Wall_070_Group06_Step06_CraftItem01_StepDescription", "<ActivityItem>墨水瓶</ActivityItem>"
"Village!WallE!WallE!VLG_Wall_070_Group06_Step06_CraftItem02_StepDescription", "<ActivityItem>紙</ActivityItem>"
"Village!WallE!WallE!VLG_Wall_070_Group06_Step06_CraftItem03_StepDescription", "<ActivityItem>天文俱樂部邀請函</ActivityItem>"
"Village!WallE!WallE!VLG_Wall_070_Group06_Step06_StepDescription", "製作以下物品："
"Village!WallE!WallE!VLG_Wall_070_Group07_StepDescription", "去見瓦力"
"Village!WallE!WallE!VLG_Wall_070_Group09_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>(繼續加入瓦力的天文俱樂部)"
"Village!WallE!WallE!VLG_Wall_070_Group09_StepDescription", "把<ActivityItem>天文俱樂部邀請函</ActivityItem>交給瓦力"
"Village!WallE!WallE!VLG_Wall_070_Group09_StoryDescription", "精美的邀請函已製作完畢，你把它們交給瓦力吧。"
"Village!WallE!WallE!VLG_Wall_070_Group10_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>(繼續收集物品)"
"Village!WallE!WallE!VLG_Wall_070_Group10_Step10_Possess03_StepDescription", "{ItemName}"
"Village!WallE!WallE!VLG_Wall_070_Group10_Step10_Possess04_StepDescription", "{ItemName}"
"Village!WallE!WallE!VLG_Wall_070_Group10_Step10_Possess05_StepDescription", "{ItemName}"
"Village!WallE!WallE!VLG_Wall_070_Group10_Step10_StepDescription", "收集以下物品來製作<ActivityItem>望遠鏡</ActivityItem>："
"Village!WallE!WallE!VLG_Wall_070_Group10_Step11_StepDescription", "製作<ActivityItem>鑄補零件</ActivityItem>"
"Village!WallE!WallE!VLG_Wall_070_Group10_StoryDescription", "俱樂部還缺少一件重要裝備……<ActivityItem>望遠鏡</ActivityItem>。"
"Village!WallE!WallE!VLG_Wall_070_Group11_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>(繼續製作望遠鏡)"
"Village!WallE!WallE!VLG_Wall_070_Group11_Step12_CraftItem05_StepDescription", "製作新的天文俱樂部望遠鏡"
"Village!WallE!WallE!VLG_Wall_070_Group12_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>(繼續把望遠鏡帶過去)"
"Village!WallE!WallE!VLG_Wall_070_Group12_Step13_ReadyDescription", "告訴瓦力你拿到了他的新<ActivityItem>望遠鏡</ActivityItem>！"
"Village!WallE!WallE!VLG_Wall_070_Group12_Step13_StepDescription", "獲得瓦力的新<ActivityItem>望遠鏡</ActivityItem>！"
