"Village!Moana!Moana!VLG_Moan_020_Any_CompletedRequestDescription", "和莫阿娜交談"
"Village!Moana!Moana!VLG_Moan_020_AvailableDescription", "關於你找到那件奇怪的東西，莫阿娜想了解更多它的資訊。"
"Village!Moana!Moana!VLG_Moan_020_CompletedStoryDescription", "一旦毛伊原諒了莫阿娜，就會有個新的<ActivityItem>碎片</ActivityItem>出現。是時候聚在一起討論下了。"
"Village!Moana!Moana!VLG_Moan_020_DisplayName", "和平使者"
"Village!Moana!Moana!VLG_Moan_020_Group01_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我該做什麼？"
"Village!Moana!Moana!VLG_Moan_020_Group01_Step03_CraftItem01_StepDescription", "為毛伊製作一把<ActivityItem>船槳</ActivityItem>"
"Village!Moana!Moana!VLG_Moan_020_Group02_Step02_TalkToCharacter01_StepDescription", "回去找莫阿娜"
"Village!Moana!Moana!VLG_Moan_020_Group03_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我要收集什麼？"
"Village!Moana!Moana!VLG_Moan_020_Group03_Step01_Possess02_StepDescription", "<ActivityItem>軟木材</ActivityItem>"
"Village!Moana!Moana!VLG_Moan_020_Group03_StepDescription", "收集以下物品來為毛伊製作<ActivityItem>船槳</ActivityItem>："
"Village!Moana!Moana!VLG_Moan_020_Group03_StoryDescription", "毛伊不會輕易原諒莫阿娜的，你要想想其他的辦法。你想到了一個計劃，送給毛伊一把<ActivityItem>船槳</ActivityItem>。"
"Village!Moana!Moana!VLG_Moan_020_Group05_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>你要去哪裡？"
"Village!Moana!Moana!VLG_Moan_020_Group05_StepDescription", "當莫阿娜把禮物給毛伊的時候，在旁邊聽著。"
"Village!Moana!Moana!VLG_Moan_020_Group06_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我該做什麼？"
"Village!Moana!Moana!VLG_Moan_020_Group06_Step06_ReadyDescription", "把新找到的碎片帶給莫阿娜"
"Village!Moana!Moana!VLG_Moan_020_Group06_Step06_StepDescription", "又出現了一個{ItemName}！撿起來！"
"Village!Moana!Moana!VLG_Moan_020_Group06_StoryDescription", "你把船槳給莫阿娜之後，她去向毛伊道了歉，並且知道了你找到的碎片是<ActivityItem>領袖碎片</ActivityItem>。當人們展現領袖能力的時候，它就會出現。"
"Village!Moana!Moana!VLG_Moan_020_Group07_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我應該做什麼？"
"Village!Moana!Moana!VLG_Moan_020_Group07_Step08_BringItem01_StepDescription", "<ActivityItem>水果沙拉</ActivityItem>"
"Village!Moana!Moana!VLG_Moan_020_Group07_Step08_BringItem04_StepDescription", "<ActivityItem>海鮮拼盤</ActivityItem>"
"Village!Moana!Moana!VLG_Moan_020_Group07_Step08_BringItem05_StepDescription", "<ActivityItem>海鮮沙拉</ActivityItem>"
"Village!Moana!Moana!VLG_Moan_020_Group07_Step08_ReadyDescription", "把你準備的美食帶給毛伊"
"Village!Moana!Moana!VLG_Moan_020_Group07_Step08_StepDescription", "為毛伊製作以下食物："
"Village!Moana!Moana!VLG_Moan_020_Group07_StoryDescription", "毛伊雖然知道這是什麼，但他還是很氣莫阿娜把他一個人留在王國。莫阿娜提議為他準備一些美食來逗他開心。"
"Village!Moana!Moana!VLG_Moan_020_Group08_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我該做什麼？"
"Village!Moana!Moana!VLG_Moan_020_Group08_StepDescription", "把<ActivityItem>船槳</ActivityItem>交給莫阿娜"
"Village!Moana!Moana!VLG_Moan_020_StartRequestButton", "<smallcaps>{title}</smallcaps><br>開始任務"
