"Village!Frozen!Kristoff!VLG_Kris_010_DisplayName", "深入森林"
"Village!Frozen!Kristoff!VLG_Kris_010_Group01_Step01_Possess03_StepDescription", "去勇氣森林，從克里斯托夫以前的篝火處拿<ActivityItem>燒過的木材</ActivityItem>。"
"Village!Frozen!Kristoff!VLG_Kris_010_Group01_StoryDescription", "克里斯托夫在森林裡生活時，有些基本的生活需求無法滿足，比如洗澡。他建議你幫他做些<ActivityItem>肥皂</ActivityItem>，這樣就能解決他的問題了。"
"Village!Frozen!Kristoff!VLG_Kris_010_Group02_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>現在該做什麼？"
"Village!Frozen!Kristoff!VLG_Kris_010_Group02_Step02_CraftItem01_StepDescription", "製作<ActivityItem>胡蘿蔔肥皂</ActivityItem>"
"Village!Frozen!Kristoff!VLG_Kris_010_Group03_Step03_Possess01_StepDescription", "<ActivityItem>胡蘿蔔</ActivityItem>"
"Village!Frozen!Kristoff!VLG_Kris_010_Group03_Step03_Possess02_StepDescription", "<ActivityItem>椰子</ActivityItem>"
"Village!Frozen!Kristoff!VLG_Kris_010_Group03_Step03_StepDescription", "為克里斯托夫收集製作<ActivityItem>肥皂</ActivityItem>的材料："
"Village!Frozen!Kristoff!VLG_Kris_010_Group04_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>現在該做什麼？"
"Village!Frozen!Kristoff!VLG_Kris_010_Group04_StepDescription", "把<ActivityItem>胡蘿蔔肥皂</ActivityItem>帶給克里斯托夫"
"Village!Frozen!Kristoff!VLG_Kris_010_Group04_StoryDescription", "<ActivityItem>肥皂</ActivityItem>已經準備好了，現在要做的就是把它交給克里斯托夫。"
"Village!Frozen!Kristoff!VLG_Kris_010_Group05_OngoingRequestButton", "我應該找誰聊聊？"
"Village!Frozen!Kristoff!VLG_Kris_010_Group05_Step04_TalkToCharacter01_StepDescription", "和毛伊交談"
"Village!Frozen!Kristoff!VLG_Kris_010_Group06_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>現在該做什麼？"
"Village!Frozen!Kristoff!VLG_Kris_010_Group06_Step07_CraftItem02_StepDescription", "在製作臺把<ActivityItem>燒過的木材</ActivityItem>磨成<ActivityItem>碳灰</ActivityItem>"
"Village!Frozen!Kristoff!VLG_Kris_010_Group07_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>現在該做什麼？"
"Village!Frozen!Kristoff!VLG_Kris_010_Group07_Step09_CookMeal01_StepDescription", "在烹飪臺把<ActivityItem>碳灰</ActivityItem>煮沸來提取<ActivityItem>堿液</ActivityItem>"
"Village!Frozen!Kristoff!VLG_Kris_010_Group08_Step05_TalkToCharacter02_StepDescription", "把<ActivityItem>椰子</ActivityItem>帶給克里斯托夫"
"Village!Frozen!Kristoff!VLG_Kris_010_Group09_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>現在該做什麼？"
"Village!Frozen!Kristoff!VLG_Kris_010_Group09_StepDescription", "把<ActivityItem>堿液</ActivityItem>帶給克里斯托夫"
