"Village!Mickey!Mickey!VLG_Mick_030_Any_CompletedRequestDescription", "跟米奇交談"
"Village!Mickey!Mickey!VLG_Mick_030_AvailableDescription", "米奇在找你，想跟你說件重要的事。"
"Village!Mickey!Mickey!VLG_Mick_030_CompletedStoryDescription", "米妮出現又不見了。要把她帶回夢幻星谷可不只是討論幾句那麼簡單。也許米奇會知道下一步該怎麼做……"
"Village!Mickey!Mickey!VLG_Mick_030_DisplayName", "影子和蝴蝶結"
"Village!Mickey!Mickey!VLG_Mick_030_Group01_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>需要我做什麼？"
"Village!Mickey!Mickey!VLG_Mick_030_Group01_Step01_TalkToCharacter01_StepDescription", "跟高飛交談"
"Village!Mickey!Mickey!VLG_Mick_030_Group01_Step01_TalkToCharacter04_StepDescription", "跟史高治交談"
"Village!Mickey!Mickey!VLG_Mick_030_Group01_StepDescription", "向朋友詢問他們最難忘的與米妮有關的回憶"
"Village!Mickey!Mickey!VLG_Mick_030_Group01_StoryDescription", "他想要帶米妮回來，而幫助她的方法就是確保山谷裡的朋友都惦記著她。你去跟他們談談吧。"
"Village!Mickey!Mickey!VLG_Mick_030_Group03_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我們要怎麼做？"
"Village!Mickey!Mickey!VLG_Mick_030_Group03_Step03_TalkToCharacter02_StepDescription", "是米妮！試著和她說話。"
"Village!Mickey!Mickey!VLG_Mick_030_Group03_StoryDescription", "成功了！多虧你的努力，米妮又出現了。"
"Village!Mickey!Mickey!VLG_Mick_030_Group04_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>你現在要怎麼做？"
"Village!Mickey!Mickey!VLG_Mick_030_Group04_Step04_Listen01_StepDescription", "讓米奇和米妮交談"
"Village!Mickey!Mickey!VLG_Mick_030_Group06_Step06_TalkToCharacter03_StepDescription", "跟米奇交談"
"Village!Mickey!Mickey!VLG_Mick_030_Group07_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>接下來怎麼辦？"
"Village!Mickey!Mickey!VLG_Mick_030_Group07_Step07_FollowCharacter01_StepDescription", "跟隨米奇前往城鎮廣場的許願井！"
"Village!Mickey!Mickey!VLG_Mick_030_StartRequestButton", "<smallcaps>{title}</smallcaps><br>開始任務"
