"Village!ToyStory!Woody!VLG_Wood_040_Any_CompletedRequestDescription", "和胡迪交談"
"Village!ToyStory!Woody!VLG_Wood_040_AvailableDescription", "燈開始閃爍的時候，胡迪正在旋轉木馬附近檢視玩具箱。他現在確定箱子裡有修理燈泡的辦法，所以來找你幫忙。"
"Village!ToyStory!Woody!VLG_Wood_040_CompletedStoryDescription", "旋轉木馬一切正常！你成功了。"
"Village!ToyStory!Woody!VLG_Wood_040_DisplayName", "照明問題"
"Village!ToyStory!Woody!VLG_Wood_040_Group01_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我能幫什麼忙？"
"Village!ToyStory!Woody!VLG_Wood_040_Group01_Step01_PickUp01_StepDescription", "在旋轉木馬檢查玩具箱子"
"Village!ToyStory!Woody!VLG_Wood_040_Group02_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我該做什麼？"
"Village!ToyStory!Woody!VLG_Wood_040_Group02_Step02_ConsumeItem01_StepDescription", "在旋轉木馬裡拾取老谷主的遺失日記"
"Village!ToyStory!Woody!VLG_Wood_040_Group03_Step03_TalkToCharacter01_StepDescription", "和胡迪交談"
"Village!ToyStory!Woody!VLG_Wood_040_Group04_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我應該和誰交談？"
"Village!ToyStory!Woody!VLG_Wood_040_Group04_Step04_TalkToCharacter02_StepDescription", "莫娜"
"Village!ToyStory!Woody!VLG_Wood_040_Group04_Step04_TalkToCharacter03_StepDescription", "愛麗兒"
"Village!ToyStory!Woody!VLG_Wood_040_Group04_Step04_TalkToCharacter04_StepDescription", "克里斯托夫"
"Village!ToyStory!Woody!VLG_Wood_040_Group04_StepDescription", "從下列角色處獲取童年玩具："
"Village!ToyStory!Woody!VLG_Wood_040_Group04_StoryDescription", "檢查完玩具箱子後，你發現了一頁谷主的日記，上面寫著你需要從村民那裡獲得童年玩具來裝進箱子。知道了找誰幫忙，你決定去找他們。"
"Village!ToyStory!Woody!VLG_Wood_040_Group05_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>你需要什麼？"
"Village!ToyStory!Woody!VLG_Wood_040_Group05_Step05_BringItem01_StepDescription", "{ItemName}"
"Village!ToyStory!Woody!VLG_Wood_040_Group05_Step05_BringItem02_StepDescription", "{ItemName}"
"Village!ToyStory!Woody!VLG_Wood_040_Group05_Step05_BringItem03_StepDescription", "{ItemName}"
"Village!ToyStory!Woody!VLG_Wood_040_Group05_Step05_ReadyDescription", "把村民的物品帶給胡迪。"
"Village!ToyStory!Woody!VLG_Wood_040_Group05_Step05_StepDescription", "確保你的物品欄裡有村民的物品"
"Village!ToyStory!Woody!VLG_Wood_040_Group06_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我需要什麼？"
"Village!ToyStory!Woody!VLG_Wood_040_Group06_Step06_Possess01_StepDescription", "{ItemName}"
"Village!ToyStory!Woody!VLG_Wood_040_Group06_Step06_Possess02_StepDescription", "{ItemName}"
"Village!ToyStory!Woody!VLG_Wood_040_Group06_Step06_Possess03_StepDescription", "{ItemName}"
"Village!ToyStory!Woody!VLG_Wood_040_Group06_Step06_Possess04_StepDescription", "{ItemName}"
"Village!ToyStory!Woody!VLG_Wood_040_Group06_Step06_Possess05_StepDescription", "{ItemName}"
"Village!ToyStory!Woody!VLG_Wood_040_Group06_StepDescription", "收集製作<ActivityItem>毯子堡壘</ActivityItem>的材料："
"Village!ToyStory!Woody!VLG_Wood_040_Group06_StoryDescription", "儘管你盡力了，但燈還是沒亮。你意識到你需要把你和胡迪的一段回憶放進玩具箱中。你抓住這次機會創造一次快樂的體驗。"
"Village!ToyStory!Woody!VLG_Wood_040_Group07_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>接下來怎麼做呢？"
"Village!ToyStory!Woody!VLG_Wood_040_Group07_Step07_CraftItem01_StepDescription", "製作{ItemName}"
"Village!ToyStory!Woody!VLG_Wood_040_Group08_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我能幫什麼忙？"
"Village!ToyStory!Woody!VLG_Wood_040_Group08_Step08_DressUp01_StepDescription", "穿上{Mood}服裝（可選）"
"Village!ToyStory!Woody!VLG_Wood_040_Group08_Step09_Decorate01_StepDescription", "準備好之後放置<ActivityItem>毯子堡壘</ActivityItem>"
"Village!ToyStory!Woody!VLG_Wood_040_Group08_StepDescription", "和胡迪一起度過完美的睡衣派對："
"Village!ToyStory!Woody!VLG_Wood_040_Group09_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我該做什麼？"
"Village!ToyStory!Woody!VLG_Wood_040_Group09_Step10_Party01_StepDescription", "和巴斯光年及胡迪一起拍照"
"Village!ToyStory!Woody!VLG_Wood_040_Group10_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我能幫什麼忙？"
"Village!ToyStory!Woody!VLG_Wood_040_Group10_Step11_FollowCharacter01_StepDescription", "在旋轉木馬處與胡迪見面"
"Village!ToyStory!Woody!VLG_Wood_040_Group10_Step11_FollowCharacter01_TalkToDescription", "和胡迪交談"
"Village!ToyStory!Woody!VLG_Wood_040_Group10_StoryDescription", "看看你拍的照片是否能夠點亮旋轉木馬。"
"Village!ToyStory!Woody!VLG_Wood_040_StartRequestButton", "<smallcaps>{title}</smallcaps><br>開始任務"
