"Village!Moana!Maui!VLG_Maui_010_Any_CompletedRequestDescription", "和毛伊交談"
"Village!Moana!Maui!VLG_Maui_010_AvailableDescription", "毛伊想和你談談"
"Village!Moana!Maui!VLG_Maui_010_CompletedStoryDescription", "一棵<ActivityItem>椰子樹</ActivityItem>出現在炫麗海灘。既然你把<ActivityItem>椰子</ActivityItem>帶到村裡，毛伊應該會很開心。"
"Village!Moana!Maui!VLG_Maui_010_DisplayName", "埋鰻魚"
"Village!Moana!Maui!VLG_Maui_010_Group01_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我應該做什麼？"
"Village!Moana!Maui!VLG_Maui_010_Group01_Step01_TalkToCharacter01_StepDescription", "和高飛交談"
"Village!Moana!Maui!VLG_Maui_010_Group01_StoryDescription", "這位半神認為夢幻星谷缺了點什麼，沒錯，那就是<ActivityItem>椰子</ActivityItem>。爲了解決這個問題，他決定在村莊裡種些椰子，但首先他需要一條<ActivityItem>鰻魚</ActivityItem>。他認為高飛能夠幫忙。"
"Village!Moana!Maui!VLG_Maui_010_Group02_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我應該做什麼？"
"Village!Moana!Maui!VLG_Maui_010_Group02_Step02_Possess01_StepDescription", "{ItemName}"
"Village!Moana!Maui!VLG_Maui_010_Group02_Step02_Possess02_StepDescription", "{ItemName}"
"Village!Moana!Maui!VLG_Maui_010_Group02_Step02_StepDescription", "收集以下物品："
"Village!Moana!Maui!VLG_Maui_010_Group02_StoryDescription", "高飛說爲了捕到<ActivityItem>鰻魚</ActivityItem>，你需要一個捕魚器。"
"Village!Moana!Maui!VLG_Maui_010_Group03_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我應該做什麼？"
"Village!Moana!Maui!VLG_Maui_010_Group03_Step03_StepDescription", "在絢麗海灘的碼頭附近放置<ActivityItem>捕魚器</ActivityItem>"
"Village!Moana!Maui!VLG_Maui_010_Group03_StoryDescription", "你已經有了捕魚器，只需將它放置到炫麗海灘碼頭附近的水裡就行了。"
"Village!Moana!Maui!VLG_Maui_010_Group04_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我應該做什麼？"
"Village!Moana!Maui!VLG_Maui_010_Group04_Step05_ReadyDescription", "把{ItemName}帶給毛伊"
"Village!Moana!Maui!VLG_Maui_010_Group04_Step05_StepDescription", "釣一條被<ActivityItem>捕魚器</ActivityItem>中的魚餌吸引而來的<ActivityItem>鰻魚</ActivityItem>"
"Village!Moana!Maui!VLG_Maui_010_Group05_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我應該做什麼？"
"Village!Moana!Maui!VLG_Maui_010_Group05_Step06_StepDescription", "把<ActivityItem>鰻魚</ActivityItem>埋在海灘上"
"Village!Moana!Maui!VLG_Maui_010_Group05_StoryDescription", "聽起來很不可思議，你必須種下<ActivityItem>鰻魚</ActivityItem>，才能長出<ActivityItem>椰子</ActivityItem>……"
"Village!Moana!Maui!VLG_Maui_010_Group06_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我應該做什麼？"
"Village!Moana!Maui!VLG_Maui_010_Group06_Step08_BringItem02_StepDescription", "從新長出來的<ActivityItem>椰子樹</ActivityItem>上收穫<ActivityItem>椰子</ActivityItem>"
"Village!Moana!Maui!VLG_Maui_010_Group06_Step08_ReadyDescription", "把<ActivityItem>椰子</ActivityItem>帶給毛伊"
"Village!Moana!Maui!VLG_Maui_010_Group07_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我應該做什麼？"
"Village!Moana!Maui!VLG_Maui_010_Group07_Step10_StepDescription", "製作<ActivityItem>捕魚器</ActivityItem>"
"Village!Moana!Maui!VLG_Maui_010_Group08_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我應該做什麼？"
"Village!Moana!Maui!VLG_Maui_010_Group08_Step07_MakeGarden01_StepDescription", "照料作物，直到它長成一棵<ActivityItem>椰子樹</ActivityItem>。"
"Village!Moana!Maui!VLG_Maui_010_Group09_Step04_TalkToCharacter02_StepDescription", "和毛伊交談"
"Village!Moana!Maui!VLG_Maui_010_StartRequestButton", "<smallcaps>{title}</smallcaps><br>開始任務"
