"Village!WallE!WallE!VLG_Wall_040_Any_CompletedRequestDescription", "去見瓦力"
"Village!WallE!WallE!VLG_Wall_040_AvailableDescription", "你找到了一個關於瓦力的奇怪<ActivityItem>記憶</ActivityItem>。"
"Village!WallE!WallE!VLG_Wall_040_CompletedStoryDescription", "現在它好了，瓦力肯定會告訴你它有什麼用。"
"Village!WallE!WallE!VLG_Wall_040_DisplayName", "損壞的記憶"
"Village!WallE!WallE!VLG_Wall_040_Group01_Step01_TalkToCharacter01_StepDescription", "去見瓦力"
"Village!WallE!WallE!VLG_Wall_040_Group01_StoryDescription", "如果你想了解更多有關這段奇怪<ActivityItem>記憶</ActivityItem>的事，你得去找他談談。"
"Village!WallE!WallE!VLG_Wall_040_Group03_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我們要去哪裡？"
"Village!WallE!WallE!VLG_Wall_040_Group03_Step03_FollowCharacter01_StepDescription", "跟隨瓦力"
"Village!WallE!WallE!VLG_Wall_040_Group03_StoryDescription", "顯然，這段<ActivityItem>回憶</ActivityItem>與你在垃圾中找到的機器有關。瓦力想幫你修好它，就讓你去尋找<ActivityItem>電子元件</ActivityItem>。"
"Village!WallE!WallE!VLG_Wall_040_Group04_Step04_TalkToCharacter02_StepDescription", "跟瓦力談談"
"Village!WallE!WallE!VLG_Wall_040_Group05_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>(繼續製作)"
"Village!WallE!WallE!VLG_Wall_040_Group05_Step05_CraftItem01_StepDescription", "製作<ActivityItem>鑄補零件</ActivityItem>"
"Village!WallE!WallE!VLG_Wall_040_Group06_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>(繼續交出物品)"
"Village!WallE!WallE!VLG_Wall_040_Group06_Step06_ReadyDescription", "把你找到的<ActivityItem>電子元件</ActivityItem>交給瓦力"
"Village!WallE!WallE!VLG_Wall_040_Group06_Step06_StepDescription", "搜索瓦力的小屋尋找<ActivityItem>電子元件</ActivityItem>"
"Village!WallE!WallE!VLG_Wall_040_Group06_StoryDescription", "與瓦力的討論沒有給到你想要的答案，他決定直接展示給你看。"
"Village!WallE!WallE!VLG_Wall_040_Group07_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>(繼續修理機器)"
"Village!WallE!WallE!VLG_Wall_040_Group07_Step07_CraftItem02_StepDescription", "修復<ActivityItem>F02937 M3 N07</ActivityItem>機器"
"Village!WallE!WallE!VLG_Wall_040_Group07_StoryDescription", "收集元件之後，你修好了<ActivityItem>F02937 M3 N07</ActivityItem>機器。"
"Village!WallE!WallE!VLG_Wall_040_Group08_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>(繼續製作)我要做什麼？"
"Village!WallE!WallE!VLG_Wall_040_Group08_StepDescription", "把修復好的<ActivityItem>F02937 M3 N07</ActivityItem>機器帶給瓦力"
"Village!WallE!WallE!VLG_Wall_040_Group09_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>(繼續搜索王國)"
"Village!WallE!WallE!VLG_Wall_040_Group09_Step09_ReadyDescription", "把<ActivityItem>電子元件</ActivityItem>交給瓦力"
"Village!WallE!WallE!VLG_Wall_040_Group09_Step09_StepDescription", "探索瓦力的王國尋找另一個<ActivityItem>電子元件</ActivityItem>"
