"Story!MRQS060_Gardening_Any_CompletedRequestDescription", "看看米奇是怎麼想的。"
"Story!MRQS060_Gardening_AvailableDescription", "現在你找到了食譜，趕快跟米奇一起製作美食吧！"
"Story!MRQS060_Gardening_CompletedStoryDescription", "是時候讓米奇看看你的廚藝能否跟小米的媲美了。"
"Story!MRQS060_Gardening_DisplayName", "美食品鑑"
"Story!MRQS060_Gardening_Group01_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>如何播種？"
"Story!MRQS060_Gardening_Group01_Step01_GardeningPlant01_StepDescription", "挖個洞，種些<ActivityItem>小麥</ActivityItem>"
"Story!MRQS060_Gardening_Group01_Step11_StepDescription", "用你背包裡的書學習<ActivityItem>薄脆餅乾</ActivityItem>食譜。"
"Story!MRQS060_Gardening_Group01_StoryDescription", "由於本土種植的食材是最好的，所以米奇帶你去了解了下夢幻星谷的園藝工作。"
"Story!MRQS060_Gardening_Group02_Step02_TalkToCharacter01_StepDescription", "幹得好！去跟米奇談談。"
"Story!MRQS060_Gardening_Group03_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我在哪裡可以找到灑水壺？"
"Story!MRQS060_Gardening_Group03_Step03_Unlock01_StepDescription", "在你的小屋附近尋找皇家灑水壺"
"Story!MRQS060_Gardening_Group03_StoryDescription", "為防止你剛種的作物枯萎，你得去找個灑水壺來。"
"Story!MRQS060_Gardening_Group04_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>如何給作物澆水？"
"Story!MRQS060_Gardening_Group04_Step04_WaterPlant01_StepDescription", "使用{input_usetool}來用灑水壺給作物澆水"
"Story!MRQS060_Gardening_Group04_StoryDescription", "在村莊裡找到新的工具後，你用它來給作物澆水。"
"Story!MRQS060_Gardening_Group05_Step05_TalkToCharacter02_StepDescription", "等待作物生長時跟米奇交談"
"Story!MRQS060_Gardening_Group06_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我該怎麼做？"
"Story!MRQS060_Gardening_Group06_Step06_VisitArea01_StepDescription", "跟米奇去你的小屋開始烹飪！"
"Story!MRQS060_Gardening_Group07_Step07_TalkToCharacter03_StepDescription", "我們去哪兒烹飪？找米奇談談。"
"Story!MRQS060_Gardening_Group08_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>如何烹飪？"
"Story!MRQS060_Gardening_Group08_Step08_CookMeal01_StepDescription", "{ItemName}"
"Story!MRQS060_Gardening_Group08_Step08_CookMeal02_StepDescription", "{ItemName}"
"Story!MRQS060_Gardening_Group08_Step08_StepDescription", "使用烤箱製作以下食物："
"Story!MRQS060_Gardening_Group08_StoryDescription", "搞定園藝之後，你準備學習如何製作美食。就從做<ActivityItem>水果沙拉</ActivityItem>和<ActivityItem>薄脆餅乾</ActivityItem>開始吧？"
"Story!MRQS060_Gardening_Group09_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我該怎麼做？"
"Story!MRQS060_Gardening_Group09_Step09_Decorate01_StepDescription", "把烤箱放進你的小屋裡"
"Story!MRQS060_Gardening_Group09_StepDescription", "烤箱屬於家具。(使用{input_inventory}打開背包並找到家具選單。)"
"Story!MRQS060_Gardening_Group10_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>在哪裡可以找到<ActivityItem>蘋果</ActivityItem>？"
"Story!MRQS060_Gardening_Group10_Step10_Possess01_StepDescription", "{ItemName}"
"Story!MRQS060_Gardening_Group10_Step10_Possess02_StepDescription", "{ItemName}"
"Story!MRQS060_Gardening_Group10_Step10_StepDescription", "收集以下材料："
"Story!MRQS060_Gardening_Group11_Step12_TalkToCharacter04_StepDescription", "在米奇的花園裡跟他交談。"
