"Floor01!color01_DisplayName", "嘎吱作響的木地板"
"Floor02!color01_DisplayName", "鋪著藍色地毯的地板"
"Floor02!color02_DisplayName", "鋪著紅色地毯的地板"
"Floor03!color01_DisplayName", "木地板"
"Floor03!color02_DisplayName", "深色木地板"
"Floor03!color03_DisplayName", "淺色木地板"
"Floor04!color01_DisplayName", "大塊灰石瓷磚"
"Floor04!color02_DisplayName", "大塊棕石瓷磚"
"Floor05!color01_DisplayName", "華麗的棕色大理石地板"
"Floor05!color02_DisplayName", "華麗的黑色大理石地板"
"Floor06!color01_DisplayName", "黑白格大理石地板"
"Floor06!color02_DisplayName", "棕白格大理石地板"
"Floor08!color01_DisplayName", "大理石地磚"
"Floor08!color02_DisplayName", "星空大理石地磚"
"Floor09!color01_DisplayName", "人字形木地板"
"Floor09!color02_DisplayName", "深色人字形木地板"
"Floor09!color03_DisplayName", "淺色人字形木地板"
"Floor10!color01_DisplayName", "雙人字形木地板"
"Floor10!color02_DisplayName", "深色雙人字形木地板"
"Floor10!color03_DisplayName", "淺色雙人字形木地板"
"Floor11!color01_DisplayName", "V形木地板"
"Floor11!color02_DisplayName", "深色V形木地板"
"Floor11!color03_DisplayName", "淺色V形木地板"
"Floor12!color01_DisplayName", "條形木地板"
"Floor12!color02_DisplayName", "深色條形木地板"
"Floor12!color03_DisplayName", "淺色條形木地板"
"Floor13!color01_DisplayName", "馬賽克木地板"
"Floor13!color02_DisplayName", "深色馬賽克木地板"
"Floor13!color03_DisplayName", "淺色馬賽克木地板"
"Floor14!color01_DisplayName", "尚蒂伊紋飾木地板"
"Floor14!color02_DisplayName", "深色尚蒂伊紋飾木地板"
"Floor14!color03_DisplayName", "淺色尚蒂伊紋飾木地板"
"Floor15!color01_DisplayName", "編織格木地板"
"Floor15!color02_DisplayName", "深色編織格木地板"
"Floor15!color03_DisplayName", "淺色編織格木地板"
"Floor16!color01_DisplayName", "雙股編織格木地板"
"Floor16!color02_DisplayName", "深色雙股編織格木地板"
"Floor16!color03_DisplayName", "淺色雙股編織格木地板"
"Floor17!color01_DisplayName", "凡爾賽紋飾木地板"
"Floor17!color02_DisplayName", "深色凡爾賽紋飾木地板"
"Floor17!color03_DisplayName", "淺色凡爾賽紋飾木地板"
