"Story!MRQS030_MoneySpending_Any_CompletedRequestDescription", "你成功了！去看看史高治是怎麼想的。"
"Story!MRQS030_MoneySpending_AvailableDescription", "你在史高治關著門的小店前找到了他。他向你解釋說他以前是在夢幻星谷賣家具和衣服的……但大遺忘讓他破產了。他迫切需要一位投資者幫他重新開業。他建議你去跟高飛做交易來賺點錢。"
"Story!MRQS030_MoneySpending_CompletedStoryDescription", "通過籌集資金和付費修繕，你幫史高治重新開業了。他現在應該欣喜若狂了。你去問問他就知道了。"
"Story!MRQS030_MoneySpending_DisplayName", "生意興隆"
"Story!MRQS030_MoneySpending_Group01_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>如何修復商店？"
"Story!MRQS030_MoneySpending_Group01_Step01_Unlock01_StepDescription", "使用史高治商店外的標識來修復它"
"Story!MRQS030_MoneySpending_Group02_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>怎樣獲得星幣？"
"Story!MRQS030_MoneySpending_Group02_Step02_Possess01_StepDescription", "獲取星幣來修復史高治商店"
"Story!MRQS030_MoneySpending_Group03_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我要如何投資？"
"Story!MRQS030_MoneySpending_Group03_Step03_PurchaseItem01_StepDescription", "在史高治的商店購買物品"
"Story!MRQS030_MoneySpending_Group04_Step04_TalkToCharacter01_StepDescription", "跟史高治交談"
"Story!MRQS030_MoneySpending_Group05_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我應該去哪兒找高飛？"
"Story!MRQS030_MoneySpending_Group05_Step05_Conditional01_StepDescription", "去草地找高飛"
"Story!MRQS030_MoneySpending_Group06_Step06_TalkToCharacter02_StepDescription", "跟史高治交談"
"Story!MRQS030_MoneySpending_Group07_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我應該去哪兒找高飛？"
"Story!MRQS030_MoneySpending_Group07_Step07_Conditional02_StepDescription", "幫助高飛重新開業"
"Story!MRQS030_MoneySpending_StartRequestButton", "<smallcaps>{title}</smallcaps><br>唐老鴨先生！需要我幫忙嗎？"
