"Village!Mickey!Scrooge!VLG_Scro_080_AvailableDescription", "史高治認為他知道如何找到寶藏。"
"Village!Mickey!Scrooge!VLG_Scro_080_Group01_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我需要做什麼？"
"Village!Mickey!Scrooge!VLG_Scro_080_Group01_Step01_DressUp01_StepDescription", "戴上<ActivityItem>暗影眼鏡</ActivityItem>去尋找寶藏"
"Village!Mickey!Scrooge!VLG_Scro_080_Group02_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我應該做什麼？"
"Village!Mickey!Scrooge!VLG_Scro_080_Group02_Step02_ReadyDescription", "把鑰匙和寶箱交給史高治"
"Village!Mickey!Scrooge!VLG_Scro_080_Group02_Step02_StepDescription", "收集缺失的碎片："
"Village!Mickey!Scrooge!VLG_Scro_080_Group03_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>接下來幹什麼？"
"Village!Mickey!Scrooge!VLG_Scro_080_Group04_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我應該做什麼？"
"Village!Mickey!Scrooge!VLG_Scro_080_Group04_Step04_CraftItem01_StepDescription", "去製作臺修復鑰匙"
"Village!Mickey!Scrooge!VLG_Scro_080_Group05_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我需要做什麼？"
"Village!Mickey!Scrooge!VLG_Scro_080_Group05_Step05_Possess01_StepDescription", "收集<ActivityItem>金塊</ActivityItem>"
"Village!Mickey!Scrooge!VLG_Scro_080_Group06_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我應該做什麼？"
"Village!Mickey!Scrooge!VLG_Scro_080_Group06_Step06_Possess03_StepDescription", "對物品欄中的地圖使用魔法"
"Village!Mickey!Scrooge!VLG_Scro_080_Group07_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我應該做什麼？"
"Village!Mickey!Scrooge!VLG_Scro_080_Group07_Step07_Unlock01_StepDescription", "地圖變成了一段<ActivityItem>回憶</ActivityItem>，找出隱藏在其中的秘密。"
"Village!Mickey!Scrooge!VLG_Scro_080_Group09_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我應該做什麼？"
"Village!Mickey!Scrooge!VLG_Scro_080_Group09_Step08_BringItem05_StepDescription", "從史高治那獲得地圖"
"Village!Mickey!Scrooge!VLG_Scro_080_Group09_Step08_ReadyDescription", "把地圖帶給梅林"
"Village!Mickey!Scrooge!VLG_Scro_080_Group10_Step09_TalkToCharacter01_StepDescription", "問史高治暗影眼鏡的事"
"Village!Mickey!Scrooge!VLG_Scro_080_StartRequestButton", "<smallcaps>{title}</smallcaps><br>開始任務"
