"Story!MRQS070_BeachStory_Any_CompletedRequestDescription", "讓梅林知道烏蘇拉自由了。"
"Story!MRQS070_BeachStory_AvailableDescription", "梅林有重要的事要告訴你。"
"Story!MRQS070_BeachStory_CompletedStoryDescription", "在完成考驗並找回<ActivityItem>力量寶珠</ActivityItem>後，你不得不將烏蘇拉重獲自由的事告訴梅林。"
"Story!MRQS070_BeachStory_DisplayName", "量力而行……"
"Story!MRQS070_BeachStory_Group01_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>現在我應該怎麼做？"
"Story!MRQS070_BeachStory_Group01_Step01_FillKeyhole01_StepDescription", "把烏蘇拉的<ActivityItem>水晶鑰匙</ActivityItem>放進一個裝置裡，那個裝置就位於炫麗海灘那個被鎖住的洞穴入口旁邊。"
"Story!MRQS070_BeachStory_Group01_StoryDescription", "你答應幫烏蘇拉逃離洞穴，以此來獲得她掌握的資訊。如果你想阻止眼下正在發生的事，你需要找到<ActivityItem>力量寶珠</ActivityItem>，而寶珠就藏在一個被鎖住的秘密洞穴裡，烏蘇拉有把鑰匙給你。"
"Story!MRQS070_BeachStory_Group02_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我能幫你做什麼？"
"Story!MRQS070_BeachStory_Group02_StepDescription", "探索被詛咒的洞穴"
"Story!MRQS070_BeachStory_Group03_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>現在我應該怎麼做？"
"Story!MRQS070_BeachStory_Group03_Step12_Possess01_StepDescription", "將<ActivityItem>力量寶珠</ActivityItem>從神秘洞穴的水裡釣出來。"
"Story!MRQS070_BeachStory_Group04_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我要如何才能通過第二場考驗？"
"Story!MRQS070_BeachStory_Group04_Step04_StepDescription", "想辦法移除神秘洞穴裡的第二道魔法門"
"Story!MRQS070_BeachStory_Group05_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我要如何才能通過第一場考驗？"
"Story!MRQS070_BeachStory_Group05_Step05_StepDescription", "想辦法移除神秘洞穴裡的第一道魔法門"
"Story!MRQS070_BeachStory_Group05_StoryDescription", "打開洞穴倒是很容易，但進到洞穴後，你遇到了一系列令人頭疼的謎語。"
"Story!MRQS070_BeachStory_Group06_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我要如何才能通過第三場考驗？"
"Story!MRQS070_BeachStory_Group06_Step06_StepDescription", "想辦法移除神秘洞穴裡的第三道魔法門"
"Story!MRQS070_BeachStory_Group07_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>現在我應該怎麼做？"
"Story!MRQS070_BeachStory_Group07_Step07_FillKeyhole05_StepDescription", "把<ActivityItem>力量寶珠</ActivityItem>放到柱子上"
"Story!MRQS070_BeachStory_Group08_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>現在我應該怎麼做？"
"Story!MRQS070_BeachStory_Group08_Step08_TalkToCharacter02_StepDescription", "回去找烏蘇拉"
"Story!MRQS070_BeachStory_Group09_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>梅林，我能幫什麼忙？"
"Story!MRQS070_BeachStory_Group09_Step09_TalkToCharacter03_StepDescription", "跟梅林交談"
"Story!MRQS070_BeachStory_Group09_Step10_TalkToCharacter04_StepDescription", "探索被詛咒的洞穴"
"Story!MRQS070_BeachStory_Group09_StoryDescription", "梅林和部分村民擔心大遺忘又開始了。夢幻星谷的命運掌握在海洋女巫的手中。"
"Story!MRQS070_BeachStory_Group10_Step11_TalkToCharacter05_StepDescription", "跟梅林交談"
"Story!MRQS070_BeachStory_Group11_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我該怎麼做？"
"Story!MRQS070_BeachStory_Group11_Step03_VisitArea01_StepDescription", "探索神秘洞穴"
