"Village!Moana!Moana!VLG_Moan_030_AvailableDescription", "莫阿娜正在找你。"
"Village!Moana!Moana!VLG_Moan_030_Choice1_CompletedRequestDescription", "和莫阿娜討論你知道的事情。"
"Village!Moana!Moana!VLG_Moan_030_Choice2_CompletedRequestDescription", "和莫阿娜討論你知道的事情。"
"Village!Moana!Moana!VLG_Moan_030_Choice3_CompletedRequestDescription", "和莫阿娜討論你知道的事情。"
"Village!Moana!Moana!VLG_Moan_030_CompletedStoryDescription", "小豬胖胖還是沒出現。也許莫阿娜能告訴你，她什麼時候能再次見到她的朋友。"
"Village!Moana!Moana!VLG_Moan_030_DisplayName", "回憶"
"Village!Moana!Moana!VLG_Moan_030_Group01_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我需要做什麼？"
"Village!Moana!Moana!VLG_Moan_030_Group01_Step01_PickUp01_StepDescription", "移除莫阿娜小屋的暗夜荊棘"
"Village!Moana!Moana!VLG_Moan_030_Group01_StoryDescription", "莫阿娜的小屋長滿了暗夜荊棘，只有你才能清理它們"
"Village!Moana!Moana!VLG_Moan_030_Group02_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我應該做什麼？"
"Village!Moana!Moana!VLG_Moan_030_Group02_StepDescription", "出現了一段<ActivityItem>回憶</ActivityItem>。看看是關於什麼的。"
"Village!Moana!Moana!VLG_Moan_030_Group03_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我要做什麼？"
"Village!Moana!Moana!VLG_Moan_030_Group03_StepDescription", "調查新出現的<ActivityItem>回憶</ActivityItem>"
"Village!Moana!Moana!VLG_Moan_030_Group04_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我該做什麼？"
"Village!Moana!Moana!VLG_Moan_030_Group04_StepDescription", "又出現了一段莫阿娜的<ActivityItem>回憶</ActivityItem>！調查一下。"
"Village!Moana!Moana!VLG_Moan_030_Group05_OngoingRequestButton", "(繼續幫助莫阿娜)"
"Village!Moana!Moana!VLG_Moan_030_Group05_StepDescription", "莫阿娜的第四段<ActivityItem>回憶</ActivityItem>出現了！調查一下。"
"Village!Moana!Moana!VLG_Moan_030_Group06_StepDescription", "莫安娜有了突破！和她談談！"
"Village!Moana!Moana!VLG_Moan_030_Group07_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我該做什麼？"
"Village!Moana!Moana!VLG_Moan_030_Group07_Step07_BringItem01_StepDescription", "收集<ActivityItem>椰子</ActivityItem>"
"Village!Moana!Moana!VLG_Moan_030_Group07_Step07_ReadyDescription", "把<ActivityItem>椰子</ActivityItem>帶給莫阿娜"
"Village!Moana!Moana!VLG_Moan_030_Group07_StoryDescription", "莫阿娜意識到她把她的朋友小豬胖胖留在了夢幻星谷。那隻小豬肯定藏在某個地方。莫阿娜需要<ActivityItem>椰子</ActivityItem>才能把它引出來。"
"Village!Moana!Moana!VLG_Moan_030_Group08_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我該做什麼？"
"Village!Moana!Moana!VLG_Moan_030_Group08_Step08_ReadyDescription", "把<ActivityItem>領袖碎片</ActivityItem>帶給莫阿娜"
"Village!Moana!Moana!VLG_Moan_030_Group08_Step08_StepDescription", "撿起剛剛出現的<ActivityItem>領袖碎片</ActivityItem>"
"Village!Moana!Moana!VLG_Moan_030_Group08_StoryDescription", "你的行為又一次讓<ActivityItem>領袖碎片</ActivityItem>出現了。"
"Village!Moana!Moana!VLG_Moan_030_Group09_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我需要找到什麼？"
"Village!Moana!Moana!VLG_Moan_030_Group09_Step09_StepDescription", "找到莫阿娜的<ActivityItem>回憶</ActivityItem>裡的鮮花"
"Village!Moana!Moana!VLG_Moan_030_Group09_StoryDescription", "清理暗夜荊棘後出現的<ActivityItem>回憶</ActivityItem>，讓你開始追蹤莫安娜過去在夢幻星谷的軌跡。"
"Village!Moana!Moana!VLG_Moan_030_Group10_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我需要做什麼？"
"Village!Moana!Moana!VLG_Moan_030_Group10_Step10_TalkToCharacter04_StepDescription", "和毛伊交談"
"Village!Moana!Moana!VLG_Moan_030_Group11_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我該做什麼？"
"Village!Moana!Moana!VLG_Moan_030_Group11_Step11_StepDescription", "在勇氣森林中採摘一些水果"
"Village!Moana!Moana!VLG_Moan_030_Group12_Step12_TalkToCharacter02_StepDescription", "和莫阿娜交談"
"Village!Moana!Moana!VLG_Moan_030_Group13_Step13_TalkToCharacter03_StepDescription", "和莫阿娜交談"
"Village!Moana!Moana!VLG_Moan_030_Group14_Step14_TalkToCharacter05_StepDescription", "和莫阿娜交談"
"Village!Moana!Moana!VLG_Moan_030_StartRequestButton", "<smallcaps>{title}</smallcaps><br>開始任務"
