"Village!Mickey!Minnie!VLG_Minn_040_Any_CompletedRequestDescription", "去跟米妮談談俱樂部的事"
"Village!Mickey!Minnie!VLG_Minn_040_AvailableDescription", "米妮有個絕妙的主意並需要你的幫助。"
"Village!Mickey!Minnie!VLG_Minn_040_CompletedStoryDescription", "第一次俱樂部會議很成功，不過還是問問米妮的意見吧，以防萬一。"
"Village!Mickey!Minnie!VLG_Minn_040_DisplayName", "俱樂部翻新"
"Village!Mickey!Minnie!VLG_Minn_040_Group01_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我可以幫你做什麼？"
"Village!Mickey!Minnie!VLG_Minn_040_Group01_Step01_Possess04_StepDescription", "<ActivityItem>布料</ActivityItem>"
"Village!Mickey!Minnie!VLG_Minn_040_Group01_Step01_Possess05_StepDescription", "<ActivityItem>金塊</ActivityItem>"
"Village!Mickey!Minnie!VLG_Minn_040_Group01_Step09_CraftItem03_StepDescription", "製作<ActivityItem>紅色染料</ActivityItem>"
"Village!Mickey!Minnie!VLG_Minn_040_Group01_StepDescription", "收集以下物品用於製作<ActivityItem>歡樂好友俱樂部條幅</ActivityItem>"
"Village!Mickey!Minnie!VLG_Minn_040_Group01_StoryDescription", "舊的旗幟已經壞得沒法修了，米妮認為最好的辦法就是做個新的。"
"Village!Mickey!Minnie!VLG_Minn_040_Group02_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我可以幫你做什麼？"
"Village!Mickey!Minnie!VLG_Minn_040_Group02_Step02_CraftItem01_StepDescription", "製作<ActivityItem>歡樂好友俱樂部條幅</ActivityItem>"
"Village!Mickey!Minnie!VLG_Minn_040_Group04_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我應該做什麼？"
"Village!Mickey!Minnie!VLG_Minn_040_Group04_Step04_Decorate01_StepDescription", "在你家選個好地方放置<ActivityItem>歡樂好友俱樂部條幅</ActivityItem>"
"Village!Mickey!Minnie!VLG_Minn_040_Group05_Step05_TalkToCharacter03_StepDescription", "去跟米妮談談"
"Village!Mickey!Minnie!VLG_Minn_040_Group05_StoryDescription", "你找到一個舊條幅，上面寫著「歡樂好友」。條幅有點破舊但米妮看到也許會開心。"
"Village!Mickey!Minnie!VLG_Minn_040_Group06_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我們要去哪裡？"
"Village!Mickey!Minnie!VLG_Minn_040_Group06_Step06_VisitArea01_StepDescription", "去你的小屋"
"Village!Mickey!Minnie!VLG_Minn_040_Group06_StoryDescription", "米妮喜歡新的條幅，她說第一次俱樂部會議去你家開。"
"Village!Mickey!Minnie!VLG_Minn_040_Group07_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>還要做什麼？"
"Village!Mickey!Minnie!VLG_Minn_040_Group07_Step07_Party01_StepDescription", "重新創辦歡樂好友俱樂部"
"Village!Mickey!Minnie!VLG_Minn_040_Group08_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我應該從哪兒開始找？"
"Village!Mickey!Minnie!VLG_Minn_040_Group08_Step08_Possess01_StepDescription", "去信仰林地尋找丟失的條幅"
"Village!Mickey!Minnie!VLG_Minn_040_Group08_StoryDescription", "她要重新創辦「歡樂好友俱樂部」，想看看有沒有舊條幅可以用。你決定幫她找找。"
"Village!Mickey!Minnie!VLG_Minn_040_StartRequestButton", "<smallcaps>{title}</smallcaps><br>開始任務"
