"Village!Mickey!Mickey!VLG_Mick_050_Any_CompletedRequestDescription", "這個密室是什麼？跟米奇聊聊，看看他還記得什麼。"
"Village!Mickey!Mickey!VLG_Mick_050_AvailableDescription", "米奇需要你幫忙處理他發現的東西。"
"Village!Mickey!Mickey!VLG_Mick_050_CompletedStoryDescription", "門後有個奇怪的房間。希望米奇對此瞭解更多。"
"Village!Mickey!Mickey!VLG_Mick_050_DisplayName", "神秘大門"
"Village!Mickey!Mickey!VLG_Mick_050_Group01_Step01_TalkToCharacter01_StepDescription", "跟米奇交談"
"Village!Mickey!Mickey!VLG_Mick_050_Group02_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我應該做什麼？"
"Village!Mickey!Mickey!VLG_Mick_050_Group02_Step03_VisitArea01_StepDescription", "根據<ActivityItem>米奇的記憶</ActivityItem>找到神秘大門。"
"Village!Mickey!Mickey!VLG_Mick_050_Group02_StoryDescription", "寶箱變成了一段<ActivityItem>回憶</ActivityItem>，與米奇討論後，你會走上通往神秘之門的路——隱藏在夢幻星谷的某處。"
"Village!Mickey!Mickey!VLG_Mick_050_Group03_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>現在我應該怎麼做？"
"Village!Mickey!Mickey!VLG_Mick_050_Group03_Step04_Unlock01_StepDescription", "打開物品欄中米奇的寶箱"
"Village!Mickey!Mickey!VLG_Mick_050_Group03_StoryDescription", "米妮回到了星谷，帶來了米奇藏匿魔法寶箱的回憶。他又找回了寶箱，但打不開，認為你是最佳開箱人選。"
"Village!Mickey!Mickey!VLG_Mick_050_Group04_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我應該做什麼？"
"Village!Mickey!Mickey!VLG_Mick_050_Group04_Step02_FillKeyhole01_StepDescription", "用謎語打開神秘大門"
"Village!Mickey!Mickey!VLG_Mick_050_Group04_StoryDescription", "你找到了城堡裡的神秘大門。米奇記起了謎語的第二段，也許能幫你打開這扇門。"
"Village!Mickey!Mickey!VLG_Mick_050_Group05_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我們現在該怎麼辦？"
"Village!Mickey!Mickey!VLG_Mick_050_Group05_Step05_VisitArea02_StepDescription", "你成功了！去看看裡面有什麼。"
"Village!Mickey!Mickey!VLG_Mick_050_Group07_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我們現在該怎麼辦？"
"Village!Mickey!Mickey!VLG_Mick_050_Group07_Step07_PickUp01_StepDescription", "對著幕布使用魔法"
"Village!Mickey!Mickey!VLG_Mick_050_Group07_Step07_StepDescription", "你找到了門！"
"Village!Mickey!Mickey!VLG_Mick_050_Group08_Step08_TalkToCharacter02_StepDescription", "跟米奇交談"
"Village!Mickey!Mickey!VLG_Mick_050_StartRequestButton", "<smallcaps>{title}</smallcaps><br>開始任務"
