"Village!LilMermaid!Ursula!VLG_Ursu_030_Any_CompletedRequestDescription", "和烏蘇拉交談"
"Village!LilMermaid!Ursula!VLG_Ursu_030_AvailableDescription", "烏蘇拉雖然獲得了自由，但她仍缺少一些東西。你決定找到答案。"
"Village!LilMermaid!Ursula!VLG_Ursu_030_CompletedStoryDescription", "你帶來了烏蘇拉所需的一切。她可能會心存感激。下一個和她交易的人……就不一定了。"
"Village!LilMermaid!Ursula!VLG_Ursu_030_DisplayName", "溫馨的家"
"Village!LilMermaid!Ursula!VLG_Ursu_030_Group01_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我該做什麼？"
"Village!LilMermaid!Ursula!VLG_Ursu_030_Group01_Step01_PlaceHouse01_StepDescription", "把烏蘇拉的小屋放在水中。"
"Village!LilMermaid!Ursula!VLG_Ursu_030_Group01_StoryDescription", "烏蘇拉離開洞穴之後，她需要一個合適的巢穴。你要確保她得償所願。"
"Village!LilMermaid!Ursula!VLG_Ursu_030_Group02_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我該做什麼？"
"Village!LilMermaid!Ursula!VLG_Ursu_030_Group02_Step02_Unlock01_StepDescription", "使用史高治標識讓烏蘇拉的房子竣工"
"Village!LilMermaid!Ursula!VLG_Ursu_030_Group03_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我該做什麼？"
"Village!LilMermaid!Ursula!VLG_Ursu_030_Group03_Step03_TalkToCharacter01_StepDescription", "和梅林討論該怎麼處理烏蘇拉的要求"
"Village!LilMermaid!Ursula!VLG_Ursu_030_Group03_StoryDescription", "烏蘇拉有了新家，她想繼續做交易。爲了達到這個目的，她需要一些<ActivityItem>紙張</ActivityItem>，並要求你為她去偷一些來起草契約。但你並沒有潛入村民的家，而是和梅林公開討論了一下。"
"Village!LilMermaid!Ursula!VLG_Ursu_030_Group04_Step05_TalkToCharacter02_StepDescription", "和烏蘇拉交談，看看她覺得新家如何。"
"Village!LilMermaid!Ursula!VLG_Ursu_030_Group05_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>你需要什麼？"
"Village!LilMermaid!Ursula!VLG_Ursu_030_Group05_Step04_Possess03_StepDescription", "{ItemName}"
"Village!LilMermaid!Ursula!VLG_Ursu_030_Group05_Step06_CraftItem01_StepDescription", "製作{ItemName}"
"Village!LilMermaid!Ursula!VLG_Ursu_030_Group05_Step06_CraftItem02_StepDescription", "製作{ItemName}。"
"Village!LilMermaid!Ursula!VLG_Ursu_030_Group05_StepDescription", "收集以下物品來製作<ActivityItem>魔法捲軸和墨水盒</ActivityItem>"
"Village!LilMermaid!Ursula!VLG_Ursu_030_Group06_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>你需要什麼？"
"Village!LilMermaid!Ursula!VLG_Ursu_030_Group06_Step07_CraftItem03_StepDescription", "製作<ActivityItem>魔法捲軸和墨水盒</ActivityItem>"
"Village!LilMermaid!Ursula!VLG_Ursu_030_Group06_StoryDescription", "你收集了製作<ActivityItem>魔法捲軸和墨水盒</ActivityItem>的材料，現在可以開始製作了。"
"Village!LilMermaid!Ursula!VLG_Ursu_030_Group07_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我該做什麼？"
"Village!LilMermaid!Ursula!VLG_Ursu_030_Group07_Step08_ReadyDescription", "把<ActivityItem>紙張</ActivityItem>帶給烏蘇拉"
"Village!LilMermaid!Ursula!VLG_Ursu_030_Group07_Step08_StepDescription", "從村民家中為烏蘇拉收集<ActivityItem>紙張</ActivityItem>。"
"Village!LilMermaid!Ursula!VLG_Ursu_030_Group08_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>你需要什麼？"
"Village!LilMermaid!Ursula!VLG_Ursu_030_Group08_StepDescription", "把<ActivityItem>魔法捲軸和墨水盒</ActivityItem>帶給烏蘇拉"
"Village!LilMermaid!Ursula!VLG_Ursu_030_StartRequestButton", "<smallcaps>{title}</smallcaps><br>開始任務"
