"Village!LilMermaid!Ariel!VLG_Arie_040_Any_CompletedRequestDescription", "去見愛麗兒。"
"Village!LilMermaid!Ariel!VLG_Arie_040_AvailableDescription", "愛麗兒想給你看點東西。"
"Village!LilMermaid!Ariel!VLG_Arie_040_CompletedStoryDescription", "你在神秘洞穴發現了神秘水晶。那麼只剩拿去給愛麗兒看了。"
"Village!LilMermaid!Ariel!VLG_Arie_040_DisplayName", "古老門扉"
"Village!LilMermaid!Ariel!VLG_Arie_040_Group01_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我應該去哪兒？"
"Village!LilMermaid!Ariel!VLG_Arie_040_Group01_Step01_TalkToCharacter01_StepDescription", "跟梅林聊聊<ActivityItem>石板</ActivityItem>"
"Village!LilMermaid!Ariel!VLG_Arie_040_Group01_StoryDescription", "愛麗兒發現了一塊神秘的<ActivityItem>石板</ActivityItem>，上面刻滿了古代符文。也許梅林知道其中的含義。"
"Village!LilMermaid!Ariel!VLG_Arie_040_Group02_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我應該做什麼？"
"Village!LilMermaid!Ariel!VLG_Arie_040_Group02_StepDescription", "跟愛麗兒談談"
"Village!LilMermaid!Ariel!VLG_Arie_040_Group02_StoryDescription", "梅林告訴你，要打開這扇門，你需要用不同村民的情感來給<ActivityItem>石板</ActivityItem>施法。愛麗兒能幫你找出該找誰談話。"
"Village!LilMermaid!Ariel!VLG_Arie_040_Group03_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>接下來呢？"
"Village!LilMermaid!Ariel!VLG_Arie_040_Group03_StepDescription", "跟小米談談他的激情"
"Village!LilMermaid!Ariel!VLG_Arie_040_Group04_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我應該找誰聊聊？"
"Village!LilMermaid!Ariel!VLG_Arie_040_Group04_StepDescription", "跟莫阿娜談談她的興奮"
"Village!LilMermaid!Ariel!VLG_Arie_040_Group05_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我應該做什麼？"
"Village!LilMermaid!Ariel!VLG_Arie_040_Group05_StepDescription", "跟烏蘇拉談談她的憤怒"
"Village!LilMermaid!Ariel!VLG_Arie_040_Group09_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我應該做什麼？"
"Village!LilMermaid!Ariel!VLG_Arie_040_Group09_Step09_FillKeyhole01_StepDescription", "在神秘洞穴中找出放置<ActivityItem>石板</ActivityItem>的位置"
"Village!LilMermaid!Ariel!VLG_Arie_040_Group09_StoryDescription", "你用四位村民的情感填滿了<ActivityItem>石板</ActivityItem>。現在你只需打開神秘洞穴的門。"
"Village!LilMermaid!Ariel!VLG_Arie_040_Group10_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>你需要什麼？"
"Village!LilMermaid!Ariel!VLG_Arie_040_Group10_StepDescription", "把{ItemName}交給愛麗兒"
"Village!LilMermaid!Ariel!VLG_Arie_040_Group11_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我要做些什麼？"
"Village!LilMermaid!Ariel!VLG_Arie_040_Group11_Step11_VisitArea03_StepDescription", "去愛麗兒的小屋見她"
"Village!LilMermaid!Ariel!VLG_Arie_040_Group16_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我能做什麼？"
"Village!LilMermaid!Ariel!VLG_Arie_040_Group16_Step16_Possess01_StepDescription", "拾取{ItemName}"
"Village!LilMermaid!Ariel!VLG_Arie_040_Group16_StoryDescription", "在洞穴中放置石板後出現了一個基座，基座上有一個神秘水晶。"
"Village!LilMermaid!Ariel!VLG_Arie_040_StartRequestButton", "<smallcaps>{title}</smallcaps><br>開始任務"
