"Village!LilMermaid!Eric!VLG_Eric_020_Any_CompletedRequestDescription", "與亞力克交談"
"Village!LilMermaid!Eric!VLG_Eric_020_AvailableDescription", "亞力克想要開始調查烏蘇拉囚禁他時所說過的話。"
"Village!LilMermaid!Eric!VLG_Eric_020_CompletedStoryDescription", "在小米和毛伊的幫助下，你成功製作了一個能讓愛麗兒變身的魔法吊墜，這樣她就能在陸地上隨意行走了。"
"Village!LilMermaid!Eric!VLG_Eric_020_DisplayName", "他的世界"
"Village!LilMermaid!Eric!VLG_Eric_020_Group01_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我應該做些什麼？"
"Village!LilMermaid!Eric!VLG_Eric_020_Group01_Step01_TalkToCharacter01_StepDescription", "和毛伊談談"
"Village!LilMermaid!Eric!VLG_Eric_020_Group02_Step02_TalkToCharacter02_StepDescription", "返回亞力克處"
"Village!LilMermaid!Eric!VLG_Eric_020_Group03_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我應該找誰聊聊？"
"Village!LilMermaid!Eric!VLG_Eric_020_Group03_Step03_ReadyDescription", "把{ItemName}交給小米"
"Village!LilMermaid!Eric!VLG_Eric_020_Group03_Step03_StepDescription", "從亞力克處獲得{ItemName}"
"Village!LilMermaid!Eric!VLG_Eric_020_Group04_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我應該做些什麼？"
"Village!LilMermaid!Eric!VLG_Eric_020_Group04_Step04_BringItem02_StepDescription", "{ItemName}"
"Village!LilMermaid!Eric!VLG_Eric_020_Group04_Step04_BringItem03_StepDescription", "{ItemName}"
"Village!LilMermaid!Eric!VLG_Eric_020_Group04_Step04_BringItem04_StepDescription", "{ItemName}"
"Village!LilMermaid!Eric!VLG_Eric_020_Group04_Step04_BringItem05_StepDescription", "{ItemName}"
"Village!LilMermaid!Eric!VLG_Eric_020_Group04_Step04_ReadyDescription", "把誘餌的材料交給小米"
"Village!LilMermaid!Eric!VLG_Eric_020_Group04_Step04_StepDescription", "收集誘餌的材料："
"Village!LilMermaid!Eric!VLG_Eric_020_Group07_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>接下來呢？"
"Village!LilMermaid!Eric!VLG_Eric_020_Group07_Step07_ConsumeItem01_StepDescription", "把物品欄中的<ActivityItem>鸚鵡螺誘餌</ActivityItem>裝到釣魚竿上。"
"Village!LilMermaid!Eric!VLG_Eric_020_Group08_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>需要我做些什麼？"
"Village!LilMermaid!Eric!VLG_Eric_020_Group08_Step08_CatchFish01_StepDescription", "在炫麗海灘的河流入海口釣上<ActivityItem>鸚鵡螺</ActivityItem>。"
"Village!LilMermaid!Eric!VLG_Eric_020_Group09_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我能做什麼？"
"Village!LilMermaid!Eric!VLG_Eric_020_Group09_Step09_Possess01_StepDescription", "{ItemName}"
"Village!LilMermaid!Eric!VLG_Eric_020_Group09_Step09_Possess04_StepDescription", "{ItemName}"
"Village!LilMermaid!Eric!VLG_Eric_020_Group09_Step09_Possess09_StepDescription", "{ItemName}"
"Village!LilMermaid!Eric!VLG_Eric_020_Group09_Step09_StepDescription", "收集<ActivityItem>變形魔藥</ActivityItem>的材料："
"Village!LilMermaid!Eric!VLG_Eric_020_Group09_StoryDescription", "爲了幫助亞力克和愛麗兒在陸地上相聚，你明白你需要製作出一個能讓她變身的魔法物品。"
"Village!LilMermaid!Eric!VLG_Eric_020_Group10_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>接下來呢？"
"Village!LilMermaid!Eric!VLG_Eric_020_Group10_Step10_CraftItem02_StepDescription", "在製作臺製作{ItemName}"
"Village!LilMermaid!Eric!VLG_Eric_020_Group11_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>需要我做些什麼？"
"Village!LilMermaid!Eric!VLG_Eric_020_Group11_Step11_ReadyDescription", "返回亞力克處"
"Village!LilMermaid!Eric!VLG_Eric_020_Group11_Step11_StepDescription", "在炫麗海灘的河流入海口釣上<ActivityItem>鸚鵡螺</ActivityItem>。"
"Village!LilMermaid!Eric!VLG_Eric_020_Group12_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>需要我做些什麼？"
"Village!LilMermaid!Eric!VLG_Eric_020_Group12_Step12_BringItem01_StepDescription", "確保你的物品欄中有{ItemName}。"
"Village!LilMermaid!Eric!VLG_Eric_020_Group12_Step12_ReadyDescription", "把{ItemName}交給愛麗兒。"
"Village!LilMermaid!Eric!VLG_Eric_020_StartRequestButton", "<smallcaps>{title}</smallcaps><br>開始任務"
