"Village!Mickey!Mickey!VLG_Mick_020_AvailableDescription", "米奇很思念米妮！看看你能幫上什麼忙。"
"Village!Mickey!Mickey!VLG_Mick_020_CompletedStoryDescription", "當你們要開始野餐時，米妮不知從哪裡冒了出來，然後又消失了。也許米奇會對剛才發生的事瞭解得更清楚。"
"Village!Mickey!Mickey!VLG_Mick_020_DisplayName", "思念米妮"
"Village!Mickey!Mickey!VLG_Mick_020_Group01_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我需要帶什麼？"
"Village!Mickey!Mickey!VLG_Mick_020_Group01_Step01_BringItem01_StepDescription", "{ItemName}"
"Village!Mickey!Mickey!VLG_Mick_020_Group01_Step01_BringItem02_StepDescription", "{ItemName}"
"Village!Mickey!Mickey!VLG_Mick_020_Group01_Step01_ReadyDescription", "把美食帶給米奇"
"Village!Mickey!Mickey!VLG_Mick_020_Group01_Step01_StepDescription", "烹飪以下野餐美食："
"Village!Mickey!Mickey!VLG_Mick_020_Group04_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我們要去哪裡？"
"Village!Mickey!Mickey!VLG_Mick_020_Group04_Step05_FollowCharacter02_StepDescription", "跟隨米奇去寧靜草地的野餐地點"
"Village!Mickey!Mickey!VLG_Mick_020_Group04_Step05_FollowCharacter02_TalkToDescription", "跟米奇交談"
"Village!Mickey!Mickey!VLG_Mick_020_StartRequestButton", "<smallcaps>{title}</smallcaps><br>開始任務"
