"Village!LionKing!Scar!VLG_Scar_030_Any_CompletedRequestDescription", "與刀疤交談。"
"Village!LionKing!Scar!VLG_Scar_030_AvailableDescription", "刀疤想到如何移除最後一個頭骨了。他現在確信葛索媽媽之前有辦法處理牛羚的骨頭，建議你去和她談談。"
"Village!LionKing!Scar!VLG_Scar_030_CompletedStoryDescription", "成功了。終於又能探索日照高原了，刀疤一定很開心。"
"Village!LionKing!Scar!VLG_Scar_030_DisplayName", "生命循環"
"Village!LionKing!Scar!VLG_Scar_030_Group01_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我應該找誰聊聊？"
"Village!LionKing!Scar!VLG_Scar_030_Group01_Step01_TalkToCharacter01_StepDescription", "與葛索媽媽交談。"
"Village!LionKing!Scar!VLG_Scar_030_Group02_Step02_TalkToCharacter02_StepDescription", "回去找刀疤"
"Village!LionKing!Scar!VLG_Scar_030_Group03_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我該怎麼做？"
"Village!LionKing!Scar!VLG_Scar_030_Group03_Step03_Possess01_StepDescription", "日照高原下的礦洞內的<ActivityItem>陳骨</ActivityItem>。"
"Village!LionKing!Scar!VLG_Scar_030_Group03_Step03_Possess03_StepDescription", "<ActivityItem>純凈夜之碎片</ActivityItem>"
"Village!LionKing!Scar!VLG_Scar_030_Group03_Step03_StepDescription", "收集升級所需的材料："
"Village!LionKing!Scar!VLG_Scar_030_Group03_StoryDescription", "葛索媽媽還在因為刀疤以前嚇過她而生氣，不過她還是同意幫助你。她說要清理牛羚骨路障，需要一些<ActivityItem>陳骨</ActivityItem>，還要藉助生命循環的力量。"
"Village!LionKing!Scar!VLG_Scar_030_Group04_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我能幫什麼忙？"
"Village!LionKing!Scar!VLG_Scar_030_Group04_Step04_FillKeyhole01_StepDescription", "將<ActivityItem>陳骨</ActivityItem>放入刀疤洞穴內的<Lore>火山噴泉</Lore>裡。"
"Village!LionKing!Scar!VLG_Scar_030_Group05_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>接下來怎麼做呢？"
"Village!LionKing!Scar!VLG_Scar_030_Group05_Step05_GardeningPlant01_StepDescription", "把<ActivityItem>骨灰</ActivityItem>種在日照高原的任意地點。"
"Village!LionKing!Scar!VLG_Scar_030_Group05_StoryDescription", "和刀疤交談後，你明白了你需要把<ActivityItem>陳骨</ActivityItem>化為<ActivityItem>骨灰</ActivityItem>，然後種下骨灰，長出<ActivityItem>花朵</ActivityItem>。"
"Village!LionKing!Scar!VLG_Scar_030_Group06_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我該怎麼做？"
"Village!LionKing!Scar!VLG_Scar_030_Group06_Step06_ConsumeItem01_StepDescription", "使用{ItemName}升級你的皇家鏟子。"
"Village!LionKing!Scar!VLG_Scar_030_Group06_StoryDescription", "你用<ActivityItem>花朵</ActivityItem>製作出了<ActivityItem>皇家鏟子</ActivityItem>的升級物品。"
"Village!LionKing!Scar!VLG_Scar_030_Group07_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我該怎麼做？"
"Village!LionKing!Scar!VLG_Scar_030_Group07_Step07_Possess02_StepDescription", "照料{ItemName}。"
"Village!LionKing!Scar!VLG_Scar_030_Group08_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>接下來怎麼做呢？"
"Village!LionKing!Scar!VLG_Scar_030_Group08_Step08_CraftItem02_StepDescription", "製作{ItemName}。"
"Village!LionKing!Scar!VLG_Scar_030_Group09_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我能幫什麼忙？"
"Village!LionKing!Scar!VLG_Scar_030_Group09_Step09_RemoveBlocker01_StepDescription", "清理日照高原上擋住木橋的牛羚骨。"
"Village!LionKing!Scar!VLG_Scar_030_Group10_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>現在該怎麼做？"
"Village!LionKing!Scar!VLG_Scar_030_Group10_Step10_Possess04_StepDescription", "拾取<ActivityItem>骨灰</ActivityItem>。"
"Village!LionKing!Scar!VLG_Scar_030_StartRequestButton", "<smallcaps>{title}</smallcaps><br>開始任務"
