"Village!Tangled!MotherGothel!VLG_Moth_020_Any_CompletedRequestDescription", "回去找葛索媽媽"
"Village!Tangled!MotherGothel!VLG_Moth_020_AvailableDescription", "葛索媽媽已經研究完<ActivityItem>太陽捲軸</ActivityItem>。她想讓你製作名為<ActivityItem>陽光火炬</ActivityItem>的魔法物品，並告訴你該怎麼做。"
"Village!Tangled!MotherGothel!VLG_Moth_020_CompletedStoryDescription", "現在唯一要做的就是把照片拿給葛索媽媽看。"
"Village!Tangled!MotherGothel!VLG_Moth_020_DisplayName", "用光照亮"
"Village!Tangled!MotherGothel!VLG_Moth_020_Group01_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>現在我應該怎麼做？"
"Village!Tangled!MotherGothel!VLG_Moth_020_Group01_Step01_StepDescription", "製作{TargetAmount}個<ActivityItem>陽光火炬</ActivityItem>"
"Village!Tangled!MotherGothel!VLG_Moth_020_Group02_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>現在我應該怎麼做？"
"Village!Tangled!MotherGothel!VLG_Moth_020_Group02_Step02_StepDescription", "把<ActivityItem>陽光火炬</ActivityItem>放在神秘洞穴底部"
"Village!Tangled!MotherGothel!VLG_Moth_020_Group02_StoryDescription", "她告訴你<ActivityItem>太陽捲軸</ActivityItem>中的謎語，引導你前往神秘洞穴底部。你需要在那裡找到太陽基座，然後將<ActivityItem>陽光火炬</ActivityItem>放在上面。"
"Village!Tangled!MotherGothel!VLG_Moth_020_Group03_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>現在我應該怎麼做？"
"Village!Tangled!MotherGothel!VLG_Moth_020_Group03_Step03_TakePicture01_StepDescription", "給奇怪的符號拍照"
"Village!Tangled!MotherGothel!VLG_Moth_020_Group03_StoryDescription", "洞裡出現了神秘符號。葛索媽媽肯定想看。"
"Village!Tangled!MotherGothel!VLG_Moth_020_Group05_Step05_TalkToCharacter01_StepDescription", "跟葛索媽媽交談"
"Village!Tangled!MotherGothel!VLG_Moth_020_Group05_StoryDescription", "<ActivityItem>陽光火炬</ActivityItem>一做好，你就回去找她。"
"Village!Tangled!MotherGothel!VLG_Moth_020_Group06_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>現在我應該怎麼做？"
"Village!Tangled!MotherGothel!VLG_Moth_020_Group06_Step06_Possess01_StepDescription", "{itemName}"
"Village!Tangled!MotherGothel!VLG_Moth_020_Group06_Step06_Possess02_StepDescription", "{itemName}"
"Village!Tangled!MotherGothel!VLG_Moth_020_Group06_Step06_Possess07_StepDescription", "{itemName}"
"Village!Tangled!MotherGothel!VLG_Moth_020_Group06_Step06_Possess08_StepDescription", "{itemName}"
"Village!Tangled!MotherGothel!VLG_Moth_020_Group06_Step06_Possess09_StepDescription", "{itemName}"
"Village!Tangled!MotherGothel!VLG_Moth_020_Group06_Step06_StepDescription", "收集材料製作<ActivityItem>陽光火炬</ActivityItem>："
"Village!Tangled!MotherGothel!VLG_Moth_020_StartRequestButton", "<smallcaps>{title}</smallcaps><br>你研究完捲軸了嗎？"
