"Village!Moana!Maui!VLG_Maui_020_Any_CompletedRequestDescription", "回去和毛伊交談"
"Village!Moana!Maui!VLG_Maui_020_AvailableDescription", "毛伊正在找你"
"Village!Moana!Maui!VLG_Maui_020_CompletedStoryDescription", "毛伊會為你的努力感到驕傲。"
"Village!Moana!Maui!VLG_Maui_020_DisplayName", "石與火的傳說"
"Village!Moana!Maui!VLG_Maui_020_Group01_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我應該做什麼？"
"Village!Moana!Maui!VLG_Maui_020_Group01_Step02_CookMeal01_StepDescription", "為毛伊烹飪新鮮的5星菜品。"
"Village!Moana!Maui!VLG_Maui_020_Group01_StoryDescription", "眼前的辛苦工作讓毛伊餓壞了。就由你來餵飽他吧。"
"Village!Moana!Maui!VLG_Maui_020_Group02_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我應該做什麼？"
"Village!Moana!Maui!VLG_Maui_020_Group02_Step01_ReadyDescription", "把你做的美食帶給毛伊"
"Village!Moana!Maui!VLG_Maui_020_Group02_Step01_StepDescription", "確保你的物品欄中有5星菜品"
"Village!Moana!Maui!VLG_Maui_020_Group03_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我需要找些什麼？"
"Village!Moana!Maui!VLG_Maui_020_Group03_Step04_ReadyDescription", "把你收集的物品給毛伊。"
"Village!Moana!Maui!VLG_Maui_020_Group03_Step04_StepDescription", "在莫娜的王國中，從毛伊的籃子裡收集他需要的物品。"
"Village!Moana!Maui!VLG_Maui_020_Group03_StoryDescription", "毛伊說他能改進你的鎬子，這樣你就能取出困在海洋殘骸裡的東西了。但要這麼做，你必須返回莫娜的王國。"
"Village!Moana!Maui!VLG_Maui_020_Group04_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我應該做什麼？"
"Village!Moana!Maui!VLG_Maui_020_Group04_Step05_StepDescription", "把<ActivityItem>花崗巖火盆</ActivityItem>放置在村裡。"
"Village!Moana!Maui!VLG_Maui_020_Group06_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我應該做什麼？"
"Village!Moana!Maui!VLG_Maui_020_Group06_Step06_ReadyDescription", "把你找到的東西給毛伊看。"
"Village!Moana!Maui!VLG_Maui_020_Group06_Step06_StepDescription", "打碎海洋殘骸，獲取你在裡面發現的東西。"
"Village!Moana!Maui!VLG_Maui_020_Group07_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我們要去哪裡？"
"Village!Moana!Maui!VLG_Maui_020_Group07_Step08_FollowCharacter01_StepDescription", "跟著毛伊前往炫麗海灘"
"Village!Moana!Maui!VLG_Maui_020_Group07_StoryDescription", "他想讓你看看海灘上一堆海洋殘骸中困著的東西。"
"Village!Moana!Maui!VLG_Maui_020_Group08_Step09_TalkToCharacter02_StepDescription", "和毛伊交談"
"Village!Moana!Maui!VLG_Maui_020_Group09_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我應該做什麼？"
"Village!Moana!Maui!VLG_Maui_020_Group09_Step03_FollowCharacter02_StepDescription", "跟著毛伊返回海洋殘骸處"
"Village!Moana!Maui!VLG_Maui_020_Group09_StoryDescription", "你的鎬子已經準備好了。你可以取回海灘上的神秘物體。"
"Village!Moana!Maui!VLG_Maui_020_Group10_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我應該做什麼？"
"Village!Moana!Maui!VLG_Maui_020_Group10_Step10_Possess02_StepDescription", "{ItemName}"
"Village!Moana!Maui!VLG_Maui_020_Group10_Step10_Possess03_StepDescription", "{ItemName}"
"Village!Moana!Maui!VLG_Maui_020_Group10_Step10_Possess04_StepDescription", "{ItemName}"
"Village!Moana!Maui!VLG_Maui_020_Group10_Step10_Possess05_StepDescription", "{ItemName}"
"Village!Moana!Maui!VLG_Maui_020_Group10_StepDescription", "收集以下物品來製作一個<ActivityItem>花崗巖火盆</ActivityItem>："
"Village!Moana!Maui!VLG_Maui_020_Group10_StoryDescription", "毛伊想用你在海洋殘骸中找到的<ActivityItem>石灰巖</ActivityItem>來製作一個<ActivityItem>花崗巖火盆</ActivityItem>裝飾村莊。"
"Village!Moana!Maui!VLG_Maui_020_Group11_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我應該做什麼？"
"Village!Moana!Maui!VLG_Maui_020_Group11_Step11_CraftItem01_StepDescription", "製作<ActivityItem>花崗巖火盆</ActivityItem>"
"Village!Moana!Maui!VLG_Maui_020_StartRequestButton", "<smallcaps>{title}</smallcaps><br>開始任務"
