"Village!ToyStory!Buzz!VLG_Buzz_020_Any_CompletedRequestDescription", "回去找巴斯光年"
"Village!ToyStory!Buzz!VLG_Buzz_020_AvailableDescription", "巴斯光年確信烏蘇拉在村裡策劃了某種陰謀。他想和她對質，要求你和他一起去。"
"Village!ToyStory!Buzz!VLG_Buzz_020_CompletedStoryDescription", "既然發完了所有<ActivityItem>傳單</ActivityItem>，是時候回去找巴斯光年了。"
"Village!ToyStory!Buzz!VLG_Buzz_020_DisplayName", "太空騎警名譽"
"Village!ToyStory!Buzz!VLG_Buzz_020_Group01_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我們要去哪裡？"
"Village!ToyStory!Buzz!VLG_Buzz_020_Group01_Step01_Listen01_StepDescription", "聽聽巴斯光年和烏蘇拉說什麼"
"Village!ToyStory!Buzz!VLG_Buzz_020_Group02_Step02_TalkToCharacter01_StepDescription", "在巴斯光年挫敗後和他交談"
"Village!ToyStory!Buzz!VLG_Buzz_020_Group03_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我要去哪兒？"
"Village!ToyStory!Buzz!VLG_Buzz_020_Group03_Step03_VisitArea01_StepDescription", "前往玩具總動員王國"
"Village!ToyStory!Buzz!VLG_Buzz_020_Group03_StoryDescription", "巴斯光年的計劃並沒有像他想像的那樣成功，但他還有另一個計劃。他想向其他村民展示自己的能力，而你對這個行動很有幫助。他讓你去邦妮的房間裡拿一些<ActivityItem>撲克牌</ActivityItem>來。"
"Village!ToyStory!Buzz!VLG_Buzz_020_Group04_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我能做些什麼？"
"Village!ToyStory!Buzz!VLG_Buzz_020_Group04_Step04_Possess01_StepDescription", "在邦妮的房間收集藏在書裡的{ItemName}"
"Village!ToyStory!Buzz!VLG_Buzz_020_Group05_Step05_TalkToCharacter02_StepDescription", "回去找巴斯光年"
"Village!ToyStory!Buzz!VLG_Buzz_020_Group06_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>接下來怎麼做呢？"
"Village!ToyStory!Buzz!VLG_Buzz_020_Group06_Step06_StepDescription", "到梅林、唐老鴨和米奇的家裡找<ActivityItem>紙</ActivityItem>"
"Village!ToyStory!Buzz!VLG_Buzz_020_Group06_StoryDescription", "巴斯光年想把<ActivityItem>牌</ActivityItem>改成<ActivityItem>巴斯光年傳單</ActivityItem>，在村裡分發。"
"Village!ToyStory!Buzz!VLG_Buzz_020_Group07_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>接下來怎麼做呢？"
"Village!ToyStory!Buzz!VLG_Buzz_020_Group07_Step07_CraftItem01_StepDescription", "製作<ActivityItem>巴斯光年傳單</ActivityItem>"
"Village!ToyStory!Buzz!VLG_Buzz_020_Group08_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>你需要什麼，先生？"
"Village!ToyStory!Buzz!VLG_Buzz_020_Group08_Step08_BringItem01_StepDescription", "確保你的物品欄裡有<ActivityItem>巴斯光年傳單</ActivityItem>"
"Village!ToyStory!Buzz!VLG_Buzz_020_Group08_Step08_ReadyDescription", "把<ActivityItem>巴斯光年傳單</ActivityItem>交給巴斯光年"
"Village!ToyStory!Buzz!VLG_Buzz_020_Group09_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>接下來怎麼做呢？"
"Village!ToyStory!Buzz!VLG_Buzz_020_Group09_Step09_ReadyDescription", "唐老鴨"
"Village!ToyStory!Buzz!VLG_Buzz_020_Group09_Step10_ReadyDescription", "毛伊"
"Village!ToyStory!Buzz!VLG_Buzz_020_Group09_Step11_ReadyDescription", "烏蘇拉"
"Village!ToyStory!Buzz!VLG_Buzz_020_Group09_StepDescription", "把<ActivityItem>巴斯光年傳單</ActivityItem>發給："
"Village!ToyStory!Buzz!VLG_Buzz_020_Group09_StoryDescription", "你的任務是向毛伊和唐老鴨分發<ActivityItem>巴斯光年傳單</ActivityItem>，還要設法說服巴斯光年讓你去和烏蘇拉溝通。"
"Village!ToyStory!Buzz!VLG_Buzz_020_StartRequestButton", "<smallcaps>{title}</smallcaps><br>開始任務"
