"tutorial_unlock_walle_garden", "這是你的村莊花園。選擇它解鎖吧。"
"cooking_hint_desc1", "如果小米看起來不高興，你就要做一份平淡的飯菜！"
"cooking_hint_desc2", "如果小米看起來很高興，你就要做一份美味的飯菜！"
"cooking_hint_title", "注意小米！"
"friend_invite_anna_desc", "你想堆個雪人嗎？"
"friend_invite_nala_desc", "今夜能否感受我的愛？"
"friend_invite_woody_desc", "我是你的朋友！"
"Ftue_invite_friend_title", "選擇一位好友進入你的村莊！"
"tutorial_press_storryfolloup_button", "繼續留在瓦力的王國。"
"tutorial_tap_on_star", "每個新朋友都有自己的星星。"
"Ftue_intro_gender", "選擇你的角色"
"gender_man", "男"
"gender_woman", "女"
"tutorial_click_and_hold", "點選並按住來移動角色。"
"tutorial_other_ways_step1", "或選擇你想讓角色前往的地點"
"tutorial_other_ways_step2", "你也可以使用W、A、S、D或是鍵盤上的方向鍵。"
"tutorial_other_ways_step2_or", "或"
"tutorial_other_ways_title", "其他移動方式……"
"tutorial_press_portrait", "點選頭像以重新定位你的角色。"
"tutorial_tap_on_track", "選擇要實現的願望。"
"tutorial_tap_to_move", "點選任意位置移動你的角色！"
"catalog1_desc_step1", "使用家具標識瀏覽你的目錄。"
"catalog1_desc_step2", "使用篩選欄搜索更多選項。"
"catalog1_desc_step3", "在你的小屋放置任意物品。"
"catalog2_desc_step1", "按住小屋或村莊中的任意物品進入編輯模式。"
"catalog2_desc_step2", "你可以在編輯模式下移動、新增或移除物品。"
"catalog2_desc_step3", "完成後選擇勾號儲存更改！"
"designchallengeenter_desc_step1", "通過電話選單檢視設計挑戰。"
"designchallengeenter_desc_step2", "每個設計挑戰都有獎勵！"
"designchallengeenter_desc_step3", "使用帶有特殊挑戰標識的物品以獲得更多分數！"
"designchallengeflow_desc_step1", "參與並完成新村莊的設計！"
"designchallengeflow_desc_step2", "為其他玩家的村莊設計投票。"
"designchallengeflow_desc_step3", "收到門票和愛心！"
"designchallengescore_desc_step1", "尋找指示和推薦標識，加入你的設計中。"
"designchallengescore_desc_step2", "請注意！你必須使用正確數量的物品。"
"designchallengescore_desc_step3", "使用帶有下列標識的物品將增加你的最終得分。"
"designchallengetakepicture_desc_step1", "這是相機圖示。準備好拍照時使用。"
"enterrestaurant_desc_step1", "把食材放在烹飪臺上。"
"enterrestaurant_desc_step2", "等它煮熟！"
"enterrestaurant_desc_step3", "嘗試新的食材組合，解鎖你的食譜！"
"fishing_desc_step1", "選擇水中的波紋。"
"fishing_desc_step2", "要求按住時點選，要求放開時停止。"
"fishing_desc_step3", "按照指示按住和放開來捕魚！"
"friendshiploop_desc_step1", "實現願望"
"friendshiploop_desc_step2", "獲得友誼經驗。"
"friendshiploop_desc_step3", "升級你的友誼，得到更多特效。"
"Ftue_intro_EyeColor", "選擇你的瞳色"
"Ftue_intro_SkinColor", "選擇你的膚色"
"Ftue_invite_friend_desc", "選擇下一個朋友進入你的村莊！"
"Ftue_tutorial_ActionBlocked", "抱歉，你現在不能這麼做。"
"Ftue_tutorial_focusOnAvatar", "選擇羅盤圖示，將注意力集中在你的角色上。"
"Ftue_tutorial_gardening_harvest_hint", "選擇你的作物。"
"Ftue_tutorial_gardening_select_empty", "選擇一處空地開始種植蔬菜。"
"Ftue_tutorial_gardening_skip_hint", "你可以看到這裡的作物需要多長時間才能成熟。"
"Ftue_tutorial_NewQuest", "選擇新任務"
"Ftue_tutorial_tapToMove", "點選以移動你的角色"
"gardening_desc_harvest", "拖動籃子進行收穫"
"gardening_desc_plant", "將蔬菜拖到空的土地上進行種植。"
"gardening_desc_step1", "播種一顆種子。"
"gardening_desc_step2", "給植物澆水幫助它成長。"
"gardening_desc_step3", "等待植物長大你就可以收穫了！"
"gardening_desc_water", "將手指從澆水壺圖示上拖動到乾枯的植物上來為它們澆水。"
"intro1_desc_step1", "你的願望是什麼？

機會來了……來吧……許個願……"
"intro2_desc_step1", "這是你的村莊……

去哪裡，說什麼，成為誰，都由你做主。

在這裡，你可以幫助大家實現願望。"
"intro3_desc_step1", "徜徉各大迪士尼王國，結交新朋友，幫助他們實現願望。

讓大家都過上幸福快樂的日子。"
"notenoughcurrencystarcoin_desc_step1", "缺少星幣？在村莊裡幫忙實現願望就能獲取星幣。"
"notenoughcurrencystarcoin_desc_step2", "通過種植、釣魚或烹飪來收集物品……"
"notenoughcurrencystarcoin_desc_step3", "……在高飛的貨攤或小米的廚房進行交易。"
"requests1_desc_step2", "像朋友一樣去幫助大家！"
"requests1_desc_step3", "等待更多願望！"
"requests2_desc_step1", "進入地圖檢視村莊全景。"
"requests2_desc_step2", "檢視可以收集的物品並尋找好友。"
"requests2_desc_step3", "選擇地圖上的任意地點即可前往！"
"startofgame1_desc_step1", "點選一個地點以移動你的角色。"
"startofgame1_desc_step2", "雙指捏拉縮放，拖動移動鏡頭。"
"startofgame1_desc_step3", "迷路了？點選螢幕上方的角色圖片即可復位鏡頭。"
"startofgame2_desc_step1", "這是你的房子！"
"startofgame2_desc_step2", "你可以按你喜歡的方式裝飾它！"
"startofgame2_desc_step3", "從目錄中獲取新的物品和家具！"
"unlockcharacter_desc_step1", "解鎖新王國，結識新的迪士尼角色！"
"unlockcharacter_desc_step2", "幫助你的朋友們，與他們交談，送他們禮物，或僅僅是和他們共度時光以獲得友誼經驗。"
"unlockcharacter_desc_step3", "升級友誼等級，邀請他們入駐你的村莊。"
"wardrobe_desc_step1", "使用服裝標籤來瀏覽你的衣櫥。"
"wardrobe_desc_step2", "使用篩選欄搜索更多選項。"
"wardrobe_desc_step3", "選中任意物品進行試穿！"
"realm_teleport_hint_desc_1", "打開村莊地圖以快速移動！"
"realm_teleport_hint_desc_2", "選中夢幻城堡以進入王國選單！"
"realm_teleport_hint_desc_3", "選擇你想要傳送的王國！"
"realm_teleport_hint_title_1", "你離夢幻城堡太遠了……"
"realm_teleport_hint_title_2", "傳送至一個王國！"
"sandbox_desc_1", "與村莊中的居民聊天以來增進友誼！你還可以向他們贈送禮物。"
"sandbox_desc_2", "為一切賦予你的個人色彩！自定義你的小屋、村莊和角色。"
"sandbox_desc_3", "種植更多作物！你可以出售農作物以賺取星幣。"
"sandbox_desc_4", "不斷實現願望！還有更多活動等待解鎖。"
"sandbox_title_1", "在等待時可以四處探索。"
"selling_reminder_1", "在村莊裡完成活動。"
"selling_reminder_2", "獲取資源。"
"selling_reminder_3", "在高飛的貨攤交易資源。"
"selling_reminder_4", "獲取星幣。"
"selling_reminder_title", "沒有足夠的星幣？"
"tutorial_start_cooking", "選擇開始烹飪以測試你的配方！"
"tutorial_tap_on_cauldron", "選擇一個鍋以加入你的材料！"
"tutorial_fishing_hold_hint", "其他物品正在佇列中時請稍等。"
"tutorial_fishing_release_hint", "按照指示釋放佇列。"
"tutorial_fishing_ripple_hint", "可以完成了！選擇水中的波紋。"
"tutorial_wait_for_fish_to_bite", "等待魚兒咬勾！"
"tutorial.tutorial_gardening_harvest", "將籃子拖到蔬菜上以收割蔬菜。"
"tutorial.tutorial_gardening_plant", "選擇一種蔬菜並將它拖到空的土地上來種植。"
"tutorial.tutorial_gardening_water", "給作物澆水！將灑水壺拖動到植物上方。"
"tutorial_gardening_select_harvestable", "農作物成熟了！選擇蔬菜來進行收割。"
"tutorial_gardening_select_plantable", "種植你的作物！點選一處空地開始。"
"tutorial.tutorial_highlight_gardening_stall", "這是高飛的貨攤！在這裡你可以交易各種各樣的東西，像是水果、煤和農作物。"
"tutorial.tutorial_show_garden_hint", "這是你的村莊花園。選擇它來開始種植吧。"
"tutorial_click_gardening_sell", "點選「出售」圖示和高飛交易。"
"tutorial_tap_on_gardening_stall", "現在你可以出售各種物品來換取星幣，比如水果、煤和農作物！"
"tutorial_unlock_walle_stall", "這是高飛的貨攤！選擇以解鎖。"
