"BackpackExpansion28_DisplayName", "28格背包"
"BackpackExpansion35_DisplayName", "35格背包"
"BackpackExpansion42_DisplayName", "42格背包"
"LDBlockers!Pickaxe!Coral_Large_DisplayName", "{PlaceHolder} Pickaxe Coral Big Upgrade"
"LDBlockers!Pickaxe!Coral_Small_DisplayName", "{PlaceHolder} Pickaxe Coral Small Upgrade"
"LDBlockers!Pickaxe!IceShards_Big_DisplayName", "{PlaceHolder} Pickaxe IceShards Big Upgrade"
"LDBlockers!Pickaxe!IceShards_Small_DisplayName", "{PlaceHolder} Pickaxe IceShards Small Upgrade"
"LDBlockers!Pickaxe!Rocks_Big_DisplayName", "{PlaceHolder} Pickaxe Rocks Big Upgrade"
"LDBlockers!Pickaxe!Rocks_Small_DisplayName", "{PlaceHolder} Pickaxe Rocks Small Upgrade"
"LDBlockers!Pickaxe!VLG_Kris_020_Statue_DisplayName", "{Placeholder}Ice block"
"LDBlockers!Shovel!Bones_DisplayName", "{PlaceHolder} Shovel Bones Upgrade"
"LDBlockers!Shovel!GazelleSkull_Big_DisplayName", "{PlaceHolder} Shovel Gazelle Skull Big Upgrade"
"LDBlockers!Shovel!GazelleSkull_Small_DisplayName", "{PlaceHolder} Shovel Gazelle Skull Small Upgrade"
"LDBlockers!Shovel!HoleInTheGround_DisplayName", "{PlaceHolder} Hole In The Ground Upgrade"
"LDBlockers!Shovel!TreeStump_Big_DisplayName", "{PlaceHolder} Shovel Tree Stump Big Upgrade"
"LDBlockers!Shovel!TreeStump_Small_DisplayName", "{PlaceHolder} Shovel Tree Stump Small Upgrade"
"LDBlockers!WateringCan!Fire_Big_DisplayName", "{PlaceHolder} WateringCan Fire Big Upgrade"
"LDBlockers!WateringCan!Fire_Small_DisplayName", "{PlaceHolder} WateringCan Fire Small Upgrade"
"LDBlockers!WateringCan!Mushroom_Big_DisplayName", "{PlaceHolder} WateringCan Mushroom Big Upgrade"
"LDBlockers!WateringCan!Mushroom_Small_DisplayName", "{PlaceHolder} WateringCan Mushroom Small Upgrade"
"LDBlockers!WateringCan!Mushroom_VLG_Merl_020_DisplayName", "{Placeholder}Mushroom Merlin"
