"Description", "{Placeholder}Standard Fish Mini Event."
"Description_000", "{Placeholder}Catch 5 any fish that are at least common rarity."
"Description_001", "{Placeholder}Catch 10 any fish that are at least common rarity."
"Description_002", "{Placeholder}Catch 5 any fish that are at least Uncommon rarity."
"Description_003", "{Placeholder}Catch 10 any fish that are at least Uncommon rarity."
"Description_004", "{Placeholder}Catch 5 any fish that are at least rare rarity."
"Description_005", "{Placeholder}Catch 10 any fish that are at least rare rarity."
"Description_006", "{Placeholder}Catch 5 any fish that are very rare."
"Description_007", "{Placeholder}Catch 10 any fish that are very rare."
"Name", "{Placeholder}Fish Mini Event Rarity"
"Name_000", "{Placeholder}Common 1"
"Name_001", "{Placeholder}Common 2"
"Name_002", "{Placeholder}Uncommon 1"
"Name_003", "{Placeholder}Uncommon 2"
"Name_004", "{Placeholder}Rare 1"
"Name_005", "{Placeholder}Rare 2"
"Name_006", "{Placeholder}Very Rare 1"
"Name_007", "{Placeholder}Very Rare 2"
