"Village!LilMermaid!Ursula!VLG_Ursu_040_Any_CompletedRequestDescription", "和烏蘇拉談談你的發現"
"Village!LilMermaid!Ursula!VLG_Ursu_040_AvailableDescription", "烏蘇拉還在繼續追逐力量。她想和你聊聊。"
"Village!LilMermaid!Ursula!VLG_Ursu_040_CompletedStoryDescription", "或許海洋女巫知道這些是什麼花。"
"Village!LilMermaid!Ursula!VLG_Ursu_040_DisplayName", "魔法時刻"
"Village!LilMermaid!Ursula!VLG_Ursu_040_Group01_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我該做什麼？"
"Village!LilMermaid!Ursula!VLG_Ursu_040_Group01_StepDescription", "向葛索媽媽詢問詛咒的事情"
"Village!LilMermaid!Ursula!VLG_Ursu_040_Group01_StoryDescription", "她相信葛索媽媽知道更多事情，所以讓你去詢問女巫。"
"Village!LilMermaid!Ursula!VLG_Ursu_040_Group02_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我該做什麼？"
"Village!LilMermaid!Ursula!VLG_Ursu_040_Group02_Step02_CookMeal01_StepDescription", "<ActivityItem>壽司</ActivityItem>"
"Village!LilMermaid!Ursula!VLG_Ursu_040_Group02_Step02_CookMeal02_StepDescription", "{ItemName}"
"Village!LilMermaid!Ursula!VLG_Ursu_040_Group02_StepDescription", "為葛索媽媽製作以下食物："
"Village!LilMermaid!Ursula!VLG_Ursu_040_Group02_StoryDescription", "葛索媽媽從不會放棄任何機會，她要求你用食物交換答案。"
"Village!LilMermaid!Ursula!VLG_Ursu_040_Group03_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我該做什麼？"
"Village!LilMermaid!Ursula!VLG_Ursu_040_Group03_StepDescription", "把神秘的花朵帶給烏蘇拉"
"Village!LilMermaid!Ursula!VLG_Ursu_040_Group03_StoryDescription", "葛索媽媽收到你答應給她的食物後，她把神秘花朵的資訊告訴了你。你需要把植物帶給烏蘇拉。"
"Village!LilMermaid!Ursula!VLG_Ursu_040_Group05_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我該做什麼？"
"Village!LilMermaid!Ursula!VLG_Ursu_040_Group05_StepDescription", "把<ActivityItem>壽司</ActivityItem>和<ActivityItem>龍蝦卷</ActivityItem>帶給葛索媽媽"
"Village!LilMermaid!Ursula!VLG_Ursu_040_StartRequestButton", "<smallcaps>{title}</smallcaps><br>開始任務"
