"Story!MRQS035_SpreadTheWord_Any_CompletedRequestDescription", "回去找史高治"
"Story!MRQS035_SpreadTheWord_AvailableDescription", "修復商店只是重新開業的一部分，史高治還需要你去村莊裡替他宣傳商店。"
"Story!MRQS035_SpreadTheWord_CompletedStoryDescription", "是時候去向史高治彙報了，看看他對你的辛苦付出作何評價。"
"Story!MRQS035_SpreadTheWord_DisplayName", "史高治商店隆重開業"
"Story!MRQS035_SpreadTheWord_Group01_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我能幫什麼忙？"
"Story!MRQS035_SpreadTheWord_Group01_Step05_DressUp01_StepDescription", "穿上史高治商店的促銷T恤"
"Story!MRQS035_SpreadTheWord_Group02_Step04_TalkToCharacter01_StepDescription", "向史高治展示你的服裝"
"Story!MRQS035_SpreadTheWord_Group03_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我應該用這個標識做什麼？"
"Story!MRQS035_SpreadTheWord_Group03_Step03_Decorate01_StepDescription", "把史高治的商店標識放置到村莊附近"
"Story!MRQS035_SpreadTheWord_Group03_Step03_StepDescription", "(按{input_inventory}打開你的背包，在家具部分找到史高治商店標識。) "
"Story!MRQS035_SpreadTheWord_Group03_StoryDescription", "待你製作完標識後，史高治讓你將它放到村莊附近。"
"Story!MRQS035_SpreadTheWord_Group04_Step02_TalkToCharacter02_StepDescription", "跟史高治交談"
"Story!MRQS035_SpreadTheWord_Group05_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我們現在該怎麼辦？"
"Story!MRQS035_SpreadTheWord_Group05_Step01_Decorate02_StepDescription", "把{ItemName}放到史高治商店附近"
"Story!MRQS035_SpreadTheWord_Group06_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我需要做什麼？"
"Story!MRQS035_SpreadTheWord_Group06_Step06_CraftItem03_StepDescription", "使用收集到的物品製作{ItemName}"
"Story!MRQS035_SpreadTheWord_Group07_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>如何製作？"
"Story!MRQS035_SpreadTheWord_Group07_Step07_CraftItem01_StepDescription", "使用製作臺給史高治的商店製作四個標識"
"Story!MRQS035_SpreadTheWord_Group08_Step08_TalkToCharacter03_StepDescription", "史高治還有別的東西要給你。去找他談談。"
"Story!MRQS035_SpreadTheWord_Group10_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我需要做什麼？"
"Story!MRQS035_SpreadTheWord_Group10_Step10_Possess02_StepDescription", "{ItemName}"
"Story!MRQS035_SpreadTheWord_Group10_Step10_Possess03_StepDescription", "{ItemName}"
"Story!MRQS035_SpreadTheWord_Group10_Step10_StepDescription", "收集以下物品："
"Story!MRQS035_SpreadTheWord_Group10_StoryDescription", "還剩最有一件事：把商店外面裝飾下來吸引潛在客戶。"
"Story!MRQS035_SpreadTheWord_Group11_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我可以在哪裡找到{ItemName}？"
"Story!MRQS035_SpreadTheWord_Group11_Step12_ReadyDescription", "回去找史高治"
"Story!MRQS035_SpreadTheWord_Group11_Step12_StepDescription", "在村莊裡收集<ActivityItem>軟木材</ActivityItem>。"
"Story!MRQS035_SpreadTheWord_Group11_StepDescription", "(按{input_mainmenu}進入收藏頁面檢視在哪裡可以找到<ActivityItem>軟木材</ActivityItem>。)"
"Story!MRQS035_SpreadTheWord_Group11_StoryDescription", "爲了宣傳，史高治讓你穿上史高治商店的T恤去夢幻星谷轉悠。看你穿上T恤後，他又覺得帶上些標識會更好。他請你幫他做一些商店標識。"
