"CatchFishes_Description", "釣{TargetAmount}條魚"
"CatchSeafood_Description", "捕捉{TargetAmount}個海鮮"
"CatchXBeachFishes_Description", "用你的釣魚竿在炫麗海灘的水域中釣魚！"
"CatchXBeachFishes_Title", "在炫麗海灘釣魚"
"CatchXDarkMountainsFishes_Description", "用你的釣魚竿在遺忘之地的水域中釣魚！"
"CatchXDarkMountainsFishes_Title", "在遺忘之地釣魚"
"CatchXFishes_Description", "用你的魚竿在星谷的任意地點釣魚！"
"CatchXFishes_Title", "釣魚"
"CatchXFishWithoutFailing_Description", "你能在釣魚時連續成功嗎？"
"CatchXFishWithoutFailing_Title", "連續成功釣魚"
"CatchXForestFishes_Description", "用你的釣魚竿在勇氣森林的水域中釣魚！"
"CatchXForestFishes_Title", "在勇氣森林釣魚"
"CatchXMeadowFishes_Description", "用你的釣魚竿在寧靜草地的水域中釣魚！"
"CatchXMeadowFishes_Title", "在寧靜草地釣魚"
"CatchXSavannahFishes_Description", "用你的釣魚竿在日照高原的水域中釣魚！"
"CatchXSavannahFishes_Title", "在日照高原釣魚！"
"CatchXSeafood_Description", "用你的釣魚竿在夢幻星谷任意位置捕捉海鮮！"
"CatchXSeafood_Title", "捕捉海鮮"
"CatchXSnowCliffsFishes_Description", "用你的釣魚竿在霜寒高地的水域中釣魚！"
"CatchXSnowCliffsFishes_Title", "在霜寒高地釣魚！"
"CatchXSwampFishes_Description", "用你的釣魚竿在信仰林地的水域中釣魚！"
"CatchXSwampFishes_Title", "在信仰林地釣魚！"
"CatchXTypesOfFishes_Description", "用你的魚竿在星谷的任意地點釣起不同種類的魚！"
"CatchXTypesOfFishes_Title", "釣起不同種類的魚"
"ChangeOutfit_Description", "變換服裝"
"CompleteXRoyalDuties_Description", "完成多個夢幻星光任務！"
"CompleteXRoyalDuties_Title", "完成夢幻星光任務"
"Cook1StarMeal_Description", "準備一份1星或以上的餐食"
"Cook2StarMeal_Description", "準備一份2星或以上的餐食"
"Cook3StarMeal_Description", "準備一份3星或以上的餐食"
"Cook4StarMeal_Description", "準備一份4星或以上的餐食"
"Cook5StarMeal_Description", "準備一份5星餐食"
"CookAMealXStar_Description", "準備一道菜：{ItemName}"
"CookMeals_Description", "準備{TargetAmount}道菜"
"CookSeafoodMeals_Description", "用海鮮烹製"
"CookXFishMeals_Description", "烹製以魚為主原料的食譜！"
"CookXFishMeals_Title", "烹製以魚為主原料的餐食"
"CookXFruitMeals_Description", "烹製以水果為主原料的食譜！"
"CookXFruitMeals_Title", "烹製以水果為主原料的餐食"
