"Village!LilMermaid!Ursula!VLG_Ursu_050_Any_CompletedRequestDescription", "和烏蘇拉談論剛剛發生的事情"
"Village!LilMermaid!Ursula!VLG_Ursu_050_AvailableDescription", "烏蘇拉花了些時間研究那朵花，現在想進行一些魔法實驗。"
"Village!LilMermaid!Ursula!VLG_Ursu_050_CompletedStoryDescription", "烏蘇拉使用法術時出現了一些意想不到的情況。或許海洋女巫知道是怎麼回事。"
"Village!LilMermaid!Ursula!VLG_Ursu_050_DisplayName", "儀式"
"Village!LilMermaid!Ursula!VLG_Ursu_050_Group01_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我該做什麼？"
"Village!LilMermaid!Ursula!VLG_Ursu_050_Group01_Step03_TalkToCharacter02_StepDescription", "從莫阿娜那裡獲取一個<ActivityItem>貝殼</ActivityItem>"
"Village!LilMermaid!Ursula!VLG_Ursu_050_Group01_StoryDescription", "海洋女巫終於知道該怎麼處理那朵花了。你需要收集一些材料來製作藥劑，但你首先要從莫阿娜那裡拿到一個貝殼……"
"Village!LilMermaid!Ursula!VLG_Ursu_050_Group02_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我該做什麼？"
"Village!LilMermaid!Ursula!VLG_Ursu_050_Group02_Step02_Decorate01_StepDescription", "將魔法花放在海灘上的神秘洞穴入口附近。"
"Village!LilMermaid!Ursula!VLG_Ursu_050_Group02_StoryDescription", "根據烏蘇拉所說，魔法花可以用來保護神秘洞穴，那要做的事只有一件了。你只要把花放過去就好。"
"Village!LilMermaid!Ursula!VLG_Ursu_050_Group03_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我該做什麼？"
"Village!LilMermaid!Ursula!VLG_Ursu_050_Group03_StepDescription", "把<ActivityItem>魔法藥劑</ActivityItem>帶給烏蘇拉"
"Village!LilMermaid!Ursula!VLG_Ursu_050_Group03_StoryDescription", "你要製作藥劑，然後把它帶給烏蘇拉。"
"Village!LilMermaid!Ursula!VLG_Ursu_050_Group04_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我該做什麼？"
"Village!LilMermaid!Ursula!VLG_Ursu_050_Group04_Step06_Party02_StepDescription", "觀察烏蘇拉的法術"
"Village!LilMermaid!Ursula!VLG_Ursu_050_Group05_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我該做什麼？"
"Village!LilMermaid!Ursula!VLG_Ursu_050_Group05_Step01_CraftItem01_StepDescription", "為烏蘇拉製作<ActivityItem>魔法藥劑</ActivityItem>"
"Village!LilMermaid!Ursula!VLG_Ursu_050_Group06_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我要收集什麼？"
"Village!LilMermaid!Ursula!VLG_Ursu_050_Group06_Step07_Possess01_StepDescription", "{ItemName}"
"Village!LilMermaid!Ursula!VLG_Ursu_050_Group06_Step07_Possess02_StepDescription", "{ItemName}"
"Village!LilMermaid!Ursula!VLG_Ursu_050_Group06_Step07_Possess03_StepDescription", "{ItemName}"
"Village!LilMermaid!Ursula!VLG_Ursu_050_Group06_Step07_StepDescription", "收集以下物品，幫助烏蘇拉施法："
"Village!LilMermaid!Ursula!VLG_Ursu_050_StartRequestButton", "<smallcaps>{title}</smallcaps><br>開始任務"
