"Village!LionKing!Scar!VLG_Scar_020_Any_CompletedRequestDescription", "回去找刀疤"
"Village!LionKing!Scar!VLG_Scar_020_AvailableDescription", "刀疤想把日照高原上的骨頭處理掉，並請你幫忙。他告訴你史高治有一個<ActivityItem>模具</ActivityItem>可以幫助你改進你的皇家鏟子。"
"Village!LionKing!Scar!VLG_Scar_020_CompletedStoryDescription", "你使用改進後的新皇家鏟子，設法清除了高原上亂七八糟的骨頭，哪怕是最小的牛羚骨頭也不放過。刀疤應該會很高興。"
"Village!LionKing!Scar!VLG_Scar_020_DisplayName", "清理骨頭"
"Village!LionKing!Scar!VLG_Scar_020_Group02_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>接下來怎麼做呢？"
"Village!LionKing!Scar!VLG_Scar_020_Group02_Step02_TalkToCharacter01_StepDescription", "與史高治交談"
"Village!LionKing!Scar!VLG_Scar_020_Group04_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我該怎麼做？"
"Village!LionKing!Scar!VLG_Scar_020_Group04_Step04_Possess02_StepDescription", "埋在日照高原峭壁附近的<ActivityItem>獅爪</ActivityItem>。"
"Village!LionKing!Scar!VLG_Scar_020_Group04_Step04_Possess04_StepDescription", "{ItemName}"
"Village!LionKing!Scar!VLG_Scar_020_Group04_Step04_Possess05_StepDescription", "{ItemName}"
"Village!LionKing!Scar!VLG_Scar_020_Group04_Step04_StepDescription", "收集材料以升級你的<ActivityItem>皇家鏟子</ActivityItem>："
"Village!LionKing!Scar!VLG_Scar_020_Group04_StoryDescription", "從史高治那裡拿到<ActivityItem>模具</ActivityItem>後，你成功讓刀疤想起了你所需要的材料。"
"Village!LionKing!Scar!VLG_Scar_020_Group07_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我該怎麼做？"
"Village!LionKing!Scar!VLG_Scar_020_Group07_Step07_RemoveBlocker01_StepDescription", "清理散落在日照高原的小牛羚骨頭。"
"Village!LionKing!Scar!VLG_Scar_020_Group09_Step09_TalkToCharacter02_StepDescription", "回去找刀疤"
"Village!LionKing!Scar!VLG_Scar_020_Group10_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>接下來怎麼做呢？"
"Village!LionKing!Scar!VLG_Scar_020_Group10_Step10_CraftItem02_StepDescription", "製作{ItemName}。"
"Village!LionKing!Scar!VLG_Scar_020_Group11_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我們現在要做什麼？"
"Village!LionKing!Scar!VLG_Scar_020_Group11_Step11_ConsumeItem02_StepDescription", "使用新的<ActivityItem>{ItemName}</ActivityItem>改進<ActivityItem>鏟子</ActivityItem>。"
"Village!LionKing!Scar!VLG_Scar_020_StartRequestButton", "<smallcaps>{title}</smallcaps><br>開始任務"
