"Village!Ratatouille!Remy!VLG_Remy_010_Any_CompletedRequestDescription", "和小米交談。"
"Village!Ratatouille!Remy!VLG_Remy_010_AvailableDescription", "小米準備開始經營他的新餐廳了。"
"Village!Ratatouille!Remy!VLG_Remy_010_CompletedStoryDescription", "盛大的開張慶典能帶來歡樂的氛圍，但也是壓力的來源。也許你應該問問看小米的感受。"
"Village!Ratatouille!Remy!VLG_Remy_010_DisplayName", "餐廳改造"
"Village!Ratatouille!Remy!VLG_Remy_010_Group01_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>接下來怎麼做呢？"
"Village!Ratatouille!Remy!VLG_Remy_010_Group01_Step01_FollowCharacter01_StepDescription", "跟小米前往餐廳"
"Village!Ratatouille!Remy!VLG_Remy_010_Group01_StoryDescription", "滿足一些基本需求後，小米的餐廳準備開始營業，為村民提供食物。"
"Village!Ratatouille!Remy!VLG_Remy_010_Group02_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我們要進去嗎？"
"Village!Ratatouille!Remy!VLG_Remy_010_Group02_Step02_VisitArea01_StepDescription", "進入餐廳，看看內部的情況。"
"Village!Ratatouille!Remy!VLG_Remy_010_Group02_StoryDescription", "他注意到村莊裡有一家破舊的餐廳。比起從頭開始，他更願意把餐廳翻新一下，但他首先需要評估一下工作量。他請你來幫助他。"
"Village!Ratatouille!Remy!VLG_Remy_010_Group03_Step03_TalkToCharacter01_StepDescription", "和小米談談餐廳的事"
"Village!Ratatouille!Remy!VLG_Remy_010_Group04_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>你需要什麼？"
"Village!Ratatouille!Remy!VLG_Remy_010_Group04_Step04_BringItem03_StepDescription", "{ItemName}"
"Village!Ratatouille!Remy!VLG_Remy_010_Group04_Step04_BringItem04_StepDescription", "{ItemName}"
"Village!Ratatouille!Remy!VLG_Remy_010_Group04_Step04_BringItem06_StepDescription", "{ItemName}"
"Village!Ratatouille!Remy!VLG_Remy_010_Group04_Step04_BringItem07_StepDescription", "{ItemName}"
"Village!Ratatouille!Remy!VLG_Remy_010_Group04_Step04_ReadyDescription", "把小米需要的食材交給他。"
"Village!Ratatouille!Remy!VLG_Remy_010_Group04_Step04_StepDescription", "為小米餐廳尋找食材："
"Village!Ratatouille!Remy!VLG_Remy_010_Group04_StoryDescription", "現在你要為食品室補充貨源。"
"Village!Ratatouille!Remy!VLG_Remy_010_Group05_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>你需要什麼？"
"Village!Ratatouille!Remy!VLG_Remy_010_Group05_Step05_ReadyDescription", "把{ItemName}交給小米。"
"Village!Ratatouille!Remy!VLG_Remy_010_Group05_Step05_StepDescription", "去史高治那裡購買餐廳家具組合"
"Village!Ratatouille!Remy!VLG_Remy_010_Group05_StoryDescription", "餐廳什麼都很缺，包括最基本的東西。你先帶些家具來吧。"
"Village!Ratatouille!Remy!VLG_Remy_010_Group06_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我該怎麼做？"
"Village!Ratatouille!Remy!VLG_Remy_010_Group06_Step06_FollowCharacter02_StepDescription", "去餐廳見小米"
"Village!Ratatouille!Remy!VLG_Remy_010_Group06_Step06_FollowCharacter02_TalkToDescription", "和小米交談。"
"Village!Ratatouille!Remy!VLG_Remy_010_Group07_Step07_TalkToCharacter02_StepDescription", "和小米交談。"
"Village!Ratatouille!Remy!VLG_Remy_010_Group08_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我該怎麼做？"
"Village!Ratatouille!Remy!VLG_Remy_010_Group08_Step08_VisitArea02_StepDescription", "進入新開張的餐廳！"
