"0_ItemsToIgnore_CollectionName", "忽略物品"
"CharactersFrozen_CollectionName", "冰雪奇緣"
"CharactersLionKing_CollectionName", "獅子王"
"CharactersLittleMermaid_CollectionName", "小美人魚"
"CharactersMickeyAndFriends_CollectionName", "米奇和朋友們"
"CharactersMoana_CollectionName", "海洋奇緣"
"CharactersRatatouille_CollectionName", "美食總動員"
"CharactersSwordInStone_CollectionName", "石中劍"
"CharactersTangled_CollectionName", "長髮公主"
"CharactersWallE_CollectionName", "瓦力"
"Crafting_CollectionName", "功能物品"
"CraftingEnchantment_CollectionName", "魔法"
"CraftingFencesRoads_CollectionName", "圍欄和道路"
"CraftingFurnitures_CollectionName", "家具"
"CraftingRefinedMaterials_CollectionName", "精良材料"
"CrittersBabyArcticFox_CollectionName", "狐貍"
"CrittersBabyCrocodile_CollectionName", "鱷魚"
"CrittersBabySeaTurtle_CollectionName", "海龜"
"CrittersCrow_CollectionName", "烏鴉"
"CrittersRabbit_CollectionName", "兔子"
"CrittersRacoon_CollectionName", "浣熊"
"CrittersSquirrel_CollectionName", "松鼠"
"CrittersSunbird_CollectionName", "太陽鳥"
"CropsGrain_CollectionName", "穀物"
"CropsVegetable_CollectionName", "蔬菜"
"Fish_CollectionName", "魚"
"ForagingCrafting_CollectionName", "製作材料"
"ForagingFlower_CollectionName", "鮮花"
"ForagingFruits_CollectionName", "水果"
"ForagingIngredients_CollectionName", "海鮮"
"ForagingSpice_CollectionName", "香料和藥草"
"IngredientsPantry_CollectionName", "小米餐廳食品室"
"MealsAppetizer_CollectionName", "前菜"
"MealsDessert_CollectionName", "甜品"
"MealsDinner_CollectionName", "主菜"
"MemoryShardsBeautyAndBeast_CollectionName", "美女與野獸"
"MemoryShardsCinderella_CollectionName", "灰姑娘"
"MemoryShardsDiaries_CollectionName", "老谷主的遺失日記"
"MemoryShardsDreamlightValley_CollectionName", "夢幻星谷"
"MemoryShardsFrozen_CollectionName", "冰雪奇緣"
"MemoryShardsLionKing_CollectionName", "獅子王"
"MemoryShardsLittleMermaid_CollectionName", "小美人魚"
"MemoryShardsMickey_CollectionName", "米奇和朋友們"
"MemoryShardsMoana_CollectionName", "海洋奇緣"
"MemoryShardsMonsterInc_CollectionName", "怪獸電力公司"
"MemoryShardsRalph_CollectionName", "無敵破壞王"
"MemoryShardsRatatouille_CollectionName", "美食總動員"
"MemoryShardsSwordInStone_CollectionName", "石中劍"
"MemoryShardsTangled_CollectionName", "長髮公主"
"MemoryShardsToyStory_CollectionName", "玩具總動員"
"MemoryShardsWallE_CollectionName", "瓦力"
"Minerals_CollectionName", "礦石"
"MineralsCrafting_CollectionName", "製作"
"SetItemClothingBeautyAndBeast_CollectionName", "美女與野獸"
"SetItemClothingCars_CollectionName", "賽車總動員"
"SetItemClothingCinderella_CollectionName", "灰姑娘"
"SetItemClothingCoco_CollectionName", "尋夢環遊記"
"SetItemClothingDreamlightValley_CollectionName", "夢幻星谷"
"SetItemClothingFrozen_CollectionName", "冰雪奇緣"
"SetItemClothingIncredibles_CollectionName", "超人總動員"
"SetItemClothingLiloStitch_CollectionName", "星際寶貝"
"SetItemClothingLionKing_CollectionName", "獅子王"
"SetItemClothingLittleMermaid_CollectionName", "小美人魚"
"SetItemClothingMickey_CollectionName", "米奇和朋友們"
"SetItemClothingMoana_CollectionName", "海洋奇緣"
"SetItemClothingMonsterInc_CollectionName", "怪獸電力公司"
"SetItemClothingNonIP_CollectionName", "普通"
"SetItemClothingRalph_CollectionName", "無敵破壞王"
"SetItemClothingRatatouille_CollectionName", "美食總動員"
"SetItemClothingSleepBeauty_CollectionName", "睡美人"
"SetItemClothingSwordStone_CollectionName", "石中劍"
"SetItemClothingTangled_CollectionName", "長髮公主"
"SetItemClothingToyStory_CollectionName", "玩具總動員"
"SetItemClothingWallE_CollectionName", "瓦力"
"SetItemFurnitureAncientCiv_CollectionName", "古文明"
"SetItemFurnitureBeautyAndBeast_CollectionName", "美女與野獸"
"SetItemFurnitureCars_CollectionName", "賽車總動員"
"SetItemFurnitureCinderella_CollectionName", "灰姑娘"
"SetItemFurnitureCoco_CollectionName", "尋夢環遊記"
"SetItemFurnitureDreamlightValley_CollectionName", "夢幻星谷"
"SetItemFurnitureFrozen_CollectionName", "冰雪奇緣"
"SetItemFurnitureHercules_CollectionName", "大力士"
"SetItemFurnitureIncredibles_CollectionName", "超人總動員"
"SetItemFurnitureLightyear_CollectionName", "光年正傳"
"SetItemFurnitureLiloStitch_CollectionName", "星際寶貝"
"SetItemFurnitureLionKing_CollectionName", "獅子王"
"SetItemFurnitureLittleMermaid_CollectionName", "小美人魚"
"SetItemFurnitureMickey_CollectionName", "米奇和朋友們"
"SetItemFurnitureMoana_CollectionName", "海洋奇緣"
"SetItemFurnitureMonsterInc_CollectionName", "怪獸電力公司"
"SetItemFurnitureNonIP_CollectionName", "非迪士尼內容"
"SetItemFurnitureRalph_CollectionName", "無敵破壞王"
"SetItemFurnitureRatatouille_CollectionName", "美食總動員"
"SetItemFurnitureSleepBeauty_CollectionName", "睡美人"
"SetItemFurnitureSnowWhite_CollectionName", "白雪公主"
"SetItemFurnitureSwordStone_CollectionName", "石中劍"
"SetItemFurnitureTangled_CollectionName", "長髮公主"
"SetItemFurnitureToyStory_CollectionName", "玩具總動員"
"SetItemFurnitureUp_CollectionName", "飛屋環遊記"
"SetItemFurnitureWallE_CollectionName", "瓦力"
