"Realm!Frozen!Elsa!RLM_FrozenIP_Elsa_010_Any_CompletedRequestDescription", "和艾莎交談"
"Realm!Frozen!Elsa!RLM_FrozenIP_Elsa_010_AvailableDescription", "你在魔法森林深處一條河的對岸找到了艾莎。"
"Realm!Frozen!Elsa!RLM_FrozenIP_Elsa_010_CompletedStoryDescription", "你幫艾莎讓風靈蓋爾冷靜下來。現在你只需要和她談談。"
"Realm!Frozen!Elsa!RLM_FrozenIP_Elsa_010_DisplayName", "逐風而行"
"Realm!Frozen!Elsa!RLM_FrozenIP_Elsa_010_Group01_Step01_TalkToCharacter01_StepDescription", "在橋的另一邊和艾莎見面"
"Realm!Frozen!Elsa!RLM_FrozenIP_Elsa_010_Group02_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我該做什麼？"
"Realm!Frozen!Elsa!RLM_FrozenIP_Elsa_010_Group02_Step02_Possess01_StepDescription", "<ActivityItem>軟木材</ActivityItem>"
"Realm!Frozen!Elsa!RLM_FrozenIP_Elsa_010_Group02_Step02_Possess02_StepDescription", "<ActivityItem>鐵塊</ActivityItem>"
"Realm!Frozen!Elsa!RLM_FrozenIP_Elsa_010_Group02_Step02_Possess03_StepDescription", "<ActivityItem>線繩</ActivityItem>"
"Realm!Frozen!Elsa!RLM_FrozenIP_Elsa_010_Group02_Step02_StepDescription", "收集做<ActivityItem>風鈴</ActivityItem>的材料："
"Realm!Frozen!Elsa!RLM_FrozenIP_Elsa_010_Group02_StoryDescription", "你決定製作一些<ActivityItem>風鈴</ActivityItem>，幫艾莎讓風靈蓋爾冷靜下來，"
"Realm!Frozen!Elsa!RLM_FrozenIP_Elsa_010_Group03_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>接下來怎麼做呢？"
"Realm!Frozen!Elsa!RLM_FrozenIP_Elsa_010_Group03_Step03_CraftItem01_StepDescription", "製作<ActivityItem>風鈴</ActivityItem>"
"Realm!Frozen!Elsa!RLM_FrozenIP_Elsa_010_Group04_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>現在怎麼辦？"
"Realm!Frozen!Elsa!RLM_FrozenIP_Elsa_010_Group04_Step04_VisitArea01_StepDescription", "回到冰雪王國，找到艾莎。"
"Realm!Frozen!Elsa!RLM_FrozenIP_Elsa_010_Group05_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我能做些什麼？"
"Realm!Frozen!Elsa!RLM_FrozenIP_Elsa_010_Group05_Step05_StepDescription", "把全部三個<ActivityItem>風鈴</ActivityItem>繫在艾莎附近的不同樹上。"
"Realm!Frozen!Elsa!RLM_FrozenIP_Elsa_010_StartRequestButton", "<smallcaps>{title}</smallcaps><br>開始任務"
