"DreamshardsGift_Description", "翻遍郵箱，你發現了一些夢之碎片。
最好將它們儲存在安全的地方，直到需要為止。"
"DreamshardsGift_Title", "有東西卡在郵箱裡 : 夢之碎片"
"DreamshardsGift2_Description", "在遊戲後期，您將體驗一個需要夢想碎片的任務。
由於我們正在修復一個平衡問題，你可能會發現很難獲得足夠的夢想碎片來推進你的任務。
作為補償，我們現在給你一些夢想碎片。

我們建議您將夢想碎片放在家裡的箱子裡妥善保管。"
"DreamshardsGift2_Title", "明智地使用你的夢想碎片！"
"FirstWeekBonus_Description", "感謝您成為《迪士尼夢幻星谷》的首批玩家！為感謝您的熱情，我們為您奉上了一些甜美的獎勵！"
"FirstWeekBonus_Title", "歡迎來到《迪士尼夢幻星谷》！"
"FounderPackBaseGame_Description", "感謝您購買創始人包基礎遊戲。祝您遊戲愉快！"
"FounderPackBaseGame_Title", "創始人包基礎遊戲"
"FounderPackDeluxe_Description", "感謝您購買豪華創始人包。祝您遊戲愉快！"
"FounderPackDeluxe_Title", "豪華創始人包"
"FounderPackUltimate_Description", "感謝您購買尊貴創始人包。祝您遊戲愉快！"
"FounderPackUltimate_Title", "尊貴創始人包"
"InfluencerMickeyTangledSet_Description", "Here is a special gift for you!"
"InfluencerMickeyTangledSet_Title", "Special Gift"
"PixarFestStarPath_CurrencyName", "代幣"
"PixarFestStarPath_Description", "連續舉辦了3年的皮克斯嘉年華讓世界各地的粉絲齊聚一堂，慶祝動畫工作室在世界各地為我們呈現令人難忘的經典角色。而今年，您可以在《迪士尼夢幻星谷》中參與慶典！
完成節日任務來收集標誌性的代幣，獲得根據皮克斯動畫工作室創意設計的時尚新外觀。順著星路開啟旅程，在遊戲中與你最喜愛的迪士尼和皮克斯角色慶祝皮克斯嘉年華。
讓我們相約星谷！"
"PixarFestStarPath_Task01_Description", "清除暗夜荊棘"
"PixarFestStarPath_Task02_Description", "出售餐食"
"PixarFestStarPath_Task03_Description", "挖掘黃晶"
"PixarFestStarPath_Task04_Description", "開始討論"
"PixarFestStarPath_Task05_Description", "採摘水果"
"PixarFestStarPath_Task06_Description", "收集星幣"
"PixarFestStarPath_Task07_Description", "出售物品"
"PixarFestStarPath_Task08_Description", "收穫生菜"
"PixarFestStarPath_Task09_Description", "釣魚"
"PixarFestStarPath_Task10_Description", "送出最喜歡的禮物"
"PixarFestStarPath_Task11_Description", "烹製香煎鱸魚佐蔬菜"
"PixarFestStarPath_Task12_Description", "出售鮮花"
"PixarFestStarPath_Task13_Description", "使用水果烹製餐食"
"PixarFestStarPath_Task14_Description", "給瓦力送他最喜歡的禮物"
"PixarFestStarPath_Task15_Description", "挖掘礦石"
"PixarFestStarPath_Task16_Description", "出售任意2星餐食"
"PixarFestStarPath_Task17_Description", "獲取星幣"
"PixarFestStarPath_Task18_Description", "收穫玉米"
"PixarFestStarPath_Task19_Description", "出售小麥"
"PixarFestStarPath_Task20_Description", "給小米送他最喜歡的禮物"
"PixarFestStarPath_Task21_Description", "釣到鮪魚"
"PixarFestStarPath_Task22_Description", "出售大蒜"
"PixarFestStarPath_Task23_Description", "挖掘海藍寶石"
"PixarFestStarPath_Task24_Description", "使用番茄烹製餐食"
"PixarFestStarPath_Task25_Description", "收穫燈籠椒"
"PixarFestStarPath_Task26_Description", "烹製3星餐食"
"PixarFestStarPath_Task27_Description", "在餐廳服務顧客"
"PixarFestStarPath_Task28_Description", "給烏蘇拉送她最喜歡的禮物"
"PixarFestStarPath_Task29_Description", "出售綠寶石"
"PixarFestStarPath_Task30_Description", "獲取星幣"
"PixarFestStarPath_Title", "皮克斯嘉年華星路"
"PromoCodeTest01_Description", "這是你的獎勵"
"PromoCodeTest01_Title", "代碼已領取！"
"promoCodeTest2_Description", "這是你的獎勵"
"promoCodeTest2_Title", "代碼已領取"
"PromoCustoTest_Description", "請暢享這些服裝和家具"
"PromoCustoTest_Title", "自定義代碼"
"PromoDLTest_Description", "享受夢幻星光帶來的樂趣"
"PromoDLTest_Title", "夢幻星光代碼"
"Welcome_Description", "親愛的玩家，

歡迎來到夢幻星谷！

與你最喜愛的迪士尼角色共度美好時光，打造最棒的星谷。"
"Welcome_Title", "歡迎"
