"Village!Mickey!Goofy!VLG_Goof_050_AvailableDescription", "高飛想繼續他的剪貼簿計劃。"
"Village!Mickey!Goofy!VLG_Goof_050_Choice1_CompletedRequestDescription", "給高飛看你們一起拍的<ActivityItem>照片</ActivityItem>。"
"Village!Mickey!Goofy!VLG_Goof_050_Choice2_CompletedRequestDescription", "給高飛看你們一起拍的<ActivityItem>照片</ActivityItem>。"
"Village!Mickey!Goofy!VLG_Goof_050_Choice3_CompletedRequestDescription", "給高飛看你們一起拍的<ActivityItem>照片</ActivityItem>。"
"Village!Mickey!Goofy!VLG_Goof_050_CompletedStoryDescription", "你拍到了完美的自拍，讓高飛看一下吧。"
"Village!Mickey!Goofy!VLG_Goof_050_DisplayName", "拍照熱情"
"Village!Mickey!Goofy!VLG_Goof_050_Group01_Step01_TalkToCharacter01_StepDescription", "跟高飛交談"
"Village!Mickey!Goofy!VLG_Goof_050_Group02_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我應該做些什麼？"
"Village!Mickey!Goofy!VLG_Goof_050_Group02_Step02_TakePicture06_StepDescription", "友誼之柱(寧靜草地)"
"Village!Mickey!Goofy!VLG_Goof_050_Group02_Step02_TakePicture07_StepDescription", "力量之柱(炫麗海灘)"
"Village!Mickey!Goofy!VLG_Goof_050_Group02_Step02_TakePicture08_StepDescription", "勇氣之柱（勇氣森林）"
"Village!Mickey!Goofy!VLG_Goof_050_Group02_Step02_TakePicture09_StepDescription", "信仰之柱(信仰林地)"
"Village!Mickey!Goofy!VLG_Goof_050_Group02_StepDescription", "在夢幻星谷拍攝以下柱子的照片："
"Village!Mickey!Goofy!VLG_Goof_050_Group03_Step03_TalkToCharacter02_StepDescription", "跟高飛交談"
"Village!Mickey!Goofy!VLG_Goof_050_Group04_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我應該做些什麼？"
"Village!Mickey!Goofy!VLG_Goof_050_Group04_Step04_TakePicture01_StepDescription", "信仰林地的大柳樹。"
"Village!Mickey!Goofy!VLG_Goof_050_Group04_Step04_TakePicture02_StepDescription", "日照高原的大象墓地。"
"Village!Mickey!Goofy!VLG_Goof_050_Group04_Step04_TakePicture03_StepDescription", "史高治的店"
"Village!Mickey!Goofy!VLG_Goof_050_Group04_Step04_TakePicture04_StepDescription", "小米的餐廳"
"Village!Mickey!Goofy!VLG_Goof_050_Group04_Step04_TakePicture05_StepDescription", "夢幻城堡"
"Village!Mickey!Goofy!VLG_Goof_050_Group04_StepDescription", "在夢幻星谷拍攝以下地標的照片："
"Village!Mickey!Goofy!VLG_Goof_050_Group04_StoryDescription", "你決定拍攝夢幻星谷的風景照片，幫助他完成計劃。"
"Village!Mickey!Goofy!VLG_Goof_050_Group05_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我應該做什麼？"
"Village!Mickey!Goofy!VLG_Goof_050_Group05_Step05_DressUp01_StepDescription", "戴上帽子拍照"
"Village!Mickey!Goofy!VLG_Goof_050_Group05_StoryDescription", "高飛覺得剪貼簿還缺一張你和他的合照。另外，你還需要一頂帽子來紀念這一時刻。"
"Village!Mickey!Goofy!VLG_Goof_050_Group06_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我應該做些什麼？"
"Village!Mickey!Goofy!VLG_Goof_050_Group06_Step06_TakePicture10_StepDescription", "和高飛一起自拍！"
"Village!Mickey!Goofy!VLG_Goof_050_StartRequestButton", "<smallcaps>{title}</smallcaps><br>開始任務"
