"Village!Ratatouille!Remy!VLG_Remy_040_Any_CompletedRequestDescription", "回到小米處。"
"Village!Ratatouille!Remy!VLG_Remy_040_AvailableDescription", "小米陷入了沉思。也許你該弄清到底是怎麼回事。"
"Village!Ratatouille!Remy!VLG_Remy_040_CompletedStoryDescription", "小廚師建議把新食譜和經典口味結合，讓菜更加美味。完成之後，就只剩下一件事了……讓小米看看你剛剛出爐的新作。"
"Village!Ratatouille!Remy!VLG_Remy_040_DisplayName", "未知的味道"
"Village!Ratatouille!Remy!VLG_Remy_040_Group01_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我該找誰？"
"Village!Ratatouille!Remy!VLG_Remy_040_Group01_Step01_TalkToCharacter01_StepDescription", "找梅林幫忙"
"Village!Ratatouille!Remy!VLG_Remy_040_Group01_StoryDescription", "他正在嘗試重現一種魔法甜點的食譜。你決定幫忙去問問梅林。"
"Village!Ratatouille!Remy!VLG_Remy_040_Group02_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我該怎麼做？"
"Village!Ratatouille!Remy!VLG_Remy_040_Group02_Step02_Possess01_StepDescription", "在梅林的小屋裡找到他的便條。"
"Village!Ratatouille!Remy!VLG_Remy_040_Group02_StoryDescription", "巫師讓你去他的小屋，他相信你會在那兒找到有用的東西。"
"Village!Ratatouille!Remy!VLG_Remy_040_Group03_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我該怎麼做？"
"Village!Ratatouille!Remy!VLG_Remy_040_Group03_Step03_BringItem01_StepDescription", "收集食譜中的{ItemName}"
"Village!Ratatouille!Remy!VLG_Remy_040_Group03_Step03_ReadyDescription", "找個人將<ActivityItem>純凈夜之碎片</ActivityItem>變成粉末。"
"Village!Ratatouille!Remy!VLG_Remy_040_Group03_StoryDescription", "你找到了一張便條，能夠指引你找到食材。"
"Village!Ratatouille!Remy!VLG_Remy_040_Group04_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我要做什麼？"
"Village!Ratatouille!Remy!VLG_Remy_040_Group04_Step04_CraftItem01_StepDescription", "製作{ItemName}"
"Village!Ratatouille!Remy!VLG_Remy_040_Group05_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>你需要什麼？"
"Village!Ratatouille!Remy!VLG_Remy_040_Group05_Step05_BringItem03_StepDescription", "製作{ItemName}"
"Village!Ratatouille!Remy!VLG_Remy_040_Group05_Step05_ReadyDescription", "把{ItemName}交給小米。"
"Village!Ratatouille!Remy!VLG_Remy_040_Group05_StoryDescription", "按照食譜製作好食物後，你把它交給小米品嚐。"
"Village!Ratatouille!Remy!VLG_Remy_040_Group07_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>還要做什麼？"
"Village!Ratatouille!Remy!VLG_Remy_040_Group07_Step07_CookMeal01_StepDescription", "準備一杯<ActivityItem>香草冰淇淋</ActivityItem>"
"Village!Ratatouille!Remy!VLG_Remy_040_Group08_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>接下來怎麼做呢？"
"Village!Ratatouille!Remy!VLG_Remy_040_Group08_Step08_Possess04_StepDescription", "{ItemName}"
"Village!Ratatouille!Remy!VLG_Remy_040_Group08_Step08_Possess05_StepDescription", "{ItemName}"
"Village!Ratatouille!Remy!VLG_Remy_040_Group08_Step08_StepDescription", "完成食譜："
"Village!Ratatouille!Remy!VLG_Remy_040_StartRequestButton", "<smallcaps>{title}</smallcaps><br>開始任務"
