"Village!Tangled!MotherGothel!VLG_Moth_040_Any_CompletedRequestDescription", "去見葛索媽媽"
"Village!Tangled!MotherGothel!VLG_Moth_040_AvailableDescription", "葛索媽媽知道如何處理<ActivityItem>太陽石碎片</ActivityItem>。在恢復<ActivityItem>太陽石</ActivityItem>之前，你需要強化它的<ActivityItem>碎片</ActivityItem>，從而召喚<ActivityItem>太陽隕石</ActivityItem>雨。每個碎片的恢復方法都不同，葛索媽媽詳細說明了你該如何處理<ActivityItem>黎明石碎片</ActivityItem>。"
"Village!Tangled!MotherGothel!VLG_Moth_040_DisplayName", "村莊計劃：恢復太陽石"
"Village!Tangled!MotherGothel!VLG_Moth_040_Group01_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>現在我應該怎麼做？"
"Village!Tangled!MotherGothel!VLG_Moth_040_Group01_Step01_BringItem01_StepDescription", "確保你的物品欄裡有<ActivityItem>黎明石碎片</ActivityItem>"
"Village!Tangled!MotherGothel!VLG_Moth_040_Group01_Step01_ReadyDescription", "把<ActivityItem>黎明石碎片</ActivityItem>帶給葛索媽媽"
"Village!Tangled!MotherGothel!VLG_Moth_040_Group02_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>現在我應該怎麼做？"
"Village!Tangled!MotherGothel!VLG_Moth_040_Group02_Step02_Possess01_StepDescription", "去遺忘之地收集<ActivityItem>太陽隕石</ActivityItem>"
"Village!Tangled!MotherGothel!VLG_Moth_040_Group02_StoryDescription", "使用了三個<ActivityItem>碎片</ActivityItem>之後，葛索媽媽施放了一個法術，讓<ActivityItem>太陽隕石</ActivityItem>從天而降。她讓你去尋找散落在遺忘之地的<ActivityItem>太陽隕石</ActivityItem>。"
"Village!Tangled!MotherGothel!VLG_Moth_040_Group03_Step03_TalkToCharacter01_StepDescription", "把<ActivityItem>太陽隕石</ActivityItem>給葛索媽媽看"
"Village!Tangled!MotherGothel!VLG_Moth_040_Group04_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>現在我應該怎麼做？"
"Village!Tangled!MotherGothel!VLG_Moth_040_Group04_Step04_CraftItem01_StepDescription", "製作{ItemName}"
"Village!Tangled!MotherGothel!VLG_Moth_040_Group05_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>現在我應該怎麼做？"
"Village!Tangled!MotherGothel!VLG_Moth_040_Group05_StepDescription", "把<ActivityItem>太陽石</ActivityItem>帶給葛索媽媽"
"Village!Tangled!MotherGothel!VLG_Moth_040_Group05_StoryDescription", "根據葛索媽媽的指示，你復原了<ActivityItem>太陽石</ActivityItem>。來看看這一切努力是否值得吧。"
"Village!Tangled!MotherGothel!VLG_Moth_040_Group06_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我需要什麼材料？"
"Village!Tangled!MotherGothel!VLG_Moth_040_Group06_Step06_Possess02_StepDescription", "<ActivityItem>{ItemName}</ActivityItem>"
"Village!Tangled!MotherGothel!VLG_Moth_040_Group06_Step06_Possess03_StepDescription", "<ActivityItem>{ItemName}</ActivityItem>"
"Village!Tangled!MotherGothel!VLG_Moth_040_Group06_Step06_Possess05_StepDescription", "<ActivityItem>{ItemName}</ActivityItem>"
"Village!Tangled!MotherGothel!VLG_Moth_040_Group06_Step06_Possess06_StepDescription", "<ActivityItem>{ItemName}</ActivityItem>"
"Village!Tangled!MotherGothel!VLG_Moth_040_Group06_Step06_StepDescription", "收集以下材料："
"Village!Tangled!MotherGothel!VLG_Moth_040_Group07_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我該怎麼辦？"
"Village!Tangled!MotherGothel!VLG_Moth_040_Group07_Step07_GardeningPlant01_StepDescription", "在遺忘之地埋下<ActivityItem>黃昏石碎片</ActivityItem>"
"Village!Tangled!MotherGothel!VLG_Moth_040_Group07_StoryDescription", "只要你帶給她<ActivityItem>黎明石碎片</ActivityItem>，她就會給你<ActivityItem>黃昏石碎片</ActivityItem>。"
"Village!Tangled!MotherGothel!VLG_Moth_040_Group08_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我該怎麼辦？"
"Village!Tangled!MotherGothel!VLG_Moth_040_Group08_Step08_WaterPlant01_StepDescription", "照料遺忘之地的<ActivityItem>黃昏石碎片</ActivityItem>直到它恢復"
"Village!Tangled!MotherGothel!VLG_Moth_040_Group09_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我該怎麼辦？"
"Village!Tangled!MotherGothel!VLG_Moth_040_Group09_StepDescription", "把<ActivityItem>閃光黃昏碎片</ActivityItem>帶給葛索媽媽"
"Village!Tangled!MotherGothel!VLG_Moth_040_Group10_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>現在我應該做什麼？"
"Village!Tangled!MotherGothel!VLG_Moth_040_Group10_Step10_CookMeal01_StepDescription", "使用烹飪臺恢復<ActivityItem>黎明碎片</ActivityItem>"
"Village!Tangled!MotherGothel!VLG_Moth_040_StartRequestButton", "<smallcaps>{title}</smallcaps><br>開始任務"
