"Village!Frozen!Elsa!VLG_Elsa_040_Any_CompletedRequestDescription", "和艾莎交談"
"Village!Frozen!Elsa!VLG_Elsa_040_AvailableDescription", "艾莎回憶起了更多關於你找到的神秘<ActivityItem>紋章</ActivityItem>的事。是她把它們藏起來的，她希望她的零星記憶可以幫你們找到更多線索。這些線索將你們引向安娜和艾莎的冰雕。"
"Village!Frozen!Elsa!VLG_Elsa_040_DisplayName", "冰窟之謎"
"Village!Frozen!Elsa!VLG_Elsa_040_Group01_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我該做什麼？"
"Village!Frozen!Elsa!VLG_Elsa_040_Group01_Step01_VisitArea01_StepDescription", "前往冰窟"
"Village!Frozen!Elsa!VLG_Elsa_040_Group02_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>現在怎麼辦？"
"Village!Frozen!Elsa!VLG_Elsa_040_Group02_Step02_FollowCharacter01_StepDescription", "跟著艾莎去冰雕處"
"Village!Frozen!Elsa!VLG_Elsa_040_Group02_Step02_FollowCharacter01_TalkToDescription", "和艾莎交談"
"Village!Frozen!Elsa!VLG_Elsa_040_Group03_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我能做些什麼？"
"Village!Frozen!Elsa!VLG_Elsa_040_Group03_Step03_TalkToCharacter01_StepDescription", "和安娜交談"
"Village!Frozen!Elsa!VLG_Elsa_040_Group03_StoryDescription", "艾莎記得安娜幫她把神秘的<ActivityItem>紋章</ActivityItem>藏了起來，安娜一定知道最後一個藏在哪兒。"
"Village!Frozen!Elsa!VLG_Elsa_040_Group04_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我們要找什麼？"
"Village!Frozen!Elsa!VLG_Elsa_040_Group04_Step04_Possess01_StepDescription", "從安娜家拿走<ActivityItem>綠色紋章</ActivityItem>"
"Village!Frozen!Elsa!VLG_Elsa_040_Group04_StoryDescription", "你讓安娜想起來，最後一個<ActivityItem>紋章</ActivityItem>藏在她家餐廳的<ActivityItem>老爺鐘</ActivityItem>裡。"
"Village!Frozen!Elsa!VLG_Elsa_040_Group05_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我該做什麼？"
"Village!Frozen!Elsa!VLG_Elsa_040_Group05_Step05_FillKeyhole01_StepDescription", "最後一個<ActivityItem>紋章</ActivityItem>終於找到了！把它放進冰窟的牆上吧。"
"Village!Frozen!Elsa!VLG_Elsa_040_Group06_Step06_TalkToCharacter02_StepDescription", "回去找艾莎"
"Village!Frozen!Elsa!VLG_Elsa_040_Group07_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>接下來怎麼做呢？"
"Village!Frozen!Elsa!VLG_Elsa_040_Group07_Step07_FillKeyhole02_StepDescription", "<ActivityItem>阿倫戴爾腌鯡魚</ActivityItem>"
"Village!Frozen!Elsa!VLG_Elsa_040_Group07_Step07_FillKeyhole03_StepDescription", "<ActivityItem>白色西番蓮</ActivityItem>"
"Village!Frozen!Elsa!VLG_Elsa_040_Group07_Step07_FillKeyhole04_StepDescription", "<ActivityItem>胡蘿蔔</ActivityItem>"
"Village!Frozen!Elsa!VLG_Elsa_040_Group07_Step07_FillKeyhole05_StepDescription", "<ActivityItem>金塊</ActivityItem>"
"Village!Frozen!Elsa!VLG_Elsa_040_Group07_StepDescription", "把以下物品放到基座上："
"Village!Frozen!Elsa!VLG_Elsa_040_Group08_Step08_TalkToCharacter03_StepDescription", "和艾莎交談"
"Village!Frozen!Elsa!VLG_Elsa_040_Group09_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我該做什麼？"
"Village!Frozen!Elsa!VLG_Elsa_040_Group09_Step09_BringItem01_StepDescription", "打開<ActivityItem>冰凍寶箱</ActivityItem>，看看裡面的東西。"
"Village!Frozen!Elsa!VLG_Elsa_040_Group09_Step09_ReadyDescription", "把你找到的東西交給艾莎"
"Village!Frozen!Elsa!VLG_Elsa_040_Group09_StoryDescription", "當<ActivityItem>寶箱</ActivityItem>周圍的冰消失時，你所有的努力都得到了回報。只要打開它，你就會知道艾莎到底想保護什麼。"
"Village!Frozen!Elsa!VLG_Elsa_040_StartRequestButton", "<smallcaps>{title}</smallcaps><br>開始任務"
