"Ariel_Castle_DisplayName", "愛麗兒的海洋城堡"
"ArielBeach_DisplayName", "愛麗兒的沙灘"
"Arrendele_Castle_DisplayName", "安娜的城堡"
"Castle_DisplayName", "城堡"
"CastleSecretRoom_DisplayName", "城堡的密室"
"DarkForest_DisplayName", "黑暗森林"
"DarkSavannah_DisplayName", "黑暗火爐"
"DonaldDuck_House_DisplayName", "唐老鴨的船"
"ElsaIceCavern_DisplayName", "冰窟"
"Eric_Stall_DisplayName", "{Placeholder}Eric Stall"
"FairyGodmother_House_DisplayName", "仙女教母的小屋"
"FastTravelWell!01Urban_DisplayName", "許願井"
"FastTravelWell!02Meadow_DisplayName", "草地許願井"
"FastTravelWell!03Beach_DisplayName", "海灘許願井"
"FastTravelWell!04Forest_DisplayName", "森林許願井"
"FastTravelWell!05Wetlands_DisplayName", "信仰林地許願井"
"FastTravelWell!06Savana_DisplayName", "日照高原許願井"
"FastTravelWell!07Cliffs_DisplayName", "霜寒高地許願井"
"FastTravelWell!08DarkMountains_DisplayName", "遺忘之地許願井"
"Fishing_Stall_DisplayName", "莫娜的漁船"
"FruitTreeGarden_DisplayName", "果樹"
"FruitTreeGarden_NoStructure_DisplayName", "沒有圍沿的果樹"
"Gardening_Stall1_Urban_DisplayName", "高飛的貨攤"
"Gardening_Stall2_Meadow_DisplayName", "高飛的貨攤"
"Gardening_Stall3_Beach_DisplayName", "高飛的貨攤"
"Gardening_Stall4_Forest_DisplayName", "高飛的貨攤"
"Gardening_Stall5_Wetlands_DisplayName", "高飛的貨攤"
"Gardening_Stall6_Savannah_DisplayName", "高飛的貨攤"
"Gardening_Stall7_Cliff_DisplayName", "高飛的貨攤"
"Gardening_Stall8_DarkMountain_DisplayName", "高飛的貨攤"
"GardeningTile_DisplayName", "園藝地塊"
"GiantWillowTree_DisplayName", "大柳樹"
"Goofy_House_DisplayName", "高飛的小屋"
"Kristoff_Stall_DisplayName", "克里斯托夫的貨攤"
"Maui_Island_DisplayName", "寧靜洞穴"
"Merlin_House_DisplayName", "夢幻星光圖書館"
"Mickey_House_DisplayName", "米奇的小屋"
"Minnie_House_DisplayName", "米妮的小屋"
"Moana_House_DisplayName", "莫阿娜的小屋"
"PlateauMine_DisplayName", "{Placeholder}Plateau Mine"
"Player_Castle_DisplayName", "你的小屋"
"PowerBeachCave_DisplayName", "神秘洞穴"
"PrinceEric_House_DisplayName", "亞力克王子的城堡"
"RatatouilleDishes_DisplayName", "{Placeholder}Ratatouille Dishes"
"Remy_House_DisplayName", "小米的小屋"
"Remy_Kitchen_DisplayName", "小米的廚房"
"Remy_RealmStall01_DisplayName", "{Placeholder} Remy Realm Stall 01"
"Remy_RealmStall02_DisplayName", "{Placeholder} Remy Realm Stall 02"
"Remy_RealmStall03_DisplayName", "{Placeholder} Remy Realm Stall 03"
"Restaurant_DisplayName", "小米餐廳"
"Scar_House_DisplayName", "刀疤的洞穴"
"Scrooge_House_DisplayName", "史高治的小屋"
"ScroogeStore_DisplayName", "史高治的雜貨店"
"Ursula_House_DisplayName", "烏蘇拉的巢穴"
"UrsulaBeachCave_DisplayName", "烏蘇拉的海灘洞穴"
"WallE_Garden_DisplayName", "瓦力的花園"
"WallE_House_DisplayName", "瓦力的卡車"
"WildCropGarden_DisplayName", "野生植物園"
