"", "參與{TargetAmount}次裝飾設計挑戰"
"challenge_decor_friday_desc", "莫娜邀請你去她家，晚上一起放鬆一下。"
"challenge_decor_friday_title", "莫娜的晚間邀約"
"challenge_decor_monday_desc", "You invited a guest for a provincial-themed dinner! Make sure they feel at home!"
"challenge_decor_monday_title", "城鎮晚餐"
"challenge_decor_saturday_desc", "一間亮堂堂的臥室，充滿了皇室風格？好像美夢成真了！"
"challenge_decor_saturday_title", "皇家臥室改造"
"challenge_decor_sunday_desc", "A friend wants a new Toy Story-themed bedroom! The main color it reminds you of should be important to keep in mind!"
"challenge_decor_sunday_title", "玩具總動員主題臥室"
"challenge_decor_thursday_desc", "有人邀請你為小米的廚房做一些新奇的設計！"
"challenge_decor_thursday_title", "小米廚房的新風格"
"challenge_decor_tuesday_desc", "毛怪想度過一個輕鬆的夜晚。準備一間房子，晚上好好玩吧！"
"challenge_decor_tuesday_title", "舒適夜晚"
"challenge_decor_wednesday_desc", "瓦力想要一個家，樣式要和地球上的新家一樣。一定要選擇合適的顏色！"
"challenge_decor_wednesday_title", "地球上的首個新家"
"challenge_outfit_friday_desc", "瓦力想好好的打理一下園藝！準備一些舒適的衣服吧！"
"challenge_outfit_friday_title", "瓦力的園藝時間"
"challenge_outfit_monday_desc", "你午後要與好友一起在村莊散步。不要忘記耳部飾品哦！"
"challenge_outfit_monday_title", "好友漫步"
"challenge_outfit_saturday_desc", "前往神秘冰川的路上很冷！記得做好手部保暖！"
"challenge_outfit_saturday_title", "寒冷旅程"
"challenge_outfit_sunday_desc", "你要與椰絲小姐開會討論病毒的事情，需要準備合適的與會服裝！或許有些東西會讓你看起來更有智慧。"
"challenge_outfit_sunday_title", "BuzzzTube會議"
"challenge_outfit_thursday_desc", "和米妮一起喝下午茶吧。她可能會穿她標誌性的裙子！"
"challenge_outfit_thursday_title", "米妮的下午茶"
"challenge_outfit_tuesday_desc", "準備一套適合在沙灘過夜的服裝！記得去找一位海洋公主！"
"challenge_outfit_tuesday_title", "海灘之夜"
"challenge_outfit_wednesday_desc", "你收到了灰姑娘舞會的正式邀請；去時一定要穿華美的衣服！"
"challenge_outfit_wednesday_title", "灰姑娘城堡舞會"
"challenge_receive_hearts_desc", "你獲得了一些紅心！<br>感謝參與！"
"challenge_type_decordesign", "內部"
"challenge_type_outfitdesign", "時尚"
"character_bonus", "角色加成："
"design_challenge_tags_items_label", "物品和標籤"
"event_bonus", "活動加成："
"exit_design_challenge_desc", "確定要退出設計挑戰嗎？"
"exit_design_challenge_title", "退出設計挑戰"
"mandatory_label", "必要："
"next_step", "下一步"
"no_active_design_challenge", "你已經參與了所有設計挑戰。<br>請稍後再來。"
"not_enough_ticket_button_vote", "我要投票。"
"not_enough_tickets_desc", "你的票券不足。<br>投票會讓你獲得票券，或者你也可以購買。"
"participate_design_challenge_desc", "你確定要參加設計挑戰嗎？"
"participate_design_challenge_title", "參加"
"recommended_label", "推薦："
"rewards_description", "你獲得了{num,D}分！這是你的獎勵。"
"unworn_bonus", "未穿戴加成："
"vote_receive_ticket_desc", "你獲得了一些票券！<br>感謝投票！"
