"Village!Mickey!Scrooge!VLG_Scro_060_Any_CompletedRequestDescription", "跟史高治交談"
"Village!Mickey!Scrooge!VLG_Scro_060_AvailableDescription", "史高治迫切地想和你談談。"
"Village!Mickey!Scrooge!VLG_Scro_060_DisplayName", "尋寶第2部分"
"Village!Mickey!Scrooge!VLG_Scro_060_Group02_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我應該做什麼？"
"Village!Mickey!Scrooge!VLG_Scro_060_Group02_Step02_BringItem01_StepDescription", "調查<ActivityItem>記憶</ActivityItem>顯示的區域，尋找線索。"
"Village!Mickey!Scrooge!VLG_Scro_060_Group02_Step02_ReadyDescription", "把你的發現帶給史高治"
"Village!Mickey!Scrooge!VLG_Scro_060_Group02_StoryDescription", "找到寶箱並修復鑰匙後，你只需把所有的發現帶回給史高治，拿到屬於你的那份財富。"
"Village!Mickey!Scrooge!VLG_Scro_060_Group03_Step11_Possess02_StepDescription", "寶箱"
"Village!Mickey!Scrooge!VLG_Scro_060_Group03_Step11_Possess04_StepDescription", "鑰匙碎片"
"Village!Mickey!Scrooge!VLG_Scro_060_Group03_Step11_StepDescription", "找到所有隱藏寶藏的碎片："
"Village!Mickey!Scrooge!VLG_Scro_060_Group03_StoryDescription", "瞭解了尋寶知識之後，你戴<ActivityItem>暗影眼鏡</ActivityItem>開始尋找寶藏。"
"Village!Mickey!Scrooge!VLG_Scro_060_Group06_StoryDescription", "梅林讓你去尋找鑰匙和一種叫<ActivityItem>暗影眼鏡</ActivityItem>的東西。史高治那裡有暗影眼鏡。想要找到鑰匙，你得先看看地圖。"
"Village!Mickey!Scrooge!VLG_Scro_060_Group08_Step10_TalkToCharacter02_StepDescription", "帶著你的發現回去找史高治"
"Village!Mickey!Scrooge!VLG_Scro_060_Group09_StoryDescription", "他設法把地圖的各個部分拼在一起，但被一個奇怪的銘文搞糊塗了，於是他提議和你合作尋找寶藏。你甚至可以得到一定比例的分成。你的第一個任務是讓梅林解密地圖上的文字。"
"Village!Mickey!Scrooge!VLG_Scro_060_StartRequestButton", "<smallcaps>{title}</smallcaps><br>開始任務"
