"AnglerDesc", "領取「釣1800條魚」任務的獎勵"
"AnglerName", "垂釣高手"
"BankerDesc", "領取「獲得1800000枚星幣」任務的獎勵"
"BankerName", "理財達人"
"BestestFriendDesc", "領取「擁有15位好友」任務的獎勵"
"BestestFriendName", "最佳友人"
"ChefCookDesc", "領取「烹飪900道菜」任務的獎勵"
"ChefCookName", "五星主廚"
"ChitChatterDesc", "領取「進行1000次日常對話」任務的獎勵"
"ChitChatterName", "滔滔不絕"
"ConstructorDesc", "領取「將玩家小屋升到滿級」任務的獎勵"
"ConstructorName", "建築大師"
"DreamlightMasterDesc", "領取「完成全部獎盃」任務的獎勵"
"DreamlightMasterName", "夢幻星光大師"
"DutyBoundDesc", "領取「完成1100個夢幻星光任務」任務的獎勵"
"DutyBoundName", "光榮使命"
"GardenerDesc", "領取「收穫4500個蔬菜」任務的獎勵"
"GardenerName", "辛勤園丁"
"GenerousDesc", "領取「贈送540件禮物」任務的獎勵"
"GenerousName", "慷慨豪爽"
"GoofyInvestorDesc", "領取「解鎖高飛的所有貨攤」任務的獎勵"
"GoofyInvestorName", "高飛投資人"
"MinerDesc", "領取「採礦1800次」任務的獎勵"
"MinerName", "礦工"
"PhotographerDesc", "領取「拍攝50張照片」任務的獎勵"
"PhotographerName", "攝影師"
"RenovatorDesc", "領取「為好友修建30座房子」任務的獎勵"
"RenovatorName", "翻修達人"
"ThornCleanerDesc", "領取「清除3000叢暗夜荊棘」任務的獎勵"
"ThornCleanerName", "荊棘剋星"
"ValleyHelperDesc", "領取「解鎖所有區域」任務的獎勵"
"ValleyHelperName", "星谷好幫手"
