"Story!MRQS080_TheDarkSide_AvailableDescription", "森林裡傳來了神秘的聲音。會是什麼呢？"
"Story!MRQS080_TheDarkSide_CompletedStoryDescription", "既然<ActivityItem>勇氣寶珠</ActivityItem>已經找回來了，沒準兒唐老鴨會把整件事都告訴你。"
"Story!MRQS080_TheDarkSide_DisplayName", "黑暗森林迷蹤"
"Story!MRQS080_TheDarkSide_Group01_Step01_TalkToCharacter01_StepDescription", "是克里斯托夫！和他交談。"
"Story!MRQS080_TheDarkSide_Group02_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我該怎麼做？"
"Story!MRQS080_TheDarkSide_Group02_Step02_VisitArea01_StepDescription", "穿過黑暗傳送門"
"Story!MRQS080_TheDarkSide_Group02_StoryDescription", "你發現克里斯托夫在森林裡迷路了，他在唐老鴨消失的傳送門附近徘徊。他讓你幫他找到朋友。"
"Story!MRQS080_TheDarkSide_Group03_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我該怎麼做？"
"Story!MRQS080_TheDarkSide_Group03_Step03_StepDescription", "跟著<ActivityItem>魔法羽毛</ActivityItem>通過黑暗森林"
"Story!MRQS080_TheDarkSide_Group04_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我可以幫你做什麼？"
"Story!MRQS080_TheDarkSide_Group04_Step04_TalkToCharacter02_StepDescription", "把你的發現帶給克里斯托夫"
"Story!MRQS080_TheDarkSide_Group04_StoryDescription", "你探索了傳送門裡的黑暗森林之後，發現了一根唐老鴨的羽毛。"
"Story!MRQS080_TheDarkSide_Group05_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我現在該怎麼做？"
"Story!MRQS080_TheDarkSide_Group05_Step05_TalkToCharacter03_StepDescription", "讓梅林幫忙尋找唐老鴨"
"Story!MRQS080_TheDarkSide_Group05_StoryDescription", "克里斯托夫建議你找梅林，讓他使用追蹤法術幫忙。"
"Story!MRQS080_TheDarkSide_Group06_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我該怎麼做？"
"Story!MRQS080_TheDarkSide_Group06_Step06_FillKeyhole01_StepDescription", "把<ActivityItem>勇氣寶珠</ActivityItem>放回柱子"
"Story!MRQS080_TheDarkSide_Group06_StoryDescription", "你找到唐老鴨，他說他正在追蹤偷<ActivityItem>寶珠</ActivityItem>的黑暗生物，他要求你帶他離開並放回<ActivityItem>寶珠</ActivityItem>。"
"Story!MRQS080_TheDarkSide_Group07_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我能幫什麼忙？"
"Story!MRQS080_TheDarkSide_Group07_Step07_VisitArea02_StepDescription", "返回黑暗森林使用<ActivityItem>魔法羽毛</ActivityItem>"
"Story!MRQS080_TheDarkSide_Group08_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我能做什麼？"
"Story!MRQS080_TheDarkSide_Group08_Step08_TalkToCharacter04_StepDescription", "和唐老鴨交談"
"Story!MRQS080_TheDarkSide_Group09_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我該怎麼做？"
"Story!MRQS080_TheDarkSide_Group09_Step10_VisitArea03_StepDescription", "勇氣森林傳來了奇怪的聲音，去看看是怎麼回事。"
"Story!MRQS080_TheDarkSide_Group10_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我該怎麼做？"
"Story!MRQS080_TheDarkSide_Group10_Step11_BringItem01_StepDescription", "{ItemName}"
"Story!MRQS080_TheDarkSide_Group10_Step11_BringItem02_StepDescription", "{ItemName}"
"Story!MRQS080_TheDarkSide_Group10_Step11_BringItem03_StepDescription", "黑暗森林的植物"
"Story!MRQS080_TheDarkSide_Group10_Step11_BringItem04_StepDescription", "{ItemName}"
"Story!MRQS080_TheDarkSide_Group10_Step11_ReadyDescription", "把追蹤法術所需的材料帶給梅林"
"Story!MRQS080_TheDarkSide_Group10_Step11_StepDescription", "收集追蹤法術所需的材料："
"Story!MRQS080_TheDarkSide_Group11_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我該怎麼做？"
"Story!MRQS080_TheDarkSide_Group11_Step09_Possess01_StepDescription", "調查黑暗森林，尋找唐老鴨的下落。"
"Story!MRQS080_TheDarkSide_Group12_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我該怎麼做？"
"Story!MRQS080_TheDarkSide_Group12_Step12_TalkToCharacter05_StepDescription", "和唐老鴨交談"
"Story!MRQS080_TheDarkSide_Group13_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我該怎麼做？"
"Story!MRQS080_TheDarkSide_Group13_Step13_UnlockCharacter01_StepDescription", "解鎖唐老鴨"
